ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007266	Rho protein signal transduction	17/463	140/28928	0.121428571428571	7.5867941993212	9.96366149534895	1.13699021484439e-10	4.57297464410415e-07	3.82866494451286e-07	Abl2/Adrb1/Baiap2/Bcr/Cdc42/Cdc42ep3/Cdh13/Dlc1/Dock6/Eps8l3/F11r/Gna12/Itga3/Lpar1/Ophn1/Pecam1/Plxnb1	17
GO:0007264	small GTPase-mediated signal transduction	25/463	444/28928	0.0563063063063063	3.51798883116378	6.81916808016849	6.98782438505576e-08	0.000140525148383471	0.000117652895830491	Abl2/Adrb1/Als2/Arhgap22/Baiap2/Bcr/Cdc42/Cdc42ep3/Cdh13/Dlc1/Dock6/Eps8l3/F11r/Garnl3/Gna12/Itga3/Lpar1/Mapkap1/Nisch/Nrg1/Ophn1/Pecam1/Plxnb1/Rasgrp1/Tgm2	25
GO:0032970	regulation of actin filament-based process	23/463	416/28928	0.0552884615384615	3.45439441767735	6.43078185756981	3.22640300835746e-07	0.000335685096609716	0.000281048083973535	Adrb1/Akap6/Arap1/Arfip2/Arhgef16/Baiap2/Baiap2l2/Cdc42/Cdc42ep3/Cnn2/Ctnna3/Dlc1/F11r/Limk1/Lmod3/Lpar1/Mtor/Pecam1/Plekhg2/Sorbs3/Sptan1/Taok2/Wdr1	23
GO:0030100	regulation of endocytosis	21/463	355/28928	0.0591549295774648	3.69596933653758	6.51835191302395	3.51093541372199e-07	0.000335685096609716	0.000281048083973535	Ahsg/Ankrd13b/Bcr/Cdc42/Cdh13/Cnn2/Dab2/Dll1/Eef2k/Fcgr1/Lpar1/Lrpap1/Nrg1/Ophn1/Pip5k1c/Ptprj/Rin3/Snap91/Syt11/Tgm2/Vtn	21
GO:0016358	dendrite development	20/463	331/28928	0.0604229607250755	3.77519526534554	6.47640358226811	4.78129774214763e-07	0.000335685096609716	0.000281048083973535	Abl2/Adgrb3/Baiap2/Bbs1/Cdc42/Cpeb3/Csmd3/D130043K22Rik/Eef2k/Epha4/Fat3/Gpr37/Grin1/Lpar1/Map6/Mtor/Ndp/Taok2/Xlr3b/Zfp365	20
GO:0051962	positive regulation of nervous system development	22/463	397/28928	0.0554156171284635	3.46233903302849	6.30044471834933	5.60105045967806e-07	0.000335685096609716	0.000281048083973535	Adgrb3/Adgrl2/Baiap2/Cdh4/Eef2k/Epha4/Hapln4/Il34/Limk1/Lrrtm3/Map6/Mtor/Nrg1/Plxnb1/Rgs14/Smurf1/Snap91/Srpx2/Star/Tgm2/Xlr3b/Zfp365	22
GO:0050803	regulation of synapse structure or activity	22/463	398/28928	0.0552763819095477	3.4536396887244	6.28619772871672	5.84235623139734e-07	0.000335685096609716	0.000281048083973535	Adgrb3/Adgrl2/Ago2/Arhgap22/Baiap2/Cdc42/Cpeb3/Eef2k/Epha4/Grid1/Grin1/Lrrtm3/Nrg1/Pcdh8/Rbmx/Sema3f/Six1/Slc17a6/Snap91/Srpx2/Taok2/Xlr3b	22
GO:0006898	receptor-mediated endocytosis	18/463	286/28928	0.0629370629370629	3.93227506834418	6.35583557328748	9.95959131640534e-07	0.000479620070759283	0.000401555813122287	Ankrd13b/Cacng5/Cd320/Cntn2/Dab2/Dll1/Fcgr1/Hspg2/Lpar1/Lrpap1/Nrg1/Ophn1/Pikfyve/Pip5k1c/Rin3/Snap91/Syt11/Vtn	18
GO:0035023	regulation of Rho protein signal transduction	10/463	85/28928	0.117647058823529	7.35052725193749	7.4780029329812	1.07324232641311e-06	0.000479620070759283	0.000401555813122287	Abl2/Bcr/Dlc1/Dock6/Eps8l3/F11r/Itga3/Lpar1/Ophn1/Plxnb1	10
GO:0050807	regulation of synapse organization	21/463	390/28928	0.0538461538461538	3.36427978069447	5.99523214157363	1.599318605968e-06	0.00064324594332033	0.000538549496893857	Adgrb3/Adgrl2/Ago2/Arhgap22/Baiap2/Cdc42/Cpeb3/Eef2k/Epha4/Grid1/Grin1/Lrrtm3/Nrg1/Pcdh8/Rbmx/Sema3f/Six1/Snap91/Srpx2/Taok2/Xlr3b	21
GO:0060048	cardiac muscle contraction	12/463	136/28928	0.0882352941176471	5.51289543895312	6.72783617784636	2.07459830357426e-06	0.000758548579725062	0.000635085164893212	Adrb1/Akap6/Calm1/Ctnna3/Kcnd3/Kcne2/Kcnn2/Mtor/Scn1b/Scn3b/Sgcd/Smad5	12
GO:0051056	regulation of small GTPase mediated signal transduction	16/463	244/28928	0.0655737704918033	4.0970151896045	6.19590843336508	2.3352743237838e-06	0.000773675546783885	0.000647750025952432	Abl2/Arhgap22/Bcr/Dlc1/Dock6/Eps8l3/F11r/Garnl3/Itga3/Lpar1/Mapkap1/Nrg1/Ophn1/Plxnb1/Rasgrp1/Tgm2	16
GO:0086003	cardiac muscle cell contraction	9/463	73/28928	0.123287671232877	7.70294979141395	7.31313273911247	2.50069172257347e-06	0.000773675546783885	0.000647750025952432	Adrb1/Akap6/Ctnna3/Kcnd3/Kcne2/Kcnn2/Scn1b/Scn3b/Sgcd	9
GO:0010001	glial cell differentiation	18/463	309/28928	0.058252427184466	3.63958145484284	5.94940699932788	2.98494790645306e-06	0.000857532891411014	0.000717958522762656	Abl2/Cntn2/Dll1/Epha4/Gpr37l1/Hapln4/Il34/Itgb4/Lpar1/Mtor/Ndp/Nrg1/Pdgfb/Ptprj/Tnfrsf21/Vtn/Wdr1/Zfp365	18
GO:0099173	postsynapse organization	18/463	314/28928	0.0573248407643312	3.58162633613515	5.86618182050152	3.73470891650783e-06	0.000923550835605683	0.000773231208119181	Abl2/Arhgap22/Baiap2/Cdc42/Cpeb3/Eef2k/Epha4/Grid1/Grin1/Ina/Itga3/Lrrc4/Ophn1/Rbmx/Sema3f/Taok2/Xlr3b/Zfp365	18
GO:0110053	regulation of actin filament organization	17/463	284/28928	0.0598591549295775	3.73996897149636	5.9179948303885	3.90249830758527e-06	0.000923550835605683	0.000773231208119181	Arap1/Arfip2/Baiap2/Baiap2l2/Cdc42/Cdc42ep3/Dlc1/F11r/Limk1/Lmod3/Lpar1/Mtor/Pecam1/Plekhg2/Sorbs3/Sptan1/Wdr1	17
GO:0015850	organic hydroxy compound transport	18/463	315/28928	0.0571428571428571	3.57025609379821	5.84974016845979	3.90362113508121e-06	0.000923550835605683	0.000773231208119181	Abcb4/C1qtnf1/Cartpt/Cd320/Dab2/Eepd1/Kcne2/Nisch/Npy2r/Nrg1/Slc16a7/Slc18a2/Slco1a1/Slco1a4/Slco1a6/Star/Syt11/Tgm2	18
GO:0001558	regulation of cell growth	22/463	456/28928	0.0482456140350877	3.01436095638665	5.52964598542853	5.36895493543765e-06	0.00119966315279612	0.00100440273909152	Acvr1b/Adrb1/Ahsg/Akap6/Cdc42/Cdh4/Cdhr2/D130043K22Rik/Dab2/Igfbp1/Ip6k2/Limk1/Mapkap1/Mtor/Nrg1/Osgin2/Ptprj/Sema3f/Sh3bp4/Smurf1/Zfp639/Zmat3	22
GO:0098659	inorganic cation import across plasma membrane	11/463	127/28928	0.0866141732283465	5.41160864611146	6.35450396952798	6.59421827238639e-06	0.0013260972945769	0.00111025811859811	Adrb1/Cacna1e/Hcn2/Kcnd3/Kcne2/Slc12a8/Slc24a2/Slc34a1/Slc39a4/Slc5a1/Slc9c1	11
