ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008305	integrin complex	4/303	33/28829	0.121212121212121	11.5327532753275	6.23937273308356	0.000384924802799358	0.0611152867233741	0.0565216204773092	Emilin1/Itga2/Itga8/Itgb7	4
GO:0098636	protein complex involved in cell adhesion	5/303	59/28829	0.0847457627118644	8.06315377300442	5.59709744922582	0.000390513014206864	0.0611152867233741	0.0565216204773092	Emilin1/Itga2/Itga8/Itgb7/Lgals2	5
GO:0072534	perineuronal net	2/303	10/28829	0.2	19.0290429042904	5.87680595044646	0.00468620094021607	0.35303537219187	0.326499839760431	Bcan/Vcan	2
GO:0031528	microvillus membrane	3/303	34/28829	0.0882352941176471	8.39516598718695	4.4466912458243	0.00540592919838792	0.35303537219187	0.326499839760431	Cd24a/Cubn/Slc34a2	3
GO:0098966	perisynaptic extracellular matrix	2/303	11/28829	0.181818181818182	17.2991299129913	5.57233191769571	0.00568798155577815	0.35303537219187	0.326499839760431	Bcan/Vcan	2
GO:0099535	synapse-associated extracellular matrix	2/303	13/28829	0.153846153846154	14.6377253109926	5.06879700693634	0.00795558558068708	0.35303537219187	0.326499839760431	Bcan/Vcan	2
GO:0044298	cell body membrane	3/303	42/28829	0.0714285714285714	6.7960867515323	3.87408772213436	0.00975167932585597	0.35303537219187	0.326499839760431	Nradd/Piezo2/Slc6a2	3
GO:0032437	cuticular plate	2/303	15/28829	0.133333333333333	12.6860286028603	4.66572277492147	0.0105623224382152	0.35303537219187	0.326499839760431	Calb1/Piezo2	2
GO:0043235	receptor complex	10/303	416/28829	0.0240384615384615	2.2871445798426	2.725358157363	0.0131672918008467	0.35303537219187	0.326499839760431	Cd36/Cubn/Emilin1/Epha2/Flt4/Itga2/Itga8/Itgb7/Ramp3/Ros1	10
GO:0031672	A band	3/303	49/28829	0.0612244897959184	5.82521721559911	3.48399598515985	0.0148326458408211	0.35303537219187	0.326499839760431	Klhl40/Mybpc2/Ttn	3
GO:0005865	striated muscle thin filament	2/303	23/28829	0.0869565217391304	8.27349691490888	3.59644837646592	0.0240861115869098	0.35303537219187	0.326499839760431	Tnnc1/Ttn	2
