ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0045211	postsynaptic membrane	33/852	406/28829	0.0812807881773399	2.75028619995837	6.19817181083168	1.95258018510088e-07	0.000100167363495675	8.0569624479952e-05	Adam22/Arrb2/C1qa/Cacng3/Chrm3/Chrna3/Chrna5/Chrnb4/Cnksr2/Crhr1/Dlgap1/Gabra4/Glra1/Gnao1/Grid2ip/Grm1/Itga5/Kcnb1/Kcnc2/Kcnd1/Kcnh1/Kctd8/Lhfpl4/Lrfn4/Nlgn2/Nptx2/Nsg1/Ntrk3/Oprm1/Prrt1/Pten/Sema4c/Sez6l	33
GO:0030684	preribosome	14/852	108/28829	0.12962962962963	4.38625891149365	6.15260087436738	3.72202568232122e-06	0.000954699587515392	0.00076791266708943	2810004N23Rik/Ebna1bp2/Ftsj3/Imp4/Kri1/Mdn1/Ngdn/Nob1/Nol10/Pwp2/Rrp15/Wdr12/Wdr3/Wdr46	14
GO:0016323	basolateral plasma membrane	25/852	309/28829	0.0809061488673139	2.73760958414999	5.35899269610026	6.26474864217806e-06	0.00107127201781245	0.000861677707976771	Abcc10/Abcc4/Adam9/Aqp9/Arrb2/Atp7a/Chrm3/Cldn1/Cr1l/Kcnc2/Megf11/Nod1/Ptk2/Rapgef4/Slc12a2/Slc19a1/Slc22a21/Slc22a8/Slc2a2/Slc39a8/Slco1a5/Slco1b2/Slco3a1/Slco4a1/Tgfa	25
GO:0032279	asymmetric synapse	33/852	487/28829	0.0677618069815195	2.29284640078665	5.02137489720471	1.03043135151344e-05	0.00121533309906493	0.000977553246811227	Adam22/Add3/Atp7a/Cacng3/Camk2a/Chrm3/Cnksr2/Cntnap2/Crhr1/Crtac1/Dlgap1/Dlgap2/Dlgap3/Eif3a/Gng3/Grid2ip/Grm1/Kcnh1/Lrfn4/Mdm2/Negr1/Pde4b/Pkp4/Prrt1/Pten/Rapgef4/Rpl10a/Rpl12/Rplp0/Sema3a/Sema4c/Spock1/Ywhah	33
GO:0009925	basal plasma membrane	26/852	341/28829	0.0762463343108504	2.57993611719191	5.12167738753285	1.18453518427381e-05	0.00121533309906493	0.000977553246811227	Abcc10/Abcc4/Adam9/Aqp9/Arrb2/Atp7a/Chrm3/Cldn1/Cr1l/Kcnc2/Megf11/Nod1/Ptk2/Rapgef4/Shroom4/Slc12a2/Slc19a1/Slc22a21/Slc22a8/Slc2a2/Slc39a8/Slco1a5/Slco1b2/Slco3a1/Slco4a1/Tgfa	26
GO:0016324	apical plasma membrane	32/852	484/28829	0.0661157024793388	2.23714740232026	4.78996544469112	2.27025821764628e-05	0.00194107077608757	0.00156130038827604	Abcc4/Ahcyl1/Atp4a/Atp7a/Bst2/Cldn1/Jag1/Kcnb1/Kcnc2/Mreg/Muc4/Nod1/Pard6g/Pde4d/Pkhd1/Plb1/Pten/Ptk2/Rapgef4/Sapcd2/Shroom4/Slc12a2/Slc19a1/Slc22a21/Slc22a8/Slc2a2/Slc39a8/Slc9a8/Slco3a1/Thy1/Upk3a/Ush2a	32
GO:0098981	cholinergic synapse	6/852	22/28829	0.272727272727273	9.22823303457106	6.73744743304027	3.25597915240005e-05	0.00222547224640539	0.00179005872697427	Chrna3/Chrna5/Chrnb4/Dlgap3/Kcnb1/Slc18a3	6
GO:0045178	basal part of cell	26/852	363/28829	0.0716253443526171	2.42357635251361	4.76318377385013	3.47052202168482e-05	0.00222547224640539	0.00179005872697427	Abcc10/Abcc4/Adam9/Aqp9/Arrb2/Atp7a/Chrm3/Cldn1/Cr1l/Kcnc2/Megf11/Nod1/Ptk2/Rapgef4/Shroom4/Slc12a2/Slc19a1/Slc22a21/Slc22a8/Slc2a2/Slc39a8/Slco1a5/Slco1b2/Slco3a1/Slco4a1/Tgfa	26
GO:0014069	postsynaptic density	30/852	463/28829	0.0647948164146868	2.19245277279226	4.51397465897455	5.85151927431419e-05	0.00333536598635909	0.00268280181933469	Adam22/Add3/Atp7a/Cacng3/Camk2a/Chrm3/Cnksr2/Crhr1/Crtac1/Dlgap1/Dlgap2/Dlgap3/Eif3a/Gng3/Grid2ip/Grm1/Kcnh1/Lrfn4/Mdm2/Negr1/Pde4b/Pkp4/Prrt1/Pten/Rapgef4/Rpl10a/Rpl12/Rplp0/Sema4c/Spock1	30
GO:0042734	presynaptic membrane	21/852	274/28829	0.0766423357664234	2.59333556081012	4.62453351103883	7.39350947851767e-05	0.00379287036247956	0.00305079549008308	C1qa/Cadm3/Chrm3/Cnr1/Cntnap2/Cyth1/Gad2/Glra1/Gnao1/Grm1/Kcnc2/Kcnh1/Kcnq5/Kctd8/Napb/Nlgn2/Ntng2/Oprm1/Scn1a/Stx11/Tenm3	21
