ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0045121	membrane raft	16/504	344/28829	0.0465116279069767	2.66048357327427	4.13278924492807	0.000411348282169905	0.0911395399693408	0.084636161864241	Add2/App/Eno2/Entpd1/Ghsr/Hspa1b/Itgam/Itgb2/Kcne1/Myadm/Nos3/Plscr1/Slc27a1/Slc39a6/Sulf1/Tpp1	16
GO:0098857	membrane microdomain	16/504	346/28829	0.046242774566474	2.64510505550968	4.10654311692354	0.000438170865237215	0.0911395399693408	0.084636161864241	Add2/App/Eno2/Entpd1/Ghsr/Hspa1b/Itgam/Itgb2/Kcne1/Myadm/Nos3/Plscr1/Slc27a1/Slc39a6/Sulf1/Tpp1	16
GO:0030427	site of polarized growth	12/504	250/28829	0.048	2.74561904761905	3.69771579084374	0.00161235997908297	0.174174172909618	0.161745752676695	Amfr/Ang/App/Arhgap4/Csnk1e/Dcx/Eno2/Fry/Gdpd5/Ngfr/Ptk2b/Slc2a13	12
GO:0031010	ISWI-type complex	3/504	14/28829	0.214285714285714	12.2572278911565	5.61983713273295	0.00167475166259248	0.174174172909618	0.161745752676695	0610010K14Rik/Baz1a/Smarca1	3
GO:0099092	postsynaptic density, intracellular component	5/504	53/28829	0.0943396226415094	5.39626385145253	4.27310965547469	0.00230328797990405	0.191633559928017	0.177959302868376	Anks1b/Lin7b/Psd/Ptk2b/Slc30a1	5
GO:0030426	growth cone	11/504	242/28829	0.0454545454545455	2.60001803751804	3.33415538963305	0.00376142233505537	0.208732903945531	0.193838501386664	Amfr/Ang/App/Arhgap4/Csnk1e/Dcx/Eno2/Gdpd5/Ngfr/Ptk2b/Slc2a13	11
GO:0043197	dendritic spine	11/504	243/28829	0.0452674897119342	2.5893183748122	3.31875285667119	0.00387962110479012	0.208732903945531	0.193838501386664	Abhd17a/Anks1b/App/Cpt1c/Fbxo2/Mylk2/Neurl1a/Ngfr/Nsmf/Psd/Ptk2b	11
GO:0099091	postsynaptic specialization, intracellular component	5/504	61/28829	0.0819672131147541	4.6885571168358	3.84684033405916	0.00426173626491149	0.208732903945531	0.193838501386664	Anks1b/Lin7b/Psd/Ptk2b/Slc30a1	5
GO:0044309	neuron spine	11/504	248/28829	0.0443548387096774	2.53711437532002	3.24288001484979	0.00451585609497542	0.208732903945531	0.193838501386664	Abhd17a/Anks1b/App/Cpt1c/Fbxo2/Mylk2/Neurl1a/Ngfr/Nsmf/Psd/Ptk2b	11
GO:0005938	cell cortex	14/504	366/28829	0.0382513661202186	2.18799332119004	3.05106718531803	0.00546692170065339	0.225555002864918	0.209460237984375	Astn2/Eno2/Fam110a/Frmpd1/Fry/Myadm/Ncl/Nlrp4f/Nsmf/Pla2g4c/Prkcz/Ptk2b/Rai14/Tchp	14
GO:0005771	multivesicular body	5/504	66/28829	0.0757575757575758	4.3333633958634	3.61638871076253	0.00596419478729351	0.225555002864918	0.209460237984375	Apoe/Atp13a2/Ctsl/Gfra1/Rab27b	5
GO:0005814	centriole	8/504	161/28829	0.0496894409937888	2.84225574287686	3.12681167442344	0.00758655693908129	0.256706962111151	0.238389309450385	Ccdc78/Cep162/Cep63/Cetn4/Fam161a/Hspa1b/Ofd1/Topors	8
GO:0014069	postsynaptic density	16/504	463/28829	0.0345572354211663	1.97668757927937	2.82608146437233	0.00802209256597345	0.256706962111151	0.238389309450385	Abhd17a/Add2/Anks1b/Dlg5/Iqsec3/Kcnt1/Lin7b/Mink1/Neto1/Neurl1a/Ngfr/Nsmf/Prkcz/Psd/Ptk2b/Slc30a1	16
