ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	42/1254	387/28409	0.108527131782946	2.45865014898063	6.20870825775652	8.65535971638109e-08	8.95829730645442e-05	7.24316944686628e-05	Actn4/Add1/Ahr/Ankrd42/Bbs5/Bud31/Chd4/Dcaf1/Dcaf13/Dhx9/Dmap1/Dnmt1/Epas1/Ets1/Exosc9/Fos/Gbx2/Gtf2b/Gtf2i/Hand2/Hmga1/Hmga2/Lmo2/Med16/Mkks/Mkx/Ncoa2/Ncoa7/Nkx2-1/Nup62/Parp1/Pias2/Psmc3ip/Rnf14/Setd1a/Smarca4/Sox2/Sra1/Sumo2/Tcf7l2/Trim68/Zbtb8a	42
GO:0003713	transcription coactivator activity	33/1254	273/28409	0.120879120879121	2.73848081742819	6.2024638707379	1.75018170044313e-07	9.05719029979319e-05	7.3231286939594e-05	Actn4/Bcl3/Bud31/Cbfb/Cdca4/Crtc1/Dhx9/Edf1/Ets1/Hcfc1/Hmga1/Lmo2/Lpin2/Med16/Mta3/Ncoa2/Ncoa7/Nkx2-1/Nr3c1/Nucks1/Phf2/Prdm16/Psmc3ip/Rere/Setd4/Smarca2/Smarca4/Sra1/Ssbp3/Tfap2a/Trim25/Trim5/Zxdc	33
GO:0140097	catalytic activity, acting on DNA	28/1254	239/28409	0.117154811715481	2.65410769220503	5.51840413684632	2.71967365233375e-06	0.00080674297799199	0.00065228646580588	Aptx/Atad5/Brip1/Chd4/Chd5/Chd6/Dhx9/Dnmt1/Ercc6l2/Fen1/Hells/Hmga1/Hmga2/Lig1/Mcm2/Mcm9/Msh2/Pola1/Pola2/Polb/Pold3/Polh/Setmar/Smarca2/Smarca4/Supv3l1/Twnk/Zgrf1	28
GO:0016757	glycosyltransferase activity	30/1254	268/28409	0.111940298507463	2.53597443404985	5.42907467518087	3.11784725794006e-06	0.00080674297799199	0.00065228646580588	Alg11/Arf4/B3gnt2/C1galt1c1/Dpm1/Dpy19l4/Fut11/Galnt10/Galnt12/Galnt2/Galntl6/Glt8d1/Gyg1/Hprt1/Lfng/Mgat5b/Ogt/Parp1/Parp4/Piga/Pigz/Pofut2/Poglut1/Pomgnt1/Rxylt1/Sirt2/St6galnac4/St8sia3/Tiparp/Xxylt1	30
GO:0003697	single-stranded DNA binding	18/1254	123/28409	0.146341463414634	3.31532267475785	5.52996657791415	7.77085390694218e-06	0.00144149611850189	0.00116551173578338	Alyref/Aptx/Ctc1/Dhx9/Hnrnpa1/Mcm2/Mcm9/Msh2/Nucks1/Pcbp1/Pola1/Polr3c/Rad51ap1/Rpa1/Setmar/Ssbp3/Tsn/Twnk	18
GO:0008168	methyltransferase activity	24/1254	199/28409	0.120603015075377	2.73222572191099	5.26955173474807	8.35649923769214e-06	0.00144149611850189	0.00116551173578338	Alkbh8/Bcdin3d/Dnmt1/Eef1akmt3/Fam98b/Fbll1/Ftsj1/Henmt1/Hnmt/Mettl21a/Mettl6/Nsun7/Prdm10/Prdm11/Prdm16/Prdm4/Prmt5/Setd1a/Setd4/Setmar/Suz12/Tpmt/Trmt12/Tyms	24
GO:0016741	transferase activity, transferring one-carbon groups	24/1254	210/28409	0.114285714285714	2.58910913647756	4.966960571819	2.07191481630948e-05	0.00261350729346482	0.00211313328075722	Alkbh8/Bcdin3d/Dnmt1/Eef1akmt3/Fam98b/Fbll1/Ftsj1/Henmt1/Hnmt/Mettl21a/Mettl6/Nsun7/Prdm10/Prdm11/Prdm16/Prdm4/Prmt5/Setd1a/Setd4/Setmar/Suz12/Tpmt/Trmt12/Tyms	24
GO:0019787	ubiquitin-like protein transferase activity	41/1254	463/28409	0.0885529157667387	2.00614017864217	4.69065352196475	2.10065689896703e-05	0.00261350729346482	0.00211313328075722	Aktip/Atg10/Bcor/Cbx4/Ccnb1ip1/Ccnc/Ddb2/Dtl/Fancl/Herc6/Klhl42/Lnx1/Med10/Med11/Nedd4/Pcgf3/Peli2/Pias2/Rbck1/Rfwd3/Rnf114/Rnf14/Rnf144b/Rnf187/Rnf41/Rnf43/Rnft1/Sumo2/Traf3ip2/Trim2/Trim23/Trim25/Trim35/Trim45/Trim5/Trim68/Ube2d4/Ube2e3/Ube2j2/Wdsub1/Znrf1	41
GO:0016922	nuclear receptor binding	20/1254	158/28409	0.126582278481013	2.86768417014919	5.05893690709593	2.2726150377955e-05	0.00261350729346482	0.00211313328075722	Actn4/Bud31/Dcaf1/Dcaf13/Dnmt1/Gtf2b/Hmga1/Med16/Ncoa2/Ncoa7/Nup62/Parp1/Pias2/Psmc3ip/Rnf14/Smarca4/Sra1/Sumo2/Tcf7l2/Trim68	20
GO:1990825	sequence-specific mRNA binding	6/1254	16/28409	0.375	8.49551435406699	6.44465961919839	3.99474609006906e-05	0.00413456220322148	0.00334297172800516	Dhx9/Hnrnpa1/Larp6/Nova1/Rbm24/Tyms	6
