ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0043062	extracellular structure organization	65/1179	335/28928	0.194029850746269	4.76072563391693	14.2708264164118	4.75843073226846e-26	2.52958177727391e-22	1.88033147041429e-22	Abi3bp/Acan/Adamts1/Adamts12/Adamts13/Adamts14/Adamts17/Adamts18/Adamts19/Adamts20/Adamts3/Adamtsl2/Adtrp/Arhgap33os/Col11a1/Col13a1/Col14a1/Col15a1/Col19a1/Col23a1/Col24a1/Col2a1/Col3a1/Col4a2/Col4a6/Col5a1/Col5a3/Col6a4/Col7a1/Col8a2/Col9a1/Col9a2/Comp/Csgalnact1/Ctss/Egflam/Eng/Fgfr4/Hapln2/Hmcn1/Hpn/Hspg2/Ihh/Itih1/Lamb2/Lamb3/Loxl1/Loxl3/Matn1/Matn4/Mmp19/Mmp25/Mmp28/Mmp9/Myh11/Ndnf/Nphs1/Nr2e1/Papln/Slc2a10/Slc39a8/Sulf1/Tex14/Tfap2a/Tnxb	65
GO:0030198	extracellular matrix organization	63/1179	333/28928	0.189189189189189	4.64195493203127	13.7783294688718	1.17010399860332e-24	2.45758827215778e-21	1.82681604167762e-21	Abi3bp/Acan/Adamts1/Adamts12/Adamts13/Adamts14/Adamts17/Adamts18/Adamts19/Adamts20/Adamts3/Adamtsl2/Adtrp/Col11a1/Col13a1/Col14a1/Col15a1/Col19a1/Col23a1/Col24a1/Col2a1/Col3a1/Col4a2/Col4a6/Col5a1/Col5a3/Col6a4/Col7a1/Col8a2/Col9a1/Col9a2/Comp/Csgalnact1/Ctss/Egflam/Eng/Fgfr4/Hapln2/Hmcn1/Hpn/Hspg2/Ihh/Itih1/Lamb2/Lamb3/Loxl1/Loxl3/Matn1/Matn4/Mmp19/Mmp25/Mmp28/Mmp9/Myh11/Ndnf/Nphs1/Nr2e1/Papln/Slc2a10/Slc39a8/Sulf1/Tfap2a/Tnxb	63
GO:0045229	external encapsulating structure organization	63/1179	334/28928	0.188622754491018	4.62805686337249	13.746584122977	1.38690083078882e-24	2.45758827215778e-21	1.82681604167762e-21	Abi3bp/Acan/Adamts1/Adamts12/Adamts13/Adamts14/Adamts17/Adamts18/Adamts19/Adamts20/Adamts3/Adamtsl2/Adtrp/Col11a1/Col13a1/Col14a1/Col15a1/Col19a1/Col23a1/Col24a1/Col2a1/Col3a1/Col4a2/Col4a6/Col5a1/Col5a3/Col6a4/Col7a1/Col8a2/Col9a1/Col9a2/Comp/Csgalnact1/Ctss/Egflam/Eng/Fgfr4/Hapln2/Hmcn1/Hpn/Hspg2/Ihh/Itih1/Lamb2/Lamb3/Loxl1/Loxl3/Matn1/Matn4/Mmp19/Mmp25/Mmp28/Mmp9/Myh11/Ndnf/Nphs1/Nr2e1/Papln/Slc2a10/Slc39a8/Sulf1/Tfap2a/Tnxb	63
GO:0003012	muscle system process	62/1179	460/28928	0.134782608695652	3.30703248884464	10.2810880758255	1.35776397740667e-16	1.80446832597347e-13	1.34132788715386e-13	Abcc9/Acacb/Adcy10/Adra1b/Atp1a2/Atp2a1/Ccdc78/Chrna3/Chrnb4/Chrnd/Cmya5/Col14a1/Comp/Eno1/Flt1/Gata4/Gata5/Gatm/Ghrl/Glra1/Htr1d/Igf1/Kcna1/Kcna5/Kcnd3/Kcnip1/Mybpc2/Mybpc3/Myh11/Myh13/Myh2/Myh3/Myh6/Myh7/Myh8/Myocd/Myom2/Nmu/P2ry1/Pgam2/Pi16/Ppara/Rem1/Rnf207/Ryr1/Ryr3/Scn10a/Scn4b/Scn5a/Sgca/Srl/Sulf1/Synm/Tbx20/Tbxa2r/Tmod2/Tnni3k/Tnnt2/Tnnt3/Trim72/Trpc3/Trpv4	62
GO:0031589	cell-substrate adhesion	53/1179	377/28928	0.140583554376658	3.44936476760641	9.86730179586954	3.8624757922868e-15	3.8376436058092e-12	2.85266209183948e-12	Abi3bp/Acvrl1/Adam9/Adamts12/Alox15/Axl/Bves/Cass4/Ccl28/Cdk5/Col13a1/Col3a1/Col5a3/Dab2/Disc1/Dock1/Efna5/Egflam/Enpp2/Epdr1/Frem1/Fzd7/Itga11/Itga7/Itgad/Itgal/Itgax/Itgb2/Itgb2l/Itgb4/Kdr/Lamb2/Lamb3/Lims2/Mslnl/Myo1g/Ndnf/Nid2/Npy/Otoa/Pcsk5/Rcc2/Serpine1/Sfrp1/Spock1/Strc/Tnfrsf12a/Tnn/Tnxb/Vwa2/Vwf/Wnt1/Wnt4	53
GO:0006936	muscle contraction	49/1179	329/28928	0.148936170212766	3.6543049464927	9.98063729853956	4.33142619165824e-15	3.8376436058092e-12	2.85266209183948e-12	Abcc9/Adcy10/Adra1b/Atp1a2/Atp2a1/Ccdc78/Chrna3/Chrnb4/Chrnd/Comp/Eno1/Flt1/Gata4/Ghrl/Glra1/Htr1d/Kcna1/Kcna5/Kcnd3/Kcnip1/Mybpc2/Mybpc3/Myh11/Myh13/Myh2/Myh3/Myh6/Myh7/Myh8/Myocd/Myom2/Nmu/Pgam2/Rem1/Rnf207/Ryr1/Ryr3/Scn10a/Scn4b/Scn5a/Sulf1/Synm/Tbx20/Tbxa2r/Tmod2/Tnni3k/Tnnt2/Tnnt3/Trpv4	49
GO:0042060	wound healing	51/1179	394/28928	0.129441624365482	3.17598584363416	8.96412244183188	3.44531202795546e-13	2.61646839151589e-10	1.94491749668343e-10	Acvrl1/Adamts13/Adamts18/Adtrp/Alox15/Alox5/Axl/C1qtnf1/Ccm2l/Celsr1/Cldn1/Cldn19/Col3a1/Col5a1/Comp/Drd5/Emilin2/Eng/F2rl1/F7/Fer1l5/Fgf1/Fzd7/Gata4/Hmgb1/Igf1/Ins1/Ins2/Kdr/Myh2/Ndnf/Nlrp6/P2ry1/Pdia2/Ppara/Proz/Prss56/Selp/Serpinc1/Serpine1/Slc6a4/Tbxa2r/Timp1/Tnfrsf12a/Trim72/Tsku/Tspan32/Vwf/Wfdc1/Wnt4/Yap1	51
GO:1901342	regulation of vasculature development	44/1179	326/28928	0.134969325153374	3.31161377271994	8.65188631293638	3.47728722283347e-12	2.31065735957284e-09	1.71759687296274e-09	Acvrl1/Adam10/Adamts1/Alox5/Cd59a/Cdh5/Cela1/Col4a2/Crhr2/Cxcl12/Efna3/Emilin2/Eng/Erap1/Fgf1/Flt1/Gata4/Ghrl/Hipk2/Hmga2/Hmgb1/Hoxa5/Hyal1/Itgax/Itgb2/Itgb2l/Kdr/Mmp9/Ngfr/Notch4/Nr2e1/Pik3cg/Pik3r6/Ppp1r16b/Sema4a/Serpine1/Sparc/Stab1/Sulf1/Tbxa2r/Thbs4/Tnfrsf12a/Tnn/Wnt4	44
GO:0010038	response to metal ion	48/1179	384/28928	0.125	3.06700593723494	8.40494453441538	6.10669180458984e-12	3.60701929257773e-09	2.68123053034272e-09	Abcc6/Abcc9/Adam9/Adamts13/Adcy8/Alox15/Aqp2/Atp12a/Atp1a2/Capn3/Cldn1/Cnga3/Cp/Cpne3/Cpne7/Cpne9/Gabrg2/Gatm/Gipr/Glra1/Gria1/Kcna1/Kcnc2/Kcnj1/Kcnmb1/Kcnmb2/Maob/Mapk3/Mmp9/Neurod2/Nfatc4/P2rx5/Pdx1/Pgam2/Ryr1/Ryr3/Scn5a/Slc13a2/Slc13a5/Slc26a5/Slc30a8/Slc39a8/Slc6a3/Tat/Tfap2a/Tfr2/Tnnt2/Trpc3	48
GO:0098659	inorganic cation import across plasma membrane	26/1179	127/28928	0.204724409448819	5.02312783421156	9.3658423053305	8.55997534154102e-12	4.13680262869382e-09	3.07503803178421e-09	Abcc9/Atp12a/Atp1a2/Atp1a4/Cacna1f/Cnga3/Kcnd3/Kcnj1/Kcnj12/Kcnk9/Lcn2/P2rx5/Scn5a/Slc12a8/Slc30a8/Slc39a4/Slc39a5/Slc39a8/Slc5a2/Slc6a1/Slc9a4/Slc9a7/Slc9a9/Trpm1/Trpv4/Wnk3	26
