ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006644	phospholipid metabolic process	50/1248	361/28928	0.138504155124654	3.21045528801762	8.97385330300344	3.60225577837506e-13	1.44784546632117e-09	9.65266251167521e-10	Abhd5/Acp6/Arf1/Atm/Ddhd1/Etnk1/Far1/Fig4/Gde1/Gdpd1/Gnpat/Gpam/Hmgcs1/Hmgcs2/Impa2/Itpka/Lpin1/Mboat2/Mtmr10/Mtmr9/Mvd/Ocrl/Pdgfa/Pgap1/Pi4k2a/Pi4k2b/Pigb/Pigc/Pigh/Pign/Pigw/Pik3r1/Pip4k2b/Pip5k1a/Pip5k1b/Pip5k1c/Pla2g12a/Pla2g15/Pla2g6/Plcb1/Pld1/Plpp1/Plpp6/Sacm1l/Scp2/Sh3glb1/Slc27a1/Sphk2/Sptlc1/Them5	50
GO:0006790	sulfur compound metabolic process	49/1248	352/28928	0.139204545454545	3.22668997668998	8.92496075059838	5.12149086070452e-13	1.44784546632117e-09	9.65266251167521e-10	Abcd1/Acot3/Acsl4/Acss2/Ahcy/Ahcyl1/Apip/Arsg/B3galt6/Cbs/Coasy/Csad/Ctns/Dcakd/Dld/Dlst/Dpep2/Dsel/Elovl7/Far1/Gamt/Gcdh/Gpam/Gstm2/Gstz1/Hmgcr/Hmgcs1/Hmgcs2/Lias/Mccc2/Mical2/Mlycd/Mri1/Mtap/Mthfd1/Mthfd2l/Mvd/Oplah/Oxct2a/Papss1/Pdha1/Pdk3/Slc35b2/Slc35d2/Stat5a/Stat5b/Them5/Thtpa/Tpst1	49
GO:0006520	amino acid metabolic process	43/1248	291/28928	0.147766323024055	3.42514759009604	8.82870196633766	1.80533070005045e-12	3.40244659269508e-09	2.26838218837918e-09	Acy1/Afmid/Ahcy/Apip/Azin1/Bckdha/Bckdhb/Carnmt1/Cars2/Cbs/Csad/Ctps2/Ddah1/Ddo/Dld/Dlst/Ero1a/Gamt/Gart/Gcdh/Gmps/Gstz1/Hibadh/Hibch/Mccc1/Mccc2/Mri1/Mtap/Mthfd1/Mthfd2l/Nars2/Nit2/Oat/P4hb/Pars2/Pycr3/Sephs2/Shmt1/Srr/Tars2/Tdh/Txnrd1/Vars2	43
GO:0031346	positive regulation of cell projection organization	57/1248	471/28928	0.121019108280255	2.80516086885514	8.38702147033469	2.50895341154229e-12	3.54640564721502e-09	2.36435846492972e-09	Actr2/Actr3/Afdn/Agrn/Amigo1/Ankrd1/Apbb1/Aqp1/Arf6/Arhgap35/Atmin/Bmp5/Bmp7/Carmil1/Cep120/Dbnl/Eef2k/Ephb2/Espn/Fbxo31/Fig4/Fn1/Fxn/Gsk3b/Igf1r/Il6/Ilk/Iqgap1/Itga6/Itpka/Kalrn/Kat2a/Lyn/Mark4/Metrn/Nck1/Numb/Numbl/Pafah1b1/Palm/Pik3r1/Rab21/Rala/Rap1a/Retreg3/Ripor2/Scarf1/Sema5a/Sh3glb1/Srf/Styxl1/Tbc1d24/Tgfb3/Tiam1/Trak1/Twf2/Zeb2	57
GO:1990778	protein localization to cell periphery	52/1248	409/28928	0.127139364303178	2.94702526487368	8.42058069341857	3.53554880776967e-12	3.99799859182594e-09	2.66543163802593e-09	Actr3/Afdn/Arf6/Atp2c1/Cacna2d2/Cdh1/Cltc/Csrp3/Dpp6/Ehd4/Ephb2/Exoc5/Ezr/Grin2a/Gsk3b/Ilk/Kalrn/Kcnip3/Kif5b/Large1/Map7/Mex3b/Mylk/Neto2/Numb/Optn/Palm/Pdpk1/Pigw/Pik3r1/Pip5k1a/Plekhf1/Ppp2r5a/Rab31/Rab8a/Rabep1/Rap1a/Rdx/Rhbdf2/Rilpl1/Rock2/Sacm1l/Scp2/Scrib/Snap23/Stx3/Tmed2/Traf6/Tspan15/Tspan18/Vps35/Zdhhc4	52
GO:0043087	regulation of GTPase activity	36/1248	220/28928	0.163636363636364	3.79300699300699	8.8299418247184	5.69198004425867e-12	5.36374252837309e-09	3.57596149798076e-09	Agrn/Arap2/Arfgef1/Arhgap35/Asap1/Bcar3/Chn1/Crk/Dock9/Ephb3/Fermt2/Gsk3b/Itga6/Kalrn/Lrch1/Lrrk2/Map4k4/Mapre2/Mex3b/Mlst8/Net1/Pafah1b1/Pip5k1a/Prkg1/Pycard/Ralgapa1/Rap1a/Rdx/Rgs14/Ripor2/Scrib/Sipa1l1/Slc27a4/Tbc1d7/Tiam1/Tmed2	36
GO:0007015	actin filament organization	56/1248	476/28928	0.117647058823529	2.72699849170437	8.06705433659647	1.21109631533833e-11	9.2230138763266e-09	6.14890486309191e-09	Actn4/Actr2/Actr3/Add2/Arf1/Arf6/Arfgef1/Arfip1/Arhgap35/Bin1/Cald1/Cap1/Carmil1/Carmil3/Casp4/Dbnl/Diaph1/Dmtn/Elmo1/Enah/Esam/Espn/Ezr/Fchsd1/Fermt2/Iqgap1/Lats1/Mical2/Mlst8/Mtpn/Myo1c/Myo1d/Nck1/Pdxp/Pik3r1/Plec/Pycard/Rdx/Rflnb/Rhob/Rhoh/Rhpn1/Rock2/Sema5a/Shank3/Shroom4/Slit2/Sorbs3/Srf/Tagln2/Tgfb3/Tpm4/Twf2/Wdr1/Wipf3/Zeb2	56
GO:0051962	positive regulation of nervous system development	50/1248	397/28928	0.125944584382872	2.91933087902861	8.17640800133749	1.3049895827841e-11	9.2230138763266e-09	6.14890486309191e-09	Actr2/Actr3/Adgrl3/Afdn/Agrn/Amigo1/Atxn1/Bin1/Clcf1/Dbnl/Eef2k/Ephb2/Ephb3/Fbxo31/Fn1/Fxn/Fzd3/Gsk3b/Hif1a/Id2/Il6/Il6st/Ilk/Itpka/Kalrn/Lingo4/Lyn/Mapk8/Metrn/Notch1/Numb/Numbl/Pafah1b1/Pik3r1/Prkca/Rab21/Rela/Rgs14/Rheb/Sema5a/Sh3glb1/Shank3/Slit2/Srf/Tbc1d24/Tiam1/Trak1/Twf2/Xrcc6/Zeb2	50
GO:0044282	small molecule catabolic process	48/1248	376/28928	0.127659574468085	2.95908346972177	8.1190374142249	2.07298725073338e-11	1.30229665729406e-08	8.68230098815934e-09	Abcb11/Abcd1/Abhd2/Acad10/Ada/Adal/Adh5/Afmid/Ahcy/Bckdha/Bckdhb/Bdh2/Cbs/Csad/Dcxr/Ddah1/Ddo/Decr2/Dld/Dlst/Dpep2/Foxk2/Gale/Gcdh/Glyctk/Gstz1/Hacl1/Hibadh/Hibch/Idnk/Lpin1/Mccc1/Mccc2/Mlycd/Nudt5/Oat/Oxct2a/Pdxp/Pex7/Pgd/Pycr3/Scp2/Shmt1/Slc27a4/Sord/Tdh/Tkfc/Tysnd1	48
GO:0060562	epithelial tube morphogenesis	50/1248	404/28928	0.123762376237624	2.86874841330287	8.0317883045622	2.47599247429453e-11	1.39992614496613e-08	9.33318847415655e-09	Apaf1/Aplnr/Arhgap35/Bmp5/Bmp7/Brpf1/Ctns/Cxcl10/Edn1/Efnb2/Enah/Fkbpl/Fzd3/Gli2/Gna13/Hhex/Hif1a/Ilk/Kat2a/Lias/Mical2/Mthfd1/Mycn/Notch1/Nphp3/Pax2/Podxl/Ppp3r1/Prkx/Rab23/Rala/Rbpj/Rhob/Rock2/Sall1/Scrib/Sema5a/Shank3/Slit2/Sostdc1/Srf/Stard13/Stk4/Tead1/Tgfb2/Tmed2/Tmtc3/Traf6/Vdr/Zeb2	50
GO:0016054	organic acid catabolic process	37/1248	249/28928	0.14859437751004	3.44434146843785	8.2253709844109	5.35551052635153e-11	2.5233380429993e-08	1.68228799954955e-08	Abcb11/Abcd1/Abhd2/Acad10/Afmid/Ahcy/Bckdha/Bckdhb/Bdh2/Cbs/Csad/Dcxr/Ddah1/Ddo/Decr2/Dld/Dlst/Dpep2/Gcdh/Gstz1/Hacl1/Hibadh/Hibch/Idnk/Lpin1/Mccc1/Mccc2/Mlycd/Oat/Pex7/Pgd/Scp2/Shmt1/Slc27a4/Sord/Tdh/Tysnd1	37
