ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030902	hindbrain development	25/891	206/28928	0.121359223300971	3.94015669096575	7.54955800601134	5.93577735599739e-09	3.05929964928105e-05	2.39617959581579e-05	Ascl1/Bcl2/Cacna1a/Foxa2/Foxc1/Gabrb3/Gbx2/Hoxb2/Hoxb3/Kcnc1/Ldb1/Lmx1a/Lmx1b/Map2k1/Nanos1/Nfib/Psmg1/Smarca4/Socs7/Sptbn2/Sstr1/Tbr1/Ttc21b/Whrn/Zbtb18	25
GO:0055123	digestive system development	21/891	163/28928	0.128834355828221	4.18285100493689	7.26444936538912	3.38692623679676e-08	6.72875335762266e-05	5.27025899689212e-05	Agr2/Ascl1/Ass1/Barx1/Bcl2/Ccdc39/Chrd/Cps1/Dact1/Epb41l5/Foxp4/Hip1r/Hoxd13/Hrh2/Insr/Kit/Nkx2-2/Six2/Src/Vangl2/Wdr19	21
GO:0060541	respiratory system development	29/891	293/28928	0.0989761092150171	3.21344656270709	6.7885815129484	3.91662011503065e-08	6.72875335762266e-05	5.27025899689212e-05	Abca3/Agr2/Asah1/Ascl1/Ass1/Bmpr1a/Ccdc39/Chd7/Esrp2/Eva1a/Fbxw7/Foxa2/Foxp4/Grhl2/Id1/Lama5/Map2k1/Nfib/Pgr/Pou2f1/Rara/Selenon/Sim2/Six4/Sox2/Spry1/Tgfbr2/Vangl2/Vegfa	29
GO:0003002	regionalization	37/891	454/28928	0.0814977973568282	2.6459801144089	6.30163216397182	9.50193864859441e-08	0.000122432479487139	9.5894565045683e-05	Acvr2a/Ascl1/Barx1/Bmpr1a/Ccdc39/Cer1/Chrd/Dll3/Dzip1l/Epb41l5/Foxa2/Foxc1/Gbx2/Gpr161/Hoxb2/Hoxb3/Hoxb7/Hoxc8/Hoxd13/Hoxd3/Lama5/Ldb1/Lhx2/Lmx1b/Mllt3/Nkx2-2/Nme7/Notch2/Pax1/Six2/Spry1/Tbr1/Tdrd7/Tgfbr2/Ttc21b/Vangl2/Wdr19	37
GO:0060485	mesenchyme development	30/891	328/28928	0.0914634146341463	2.96953272563029	6.39501968573199	1.32892276034829e-07	0.000136985358136702	0.00010729302707233	Bcl2/Bmpr1a/Chrd/Dll3/Ell3/Emp2/Epb41l5/Epha3/Foxa2/Foxc1/Gbx2/Il17rd/Itga4/Klhl12/Lama5/Lrg1/Nedd4/Nolc1/Pax1/Phldb1/Rbm24/Sema4f/Six2/Six4/Sox4/Spry1/Tgfbr2/Vangl2/Vegfa/Wnt16	30
GO:0051259	protein complex oligomerization	27/891	286/28928	0.0944055944055944	3.06505615596525	6.2565942537454	2.97438827844524e-07	0.000255499953118446	0.000200118930663815	Abca3/Atl1/Bcl10/Bend3/Best1/Calhm1/Crtc1/Ehd3/Farsa/Homer1/Itpr1/Kcna2/Kcna4/Kcnb2/Kcnc1/Kcng3/Kcns3/Kctd1/Kctd12/Kctd5/Mospd2/Nacc2/Osbpl2/Pex5/Prmt8/Twnk/Yme1l1	27
GO:0048608	reproductive structure development	32/891	386/28928	0.0829015544041451	2.6915557416421	5.96434207921588	4.75609441939185e-07	0.000350184437679223	0.000274280031554402	Acvr2a/Ago4/Ahr/Bcas2/Bcl2/Bmp6/Cdkn1b/Cga/Chd7/Dhcr24/Eaf2/Eif2b4/Fem1b/Foxc1/Fst/Gas2/Hoxd13/Inhba/Insr/Kit/Pde4d/Pgr/Pla2g4a/Rara/Runx1/Six4/Sox2/Src/Tesc/Vegfa/Wdr19/Ybx3	32
GO:0061458	reproductive system development	32/891	391/28928	0.0818414322250639	2.6571368702656	5.88121938827285	6.31356380271446e-07	0.000381652516835537	0.00029892723118769	Acvr2a/Ago4/Ahr/Bcas2/Bcl2/Bmp6/Cdkn1b/Cga/Chd7/Dhcr24/Eaf2/Eif2b4/Fem1b/Foxc1/Fst/Gas2/Hoxd13/Inhba/Insr/Kit/Pde4d/Pgr/Pla2g4a/Rara/Runx1/Six4/Sox2/Src/Tesc/Vegfa/Wdr19/Ybx3	32
GO:0051047	positive regulation of secretion	35/891	451/28928	0.0776053215077605	2.51960352477721	5.79824049274544	6.66447933938657e-07	0.000381652516835537	0.00029892723118769	Acvr2a/Bmp6/Cacna1d/Cacna1g/Doc2a/Exph5/F2rl2/Gpld1/Gpr27/Gpr39/Htr6/Ier3ip1/Irs1/Itpr1/Kmo/Map1lc3b/Mmp13/Nr3c1/Or51e2/Pex5l/Pla2g4a/Plcd1/Prl/Rapgef4/Runx1/Sox4/Spp1/Stim1/Stxbp5/Syk/Syt4/Syt9/Sytl2/Tlr4/Tunar	35
GO:1903532	positive regulation of secretion by cell	32/891	399/28928	0.0802005012531328	2.60386094304223	5.75088474643438	9.8179385856202e-07	0.000506016554702865	0.000396334678693194	Acvr2a/Bmp6/Cacna1d/Cacna1g/Doc2a/Exph5/F2rl2/Gpld1/Gpr27/Gpr39/Htr6/Ier3ip1/Irs1/Itpr1/Kmo/Mmp13/Nr3c1/Or51e2/Pex5l/Pla2g4a/Plcd1/Rapgef4/Runx1/Sox4/Spp1/Stim1/Stxbp5/Syk/Syt4/Syt9/Tlr4/Tunar	32
GO:0030324	lung development	24/891	259/28928	0.0926640926640927	3.00851500851501	5.78819921540599	1.8597074410743e-06	0.000815667913352	0.000638867399404636	Abca3/Agr2/Asah1/Ascl1/Bmpr1a/Ccdc39/Esrp2/Eva1a/Fbxw7/Foxa2/Foxp4/Grhl2/Id1/Lama5/Map2k1/Nfib/Pgr/Selenon/Sim2/Sox2/Spry1/Tgfbr2/Vangl2/Vegfa	24
GO:0007548	sex differentiation	30/891	372/28928	0.0806451612903226	2.61829767206111	5.600231392023	1.89911039197206e-06	0.000815667913352	0.000638867399404636	Acvr2a/Ago4/Ahr/Bcas2/Bcl2/Bmp6/Bmpr1a/Cga/Chd7/Dhcr24/Eif2b4/Foxc1/Fst/Gas2/Hoxd13/Inhba/Insr/Kit/Pde4d/Pgr/Pla2g4a/Rara/Runx1/Six4/Sox2/Src/Tesc/Vegfa/Wdr19/Ybx3	30
GO:0030323	respiratory tube development	24/891	262/28928	0.0916030534351145	2.97406636337934	5.7220760414553	2.27684370993841e-06	0.00085404659126096	0.000668927287438633	Abca3/Agr2/Asah1/Ascl1/Bmpr1a/Ccdc39/Esrp2/Eva1a/Fbxw7/Foxa2/Foxp4/Grhl2/Id1/Lama5/Map2k1/Nfib/Pgr/Selenon/Sim2/Sox2/Spry1/Tgfbr2/Vangl2/Vegfa	24
GO:0051260	protein homooligomerization	21/891	210/28928	0.1	3.24668911335578	5.82505877355203	2.42794880687344e-06	0.00085404659126096	0.000668927287438633	Abca3/Atl1/Bcl10/Bend3/Calhm1/Crtc1/Ehd3/Itpr1/Kcna2/Kcna4/Kcnb2/Kcnc1/Kcng3/Kcns3/Kctd1/Kctd12/Kctd5/Mospd2/Nacc2/Osbpl2/Prmt8	21
GO:0010506	regulation of autophagy	27/891	319/28928	0.0846394984326019	2.74798138121022	5.59635923001656	2.48558379295972e-06	0.00085404659126096	0.000668927287438633	Atg101/Bcl2/C9orf72/Calcoco2/Cisd2/Dram1/Fbxw7/Foxo1/Lamp3/Lmx1b/Lzts1/Map2k1/Mtmr4/Nrbp2/Pim2/Rnf41/Rragd/Sec22b/Sirt2/Slc35d3/Sptlc2/Trim21/Trim23/Trim5/Trim6/Usp13/Vps13c	27
GO:0048565	digestive tract development	17/891	148/28928	0.114864864864865	3.7293050626384	5.93420196006545	3.38209829167597e-06	0.00102827306627066	0.000805389214130666	Agr2/Ascl1/Ass1/Bcl2/Ccdc39/Chrd/Cps1/Dact1/Epb41l5/Foxp4/Hoxd13/Hrh2/Kit/Nkx2-2/Six2/Src/Vangl2	17
GO:0061138	morphogenesis of a branching epithelium	22/891	232/28928	0.0948275862068965	3.07875691783738	5.66711201773632	3.39166513903788e-06	0.00102827306627066	0.000805389214130666	Ahr/Bcl2/Esrp2/Fem1b/Foxa2/Gbx2/Grhl2/Hoxb7/Hoxd13/Lama5/Pak1/Pgr/Plxna1/Six2/Six4/Sox2/Spry1/Src/Tek/Tgfbr2/Vangl2/Vegfa	22
GO:0001763	morphogenesis of a branching structure	23/891	252/28928	0.0912698412698413	2.96324800028504	5.58008644943358	3.91017934741835e-06	0.00111550439333711	0.00087371267047522	Ahr/Bcl11a/Bcl2/Esrp2/Fem1b/Foxa2/Gbx2/Grhl2/Hoxb7/Hoxd13/Lama5/Pak1/Pgr/Plxna1/Six2/Six4/Sox2/Spry1/Src/Tek/Tgfbr2/Vangl2/Vegfa	23
GO:0008585	female gonad development	16/891	135/28928	0.118518518518519	3.84792783805129	5.91258211567319	4.33377449258176e-06	0.00111550439333711	0.00087371267047522	Ahr/Bcas2/Bcl2/Eif2b4/Foxc1/Fst/Gas2/Inhba/Insr/Kit/Pde4d/Pgr/Pla2g4a/Runx1/Src/Vegfa	16
