ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005759	mitochondrial matrix	51/1254	369/28829	0.138211382113821	3.17742897524669	8.97713998507705	3.10119454227223e-13	1.96925853434287e-10	1.38084767513806e-10	Bckdha/Bckdhb/Bdh1/Cbr4/Coasy/Cox15/Dld/Dlst/Fdx1/Foxo3/Gcdh/Hmgcs2/Iba57/Lrrk2/Lyrm7/Mccc1/Mccc2/Mettl15/Mettl4/Mipep/Mlycd/Mpg/Mrpl16/Mrpl40/Mrpl41/Mrpl49/Mrpl57/Mrps10/Mrps12/Mrps17/Mrps7/Mthfd2l/Nars2/Ndufaf1/Nipsnap1/Nipsnap2/Oat/Ogdhl/Pars2/Pcca/Pdha1/Pdk3/Ppif/Pptc7/Ptcd1/Rida/Rtn4ip1/Tars2/Tefm/Them5/Tst	51
GO:0098791	Golgi apparatus subcompartment	49/1254	376/28829	0.13031914893617	2.99598942957006	8.30780686810095	8.06144550344737e-12	2.55950894734454e-09	1.79473234103065e-09	Ap1g1/Ap1s2/Ap3b1/Ap3s2/Ap4e1/Arf1/Arfgef1/Arfip1/Arl5a/Arl5c/Asap1/Atp2c1/B3galt6/B4galt6/Cant1/Car4/Cby1/Cdh1/Ece2/Eipr1/Fut8/Gbf1/Gcnt1/Golim4/Hace1/Lrrk2/Mbtps1/Mgat4a/Nucb1/Ocrl/Optn/Pi4k2a/Pi4k2b/Pld1/Rab21/Rab27b/Rab31/Rab32/Rab6a/Rab7b/Rgs20/Slc35b2/Stx6/Tgfb2/Tmed2/Tmem165/Tpst1/Trappc9/Yipf6	49
GO:0005802	trans-Golgi network	38/1254	261/28829	0.145593869731801	3.34714965749449	8.12305476376095	6.92047371270903e-11	1.46483360252341e-08	1.02714399314945e-08	Ap1g1/Ap1s2/Ap3b1/Ap3s2/Ap4e1/Arf1/Arfgef1/Arfip1/Arl5a/Arl5c/Asap1/Atp2c1/Car4/Cby1/Cdh1/Ece2/Eipr1/Gbf1/Gcnt1/Lrrk2/Nucb1/Ocrl/Optn/Pi4k2a/Pi4k2b/Rab21/Rab31/Rab32/Rab6a/Rab7b/Rgs20/Slc35b2/Stx6/Tgfb2/Tmem165/Tpst1/Trappc9/Yipf6	38
GO:0005777	peroxisome	27/1254	153/28829	0.176470588235294	4.05699408950183	8.08498638660546	5.25504145792086e-10	6.67390265155949e-08	4.6797527088432e-08	Abcd1/Acot3/Acsl4/Akap11/Arf1/Atm/Ddo/Decr2/Dhrs4/Far1/Gbf1/Gnpat/Hacl1/Hmgcr/Hsdl2/Mgat4a/Mlycd/Mpv17/Mvd/Nbr1/Pecr/Pex10/Pex7/Pxmp2/Rida/Scp2/Tysnd1	27
GO:0042579	microbody	27/1254	153/28829	0.176470588235294	4.05699408950183	8.08498638660546	5.25504145792086e-10	6.67390265155949e-08	4.6797527088432e-08	Abcd1/Acot3/Acsl4/Akap11/Arf1/Atm/Ddo/Decr2/Dhrs4/Far1/Gbf1/Gnpat/Hacl1/Hmgcr/Hsdl2/Mgat4a/Mlycd/Mpv17/Mvd/Nbr1/Pecr/Pex10/Pex7/Pxmp2/Rida/Scp2/Tysnd1	27
GO:0030139	endocytic vesicle	33/1254	232/28829	0.142241379310345	3.27007713248639	7.40325371118556	2.23438297824952e-09	2.03249680525809e-07	1.42519046601603e-07	Abca1/Arf6/Ccl2/Clcn3/Cltc/Ehd4/Epn2/Flnb/Kif5b/Lmbrd1/Lrrk2/Myo1c/Ocln/Ocrl/Pld1/Rab11fip4/Rab23/Rab31/Rab32/Rab7b/Rab8a/Rabep1/Rala/Rap1a/Rilp/Rnf115/Slc15a2/Ston1/Stx11/Stx6/Tcirg1/Trim14/Unc93b1	33
GO:0031252	cell leading edge	52/1254	484/28829	0.107438016528926	2.46996058892536	6.95486021520942	2.24054765933963e-09	2.03249680525809e-07	1.42519046601603e-07	Abi1/Actr2/Actr3/Apbb1/Arf1/Arf6/Bcas3/Carmil1/Carmil3/Cdc42bpg/Cdh1/Ctnna1/Cttnbp2nl/Dbnl/Diaph1/Duoxa2/Dusp22/Enah/Ezr/Fermt2/Gbf1/Grin2a/Ilk/Iqgap1/Ksr1/Mtmr9/Mylk/Myo1c/Myo1d/Notch1/P4hb/Pafah1b1/Palm/Pdlim7/Pdxp/Pip5k1a/Pip5k1c/Pkn2/Pld1/Plekho1/Podxl/Ptpn13/Ptprk/Rdx/Ripor2/S100b/Scrib/Ston1/Stx3/Tiam1/Tln1/Twf2	52
GO:0005769	early endosome	49/1254	444/28829	0.11036036036036	2.53714420161789	6.96081211206835	2.68244644375242e-09	2.12919186472848e-07	1.49299321803589e-07	Abcb6/Ap1g1/Ap1s2/Ap3b1/Ap3m1/Ap3s2/Arf6/Arl8b/Arrdc3/Chmp1a/Clcn3/Clcn4/Cytip/Dbnl/Ehd4/Hgs/Ldlrad4/Mon2/Myo1d/Nucb1/Numb/Ocrl/Parm1/Pi4k2a/Pi4k2b/Plekhf1/Ptpn23/Rab21/Rab31/Rab32/Rabep1/Rabep2/Rabgap1l/Rap1a/Rcsd1/Rhob/Sh3glb1/Stam/Steap2/Stx6/Tmem184a/Tom1/Tpcn1/Tpd52l1/Trak1/Tsg101/Vps35/Wdr91/Wipf3	49
GO:0005912	adherens junction	27/1254	176/28829	0.153409090909091	3.52681872553284	7.17040415488245	1.23589368280601e-08	8.71991653979797e-07	6.1144213780929e-07	Adam15/Afdn/Cdh1/Ctnna1/Cxadr/Dsc2/Efnb2/Esam/Ezr/Fermt2/Frmd4a/Itga6/Keap1/Lyn/Mpp7/Nectin1/Notch1/Pdlim2/Pdlim5/Pdlim7/Pip5k1c/Rdx/Scrib/Shroom4/Snap23/Tln1/Tnk2	27
GO:0030055	cell-substrate junction	29/1254	214/28829	0.135514018691589	3.11541757963302	6.62375690202435	6.116050698932e-08	3.88369219382182e-06	2.72325204805078e-06	Actn4/Actr3/Arhgap26/Atp6v0a2/Bcar3/Enah/Ezr/Fermt2/Flnb/Ilk/Iqgap1/Itga1/Itga6/Keap1/Lpp/Lpxn/Map4k4/Mapre2/Pdlim7/Pdpk1/Pip5k1c/Plec/Ptpn12/Rala/Rdx/Shroom4/Sorbs3/Tln1/Usp33	29
