ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003924	GTPase activity	49/1234	308/28409	0.159090909090909	3.66257182849565	10.0117255652143	3.49778941903921e-15	3.64819436405789e-12	2.7540489320435e-12	Arf1/Arf6/Arhgap35/Arl10/Arl4c/Arl5a/Arl5c/Arl8a/Arl8b/Eef1a2/Efl1/Gbp2/Gbp5/Gfm2/Gna13/Gnai3/Gnao1/Gpn3/Gtpbp10/Irgc/Lrrk2/Mmaa/Nkiras1/Nlrp10/Ntpcr/Rab15/Rab19/Rab21/Rab23/Rab27b/Rab2a/Rab31/Rab32/Rab3a/Rab6a/Rab7b/Rab8a/Rala/Ralb/Rap1a/Rap1b/Rap2c/Rasl10a/Rheb/Rhob/Rhoh/Rras/Srp54a/Tmem250	49
GO:0005525	GTP binding	51/1234	364/28409	0.14010989010989	3.22559308600638	9.10671753636803	1.70330650237374e-13	8.88274340987908e-11	6.70564875671348e-11	Arf1/Arf6/Arhgap35/Arl10/Arl4c/Arl5a/Arl5c/Arl8a/Arl8b/Eef1a2/Efl1/Ehd4/Gbp2/Gbp5/Gfm2/Gna13/Gnai3/Gnao1/Gpn3/Gtpbp10/Irgc/Lrrk1/Lrrk2/Mmaa/Nkiras1/Npr2/Nudt2/Pip4k2b/Rab15/Rab19/Rab21/Rab23/Rab27b/Rab2a/Rab31/Rab32/Rab3a/Rab6a/Rab7b/Rab8a/Rala/Ralb/Rap1a/Rap1b/Rap2c/Rasl10a/Rheb/Rhob/Rhoh/Rras/Srp54a	51
GO:0019001	guanyl nucleotide binding	52/1234	389/28409	0.133676092544987	3.07747497010579	8.79163538488265	6.42447006607527e-13	1.67518056972913e-10	1.2646062130064e-10	Arf1/Arf6/Arhgap35/Arl10/Arl4c/Arl5a/Arl5c/Arl8a/Arl8b/Eef1a2/Efl1/Ehd4/Gbp2/Gbp5/Gfm2/Gna13/Gnai3/Gnao1/Gpn3/Gtpbp10/Irgc/Lrrk1/Lrrk2/Mmaa/Nkiras1/Npr2/Nudt2/Pip4k2b/Prkg1/Rab15/Rab19/Rab21/Rab23/Rab27b/Rab2a/Rab31/Rab32/Rab3a/Rab6a/Rab7b/Rab8a/Rala/Ralb/Rap1a/Rap1b/Rap2c/Rasl10a/Rheb/Rhob/Rhoh/Rras/Srp54a	52
GO:0032561	guanyl ribonucleotide binding	52/1234	389/28409	0.133676092544987	3.07747497010579	8.79163538488265	6.42447006607527e-13	1.67518056972913e-10	1.2646062130064e-10	Arf1/Arf6/Arhgap35/Arl10/Arl4c/Arl5a/Arl5c/Arl8a/Arl8b/Eef1a2/Efl1/Ehd4/Gbp2/Gbp5/Gfm2/Gna13/Gnai3/Gnao1/Gpn3/Gtpbp10/Irgc/Lrrk1/Lrrk2/Mmaa/Nkiras1/Npr2/Nudt2/Pip4k2b/Prkg1/Rab15/Rab19/Rab21/Rab23/Rab27b/Rab2a/Rab31/Rab32/Rab3a/Rab6a/Rab7b/Rab8a/Rala/Ralb/Rap1a/Rap1b/Rap2c/Rasl10a/Rheb/Rhob/Rhoh/Rras/Srp54a	52
GO:0004674	protein serine/threonine kinase activity	54/1234	440/28409	0.122727272727273	2.82541255341093	8.22322237500916	7.05097770522568e-12	1.47083394931008e-09	1.11034343652817e-09	Adck1/Akt3/Atm/Brsk1/Camk1g/Camkk1/Camkk2/Cdc42bpg/Cdk4/Chuk/Dyrk1a/Eef2k/Grk2/Gsk3b/Ilk/Irak3/Itpka/Kalrn/Ksr1/Lats1/Lrrk1/Lrrk2/Map2k6/Map3k2/Map4k4/Mapk6/Mapk8/Mapkapk2/Mark4/Mast2/Mylk/Nek9/Pdk3/Pdpk1/Pink1/Pkn2/Prkaa1/Prkaa2/Prkca/Prkg1/Prkx/Prpf4b/Ripk2/Rock2/Rps6ka3/Rps6ka5/Sik3/Sostdc1/Stk17b/Stk38l/Stk4/Strada/Tnk2/Top1	54
GO:0140993	histone modifying activity	53/1234	444/28409	0.119369369369369	2.74810730503599	7.91125337573026	3.17346982202024e-11	5.07638757654049e-09	3.83220256068253e-09	Akt3/Atm/Brd1/Brpf1/Brsk1/Cdc42bpg/Dot1l/Dyrk1a/Eef2kmt/Gsk3b/Hdac10/Hdac3/Hr/Jmjd1c/Kalrn/Kat2a/Kdm3a/Kdm4c/Kdm6b/Kmt5c/Ksr1/Lats1/Lrrk1/Lrrk2/Map4k4/Mapkapk2/Mark4/Mast2/Mettl23/Mier1/Naa50/Nek9/Nsd3/Pdpk1/Pink1/Prkaa1/Prkaa2/Prkca/Prkx/Prpf4b/Ripk2/Rock2/Rps6ka3/Rps6ka5/Rsbn1/Setd5/Sik3/Smyd2/Stk17b/Stk38l/Stk4/Taf10/Tnk2	53
GO:0030695	GTPase regulator activity	52/1234	433/28409	0.120092378752887	2.76475234034908	7.88547824938287	3.89368174614802e-11	5.07638757654049e-09	3.83220256068253e-09	Agfg1/Agfg2/Arap2/Arfgap1/Arfgef1/Arhgap21/Arhgap26/Arhgap35/Arhgef40/Asap1/Bcar3/Chm/Chn1/Dennd6a/Dock6/Dock9/Elmo1/Gbf1/Gbp2/Gbp5/Gopc/Grtp1/Hmgcr/Iqgap1/Kalrn/Krit1/Lrrk2/Net1/Nprl3/Nucb1/Ocrl/Pde6d/Plcb1/Rabep1/Rabep2/Rabgap1l/Ralgapa1/Rap1a/Rap1gap2/Rasa2/Rasa3/Rgs14/Rgs20/Sh3bp5l/Sipa1l1/Slit2/Smap2/Stard13/Tbc1d24/Tbc1d7/Tbc1d9/Tiam1	52
GO:0060589	nucleoside-triphosphatase regulator activity	52/1234	433/28409	0.120092378752887	2.76475234034908	7.88547824938287	3.89368174614802e-11	5.07638757654049e-09	3.83220256068253e-09	Agfg1/Agfg2/Arap2/Arfgap1/Arfgef1/Arhgap21/Arhgap26/Arhgap35/Arhgef40/Asap1/Bcar3/Chm/Chn1/Dennd6a/Dock6/Dock9/Elmo1/Gbf1/Gbp2/Gbp5/Gopc/Grtp1/Hmgcr/Iqgap1/Kalrn/Krit1/Lrrk2/Net1/Nprl3/Nucb1/Ocrl/Pde6d/Plcb1/Rabep1/Rabep2/Rabgap1l/Ralgapa1/Rap1a/Rap1gap2/Rasa2/Rasa3/Rgs14/Rgs20/Sh3bp5l/Sipa1l1/Slit2/Smap2/Stard13/Tbc1d24/Tbc1d7/Tbc1d9/Tiam1	52
GO:0019003	GDP binding	19/1234	83/28409	0.228915662650602	5.27006893050321	8.30184154136222	2.08169022166437e-09	2.41244766799548e-07	1.82117460328064e-07	Arf1/Arf6/Arl8b/Gbp2/Gnai3/Rab21/Rab27b/Rab2a/Rab31/Rab8a/Rala/Ralb/Rap1a/Rap1b/Rap2c/Rheb/Rhob/Rras/Srp54a	19
GO:0106310	protein serine kinase activity	43/1234	363/28409	0.118457300275482	2.72710975974568	7.05717552258688	2.89026663140437e-09	3.01454809655476e-07	2.27570467398997e-07	Akt3/Atm/Brsk1/Camk1g/Camkk1/Camkk2/Cdc42bpg/Cdk4/Dyrk1a/Gsk3b/Ilk/Kalrn/Ksr1/Lats1/Lrrk1/Lrrk2/Map2k6/Map3k2/Map4k4/Mapk6/Mapk8/Mapkapk2/Mark4/Mast2/Nek9/Pdpk1/Pink1/Pkn2/Prkaa1/Prkaa2/Prkca/Prkg1/Prkx/Prpf4b/Ripk2/Rock2/Rps6ka3/Rps6ka5/Sik3/Stk17b/Stk38l/Stk4/Tnk2	43
