ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0140097	catalytic activity, acting on DNA	13/515	239/28409	0.0543933054393305	3.00050371694358	4.22000956669745	0.000459253247394467	0.163783194406947	0.14860684207124	Ankle1/Dnase2a/Lig4/Msh5/Polb/Poln/Rad51b/Rad54l/Rfc4/Tatdn1/Top2b/Ung/Xrcc3	13
GO:0038191	neuropilin binding	4/515	22/28409	0.181818181818182	10.0296557811121	5.75693508418868	0.000602406299833126	0.163783194406947	0.14860684207124	Abl1/Sema4b/Sema4c/Sema6c	4
GO:0048156	tau protein binding	4/515	23/28409	0.173913043478261	9.59358379062896	5.6021493223705	0.000718846374273624	0.163783194406947	0.14860684207124	Apoe/Fyn/Hdac6/Hsp90ab1	4
GO:0003995	acyl-CoA dehydrogenase activity	3/515	12/28409	0.25	13.7907766990291	6.02171026106989	0.00115340277751371	0.163783194406947	0.14860684207124	Acad12/Acads/Acadvl	3
GO:0052890	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor	3/515	12/28409	0.25	13.7907766990291	6.02171026106989	0.00115340277751371	0.163783194406947	0.14860684207124	Acad12/Acads/Acadvl	3
GO:0030165	PDZ domain binding	8/515	123/28409	0.0650406504065041	3.58784434446286	3.90817033241562	0.00184613063338074	0.18840812000906	0.170949991765077	Arhgap29/Cit/Dlg2/Erc2/Fzd2/L1cam/Mpp2/Nos1ap	8
GO:0140664	ATP-dependent DNA damage sensor activity	3/515	14/28409	0.214285714285714	11.820665742025	5.50257041473637	0.00185754484515975	0.18840812000906	0.170949991765077	Msh5/Rad51b/Xrcc3	3
GO:0030695	GTPase regulator activity	17/515	433/28409	0.0392609699769053	2.16575707975515	3.32145020614468	0.00259008025505959	0.204328553454701	0.185395218256897	Arhgap29/Arhgef33/Dennd2a/Depdc1b/Dis3/Dnaja3/Iqgap3/Iqsec2/Iqsec3/Llgl1/Plekhg1/Rab3il1/Rgs5/Sgsm1/Sipa1/Tbc1d12/Tbc1d16	17
GO:0060589	nucleoside-triphosphatase regulator activity	17/515	433/28409	0.0392609699769053	2.16575707975515	3.32145020614468	0.00259008025505959	0.204328553454701	0.185395218256897	Arhgap29/Arhgef33/Dennd2a/Depdc1b/Dis3/Dnaja3/Iqgap3/Iqsec2/Iqsec3/Llgl1/Plekhg1/Rab3il1/Rgs5/Sgsm1/Sipa1/Tbc1d12/Tbc1d16	17
GO:0140612	DNA damage sensor activity	3/515	17/28409	0.176470588235294	9.73466590519703	4.89487168459299	0.00333278354450542	0.215510154317804	0.195540718224605	Msh5/Rad51b/Xrcc3	3
GO:0051059	NF-kappaB binding	4/515	35/28409	0.114285714285714	6.30435506241331	4.26653068062652	0.00358115769456334	0.215510154317804	0.195540718224605	Cdk5rap3/Dnaja3/Faf1/Ppard	4
GO:0046873	metal ion transmembrane transporter activity	17/515	450/28409	0.0377777777777778	2.08393959007551	3.14933648558657	0.0038196145546938	0.215510154317804	0.195540718224605	Atp1b2/Cacna2d4/Chp1/Itgav/Kcnab2/Kcnc3/Kcne1/Mrs2/Orai3/Pkd1/Slc12a6/Slc30a1/Slc38a4/Slc41a1/Slc6a5/Slc6a8/Tpcn2	17
GO:0000400	four-way junction DNA binding	3/515	18/28409	0.166666666666667	9.19385113268608	4.72500772558692	0.00394596057201613	0.215510154317804	0.195540718224605	Abl1/Rad51b/Xrcc3	3
GO:0044325	transmembrane transporter binding	9/515	174/28409	0.0517241379310345	2.85326414462672	3.33185887044715	0.00463264995531341	0.217564777803976	0.19740495777025	Casr/Epn1/Fyn/Hsp90ab1/Kcnab2/Kcne1/Mpp2/Pkd1/Ppp1r9b	9
GO:0031593	polyubiquitin modification-dependent protein binding	5/515	61/28409	0.0819672131147541	4.52156613082922	3.74117565578868	0.00496159086021646	0.217564777803976	0.19740495777025	Hdac6/Parp10/Tnip1/Uimc1/Zfand2b	5
GO:0008081	phosphoric diester hydrolase activity	6/515	87/28409	0.0689655172413793	3.80435219283562	3.55958008098185	0.00505168535397743	0.217564777803976	0.19740495777025	Napepld/Pde6c/Pde6g/Plcl2/Plcxd3/Smpdl3a	6
GO:0015459	potassium channel regulator activity	5/515	62/28409	0.0806451612903226	4.44863764484811	3.69367264745389	0.00531807357991894	0.217564777803976	0.19740495777025	Kcnab2/Kcne1/Prkcz/Wnk1/Wnk4	5
GO:0050660	flavin adenine dinucleotide binding	6/515	89/28409	0.0674157303370786	3.71886113232246	3.49063107769586	0.00564083967760681	0.217564777803976	0.19740495777025	Acads/Acadvl/Aox1/Ldhd/Nos3/Sardh	6
GO:0098918	structural constituent of synapse	4/515	40/28409	0.1	5.51631067961165	3.8838311223075	0.00582215602574021	0.217564777803976	0.19740495777025	Camk2b/Dlg2/Erc2/Mpp2	4
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	5/515	65/28409	0.0769230769230769	4.24331590739358	3.55700033990473	0.00649569978733132	0.230597342450262	0.209229908939303	Acad12/Acads/Acadvl/Crat/Dhcr7	5
GO:0050998	nitric-oxide synthase binding	3/515	22/28409	0.136363636363636	7.52224183583407	4.15831165245725	0.00705823519268933	0.238635570800449	0.216523305159192	Dnm1/Nos1ap/Nos3	3
GO:0030215	semaphorin receptor binding	3/515	23/28409	0.130434782608696	7.19518784297172	4.03863722307662	0.00800914351545167	0.252267896911984	0.228892443158094	Sema4b/Sema4c/Sema6c	3
GO:0004715	non-membrane spanning protein tyrosine kinase activity	4/515	44/28409	0.0909090909090909	5.01482789055605	3.62134934684428	0.00817205863236005	0.252267896911984	0.228892443158094	Abl1/Csk/Fyn/Jak3	4
GO:0003779	actin binding	16/515	451/28409	0.0354767184035477	1.95700600607065	2.78367436436146	0.00876578593374196	0.253616632257989	0.230116203027264	Abl1/Arpc5l/Hdac6/Inf2/Inppl1/Iqgap3/Marcksl1/Nos3/Parvg/Pls1/Ppp1r42/Ppp1r9b/Spef1/Syne3/Triobp/Vps18	16
GO:0005283	amino acid:sodium symporter activity	3/515	24/28409	0.125	6.89538834951456	3.92592624411269	0.00903182945979645	0.253616632257989	0.230116203027264	Slc38a4/Slc6a5/Slc6a8	3
GO:0017124	SH3 domain binding	7/515	129/28409	0.0542635658914729	2.99334688040942	3.08323465889301	0.0092873696319827	0.253616632257989	0.230116203027264	Abl1/Cit/Dnm1/Inppl1/Plscr1/Sh3bgr/Zfp384	7
GO:0140566	histone reader activity	3/515	25/28409	0.12	6.61957281553398	3.81948715737276	0.0101273629647548	0.260533058378021	0.236391744592067	Jarid2/Phf14/Uimc1	3
GO:0043130	ubiquitin binding	6/515	101/28409	0.0594059405940594	3.27701624531385	3.11487604212773	0.0102745431473022	0.260533058378021	0.236391744592067	Faf1/Hdac6/Jarid2/Rae1/Ube2l6/Zfand2b	6
GO:0016874	ligase activity	8/515	166/28409	0.0481927710843374	2.6584629781261	2.91187654415255	0.0110775800620847	0.261207763193457	0.237003930429052	Carns1/Ears2/Farsb/Fpgs/Lig4/Nae1/Naprt/Pfas	8
GO:0033218	amide binding	10/515	236/28409	0.0423728813559322	2.33741977949646	2.80333979134168	0.0113792360074569	0.261207763193457	0.237003930429052	Acads/Acadvl/Apoe/Folh1/Ghsr/Gprasp2/Ldlrap1/Prlr/Sardh/Tlr2	10
GO:0016879	ligase activity, forming carbon-nitrogen bonds	4/515	50/28409	0.08	4.41304854368932	3.28209053744994	0.0127383429920952	0.261207763193457	0.237003930429052	Carns1/Fpgs/Naprt/Pfas	4
GO:0010853	cyclase activator activity	2/515	10/28409	0.2	11.0326213592233	4.31153031354751	0.0134037591518269	0.261207763193457	0.237003930429052	Guca1a/Guca1b	2
GO:0019870	potassium channel inhibitor activity	2/515	10/28409	0.2	11.0326213592233	4.31153031354751	0.0134037591518269	0.261207763193457	0.237003930429052	Wnk1/Wnk4	2
GO:0047499	calcium-independent phospholipase A2 activity	2/515	10/28409	0.2	11.0326213592233	4.31153031354751	0.0134037591518269	0.261207763193457	0.237003930429052	Pla2g4c/Pla2g7	2
GO:0019887	protein kinase regulator activity	10/515	243/28409	0.0411522633744856	2.27008669942866	2.70173322267417	0.0137309846768303	0.261207763193457	0.237003930429052	Akt1s1/Ankrd54/Ccng1/Ccng2/Chp1/Cit/Hsp90ab1/Map3k12/Ngf/Wnk1	10
GO:0099186	structural constituent of postsynapse	3/515	28/28409	0.107142857142857	5.91033287101248	3.53219481443758	0.0138597769047738	0.261207763193457	0.237003930429052	Camk2b/Dlg2/Mpp2	3
GO:0005416	amino acid:monoatomic cation symporter activity	3/515	29/28409	0.103448275862069	5.70652828925343	3.4455774993648	0.0152548110452028	0.261207763193457	0.237003930429052	Slc38a4/Slc6a5/Slc6a8	3
GO:0045499	chemorepellent activity	3/515	29/28409	0.103448275862069	5.70652828925343	3.4455774993648	0.0152548110452028	0.261207763193457	0.237003930429052	Sema4b/Sema4c/Sema6c	3
GO:0004117	calmodulin-activated dual specificity 3',5'-cyclic-GMP, 3',5'-cyclic-AMP phosphodiesterase activity	2/515	11/28409	0.181818181818182	10.0296557811121	4.06997935207015	0.0161875233528339	0.261207763193457	0.237003930429052	Pde6c/Pde6g	2
GO:0016413	O-acetyltransferase activity	2/515	11/28409	0.181818181818182	10.0296557811121	4.06997935207015	0.0161875233528339	0.261207763193457	0.237003930429052	Crat/Nat2	2
GO:0042609	CD4 receptor binding	2/515	11/28409	0.181818181818182	10.0296557811121	4.06997935207015	0.0161875233528339	0.261207763193457	0.237003930429052	Fyn/Plscr1	2
GO:0048101	calmodulin-activated 3',5'-cyclic-GMP phosphodiesterase activity	2/515	11/28409	0.181818181818182	10.0296557811121	4.06997935207015	0.0161875233528339	0.261207763193457	0.237003930429052	Pde6c/Pde6g	2
GO:0070097	delta-catenin binding	2/515	11/28409	0.181818181818182	10.0296557811121	4.06997935207015	0.0161875233528339	0.261207763193457	0.237003930429052	Abl1/Ccdc85b	2
GO:0098919	structural constituent of postsynaptic density	2/515	11/28409	0.181818181818182	10.0296557811121	4.06997935207015	0.0161875233528339	0.261207763193457	0.237003930429052	Dlg2/Mpp2	2
GO:0043274	phospholipase binding	3/515	30/28409	0.1	5.51631067961165	3.362903760659	0.0167261491436795	0.263901464266944	0.23944802984636	Camk2b/Fyn/Prkcz	3
GO:0015101	organic cation transmembrane transporter activity	5/515	84/28409	0.0595238095238095	3.2835182616736	2.84791956207668	0.0183968202792437	0.283587144958249	0.257309611140769	Sfxn3/Slc16a9/Slc38a4/Slc6a5/Slc6a8	5
GO:0001221	transcription coregulator binding	7/515	150/28409	0.0466666666666667	2.5742783171521	2.62674125195458	0.0198623186383346	0.283587144958249	0.257309611140769	Cit/Foxp1/Foxp2/Gata3/Hdac6/Ppard/Smarcd3	7
GO:0046875	ephrin receptor binding	3/515	32/28409	0.09375	5.17154126213592	3.20816605001992	0.0198990368603211	0.283587144958249	0.257309611140769	Abl1/Efnb1/Fyn	3
GO:0008094	ATP-dependent activity, acting on DNA	6/515	117/28409	0.0512820512820513	2.82887727159572	2.69348285095656	0.0199709257012852	0.283587144958249	0.257309611140769	Msh5/Rad51b/Rad54l/Rfc4/Top2b/Xrcc3	6
GO:0035591	signaling adaptor activity	6/515	117/28409	0.0512820512820513	2.82887727159572	2.69348285095656	0.0199709257012852	0.283587144958249	0.257309611140769	Irak1bp1/Ldlrap1/Mavs/Nos1ap/Sarm1/Spata2	6
GO:0030507	spectrin binding	3/515	33/28409	0.0909090909090909	5.01482789055605	3.13557259882254	0.0216009863568799	0.297196745377835	0.269658129238302	Dync1i1/Pde6g/Rho	3
GO:0017154	semaphorin receptor activity	2/515	13/28409	0.153846153846154	8.48663181478715	3.66858101091775	0.0224152619802932	0.297196745377835	0.269658129238302	Nrp2/Plxna2	2
GO:0098879	structural constituent of postsynaptic specialization	2/515	13/28409	0.153846153846154	8.48663181478715	3.66858101091775	0.0224152619802932	0.297196745377835	0.269658129238302	Dlg2/Mpp2	2
GO:0004519	endonuclease activity	6/515	121/28409	0.0495867768595041	2.73536066757602	2.59926081224867	0.0231252625861187	0.297196745377835	0.269658129238302	Ankle1/Dis3/Dnase2a/Khnyn/Rpp40/Xrcc3	6
GO:0043027	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	3/515	34/28409	0.0882352941176471	4.86733295259852	3.06585515508796	0.0233800488375312	0.297196745377835	0.269658129238302	Naip6/Nol3/Rps6ka1	3
GO:0016706	2-oxoglutarate-dependent dioxygenase activity	4/515	60/28409	0.0666666666666667	3.67754045307443	2.82105361486357	0.0234408700579701	0.297196745377835	0.269658129238302	Asph/Kdm4b/Phyhd1/Tet2	4
GO:0032182	ubiquitin-like protein binding	6/515	123/28409	0.0487804878048781	2.69088325834715	2.55357699545959	0.0248211012964191	0.300430423613548	0.27259217086952	Faf1/Hdac6/Jarid2/Rae1/Ube2l6/Zfand2b	6
GO:0051019	mitogen-activated protein kinase binding	3/515	35/28409	0.0857142857142857	4.72826629680999	2.99881179780008	0.0252361948821845	0.300430423613548	0.27259217086952	Abl1/Cdk5rap3/Tnip1	3
GO:0005536	D-glucose binding	2/515	14/28409	0.142857142857143	7.88044382801664	3.4988722090601	0.0258415481694821	0.300430423613548	0.27259217086952	Gys1/Hkdc1	2
GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process	4/515	62/28409	0.0645161290322581	3.55891011587848	2.74072757873921	0.0260769435117022	0.300430423613548	0.27259217086952	Naip6/Ngf/Nol3/Rps6ka1	4
GO:0051213	dioxygenase activity	5/515	92/28409	0.0543478260869565	2.99799493457155	2.60815394597168	0.0260965219849352	0.300430423613548	0.27259217086952	Asph/Cdo1/Kdm4b/Phyhd1/Tet2	5
GO:0008198	ferrous iron binding	3/515	36/28409	0.0833333333333333	4.59692556634304	2.93426016658975	0.0271693111349687	0.300430423613548	0.27259217086952	Cdo1/Tet2/Th	3
GO:0004536	DNA nuclease activity	4/515	64/28409	0.0625	3.44769417475728	2.66365182740517	0.0288839059627596	0.300430423613548	0.27259217086952	Ankle1/Dnase2a/Tatdn1/Xrcc3	4
GO:0000287	magnesium ion binding	9/515	236/28409	0.038135593220339	2.10367780154682	2.3133977419278	0.0289627416897888	0.300430423613548	0.27259217086952	Abl1/Eno2/Farsb/Lig4/Mast4/Plscr1/Rps6ka1/Tssk4/Wnk1	9
GO:0005343	organic acid:sodium symporter activity	3/515	37/28409	0.0810810810810811	4.47268433482026	2.87203508048255	0.0291792044149071	0.300430423613548	0.27259217086952	Slc38a4/Slc6a5/Slc6a8	3
GO:0030553	cGMP binding	2/515	15/28409	0.133333333333333	7.35508090614887	3.34519909264746	0.0294647319948509	0.300430423613548	0.27259217086952	Pde6c/Pde6g	2
GO:0016887	ATP hydrolysis activity	13/515	396/28409	0.0328282828282828	1.81091007158968	2.20805060570213	0.0297321923492735	0.300430423613548	0.27259217086952	Abcd4/Carns1/Ddx10/Ddx31/Dqx1/Fignl2/Hsp90ab1/Kif9/Rad51b/Rad54l/Rfc4/Smpdl3a/Tap1	13
GO:0005096	GTPase activator activity	9/515	238/28409	0.0378151260504202	2.08599983682793	2.28604961910437	0.0303371227080698	0.300430423613548	0.27259217086952	Arhgap29/Depdc1b/Iqgap3/Llgl1/Rgs5/Sgsm1/Sipa1/Tbc1d12/Tbc1d16	9
GO:0019207	kinase regulator activity	10/515	278/28409	0.0359712230215827	1.98428441712649	2.24088189628863	0.0312314761165691	0.300430423613548	0.27259217086952	Akt1s1/Ankrd54/Ccng1/Ccng2/Chp1/Cit/Hsp90ab1/Map3k12/Ngf/Wnk1	10
GO:0030291	protein serine/threonine kinase inhibitor activity	3/515	38/28409	0.0789473684210526	4.35498211548288	2.81198650232234	0.0312656056866098	0.300430423613548	0.27259217086952	Akt1s1/Cit/Wnk1	3
GO:0140463	chromatin-protein adaptor activity	3/515	38/28409	0.0789473684210526	4.35498211548288	2.81198650232234	0.0312656056866098	0.300430423613548	0.27259217086952	Jarid2/Phf14/Uimc1	3
GO:0015081	sodium ion transmembrane transporter activity	7/515	166/28409	0.0421686746987952	2.32615510586033	2.32842095216746	0.0321578678951016	0.300430423613548	0.27259217086952	Atp1b2/Chp1/Slc38a4/Slc41a1/Slc6a5/Slc6a8/Tpcn2	7
GO:0004518	nuclease activity	8/515	204/28409	0.0392156862745098	2.16325909004378	2.26567197373823	0.033217320528437	0.300430423613548	0.27259217086952	Ankle1/Dis3/Dnase2a/Khnyn/Plscr1/Rpp40/Tatdn1/Xrcc3	8
GO:0010851	cyclase regulator activity	2/515	16/28409	0.125	6.89538834951456	3.20505373254281	0.0332765781180928	0.300430423613548	0.27259217086952	Guca1a/Guca1b	2
GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	2/515	16/28409	0.125	6.89538834951456	3.20505373254281	0.0332765781180928	0.300430423613548	0.27259217086952	Dnase2a/Xrcc3	2
GO:0031404	chloride ion binding	2/515	16/28409	0.125	6.89538834951456	3.20505373254281	0.0332765781180928	0.300430423613548	0.27259217086952	Amy1/Wnk4	2
GO:0042813	Wnt receptor activity	2/515	16/28409	0.125	6.89538834951456	3.20505373254281	0.0332765781180928	0.300430423613548	0.27259217086952	Fzd2/Pkd1	2
GO:0000217	DNA secondary structure binding	3/515	39/28409	0.0769230769230769	4.24331590739358	2.75397779102786	0.0334281738950286	0.300430423613548	0.27259217086952	Abl1/Rad51b/Xrcc3	3
GO:0140828	metal cation:monoatomic cation antiporter activity	3/515	39/28409	0.0769230769230769	4.24331590739358	2.75397779102786	0.0334281738950286	0.300430423613548	0.27259217086952	Chp1/Slc30a1/Slc41a1	3
GO:0106310	protein serine kinase activity	12/515	363/28409	0.0330578512396694	1.82357377838402	2.14579833660342	0.0342445769704176	0.303920620612456	0.275758961919678	Camk2b/Cit/Dyrk1b/Map3k12/Mast4/Mink1/Prkcz/Rps6ka1/Speg/Tssk4/Wnk1/Wnk4	12
GO:0045504	dynein heavy chain binding	2/515	17/28409	0.117647058823529	6.48977727013135	3.07644912878691	0.0372690840612378	0.326679625721961	0.296409089609844	Dync1i1/Dync1li1	2
GO:0001540	amyloid-beta binding	4/515	70/28409	0.0571428571428571	3.15217753120666	2.44964639266588	0.0383440413802448	0.330543417964423	0.299914858108565	Apoe/Gprasp2/Ldlrap1/Tlr2	4
GO:0004520	DNA endonuclease activity	3/515	42/28409	0.0714285714285714	3.94022191400832	2.59099513112735	0.0403684661597075	0.330543417964423	0.299914858108565	Ankle1/Dnase2a/Xrcc3	3
GO:0005126	cytokine receptor binding	11/515	332/28409	0.0331325301204819	1.82769329746169	2.06125477680259	0.0409169357797602	0.330543417964423	0.299914858108565	Adam8/Ccl25/Csf1/Dnaja3/Gata3/Il17f/Jak3/Ngf/Nol3/Tff2/Vegfc	11
GO:0004029	aldehyde dehydrogenase (NAD+) activity	2/515	18/28409	0.111111111111111	6.12923408845739	2.95778752894673	0.0414344744973904	0.330543417964423	0.299914858108565	Aldh1a7/Aldh4a1	2
GO:0015095	magnesium ion transmembrane transporter activity	2/515	18/28409	0.111111111111111	6.12923408845739	2.95778752894673	0.0414344744973904	0.330543417964423	0.299914858108565	Mrs2/Slc41a1	2
GO:0140036	ubiquitin-modified protein reader activity	2/515	18/28409	0.111111111111111	6.12923408845739	2.95778752894673	0.0414344744973904	0.330543417964423	0.299914858108565	Jarid2/Uimc1	2
GO:1990226	histone methyltransferase binding	2/515	18/28409	0.111111111111111	6.12923408845739	2.95778752894673	0.0414344744973904	0.330543417964423	0.299914858108565	Gata3/Hsp90ab1	2
GO:0004860	protein kinase inhibitor activity	4/515	72/28409	0.0555555555555556	3.06461704422869	2.38340237243184	0.0418464718065872	0.330543417964423	0.299914858108565	Akt1s1/Chp1/Cit/Wnk1	4
GO:0004713	protein tyrosine kinase activity	6/515	140/28409	0.0428571428571429	2.36413314840499	2.19853864162039	0.0426298884466204	0.330543417964423	0.299914858108565	Abl1/Csk/Dyrk1b/Fyn/Jak3/Nrp2	6
GO:0008200	ion channel inhibitor activity	3/515	43/28409	0.0697674418604651	3.84858884624069	2.5399986971342	0.0428309781024323	0.330543417964423	0.299914858108565	Slc30a1/Wnk1/Wnk4	3
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	3/515	43/28409	0.0697674418604651	3.84858884624069	2.5399986971342	0.0428309781024323	0.330543417964423	0.299914858108565	Sarm1/Tlr2/Ung	3
GO:0022853	active monoatomic ion transmembrane transporter activity	9/515	256/28409	0.03515625	1.93932797330097	2.05136737521009	0.0447953529335303	0.341986027772113	0.310297181610872	Atp1b2/Chp1/Slc12a6/Slc30a1/Slc38a4/Slc41a1/Slc45a1/Slc6a5/Slc6a8	9
GO:0005245	voltage-gated calcium channel activity	3/515	44/28409	0.0681818181818182	3.76112091791703	2.49051359242005	0.0453669966002424	0.34203462028023	0.310341271477392	Cacna2d4/Itgav/Tpcn2	3
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	2/515	19/28409	0.105263157894737	5.80664282064384	2.84776731545799	0.0457651956712984	0.34203462028023	0.310341271477392	Aldh1a7/Aldh4a1	2
GO:0016779	nucleotidyltransferase activity	6/515	143/28409	0.041958041958042	2.31453594948741	2.14129673526	0.0464310644162077	0.343396413911536	0.311576879635078	Nmnat3/Oas1c/Parp10/Polb/Poln/Polr2h	6
GO:0016248	channel inhibitor activity	3/515	45/28409	0.0666666666666667	3.67754045307443	2.44245800565882	0.047975821880944	0.346433300775751	0.314332364825441	Slc30a1/Wnk1/Wnk4	3
GO:0022843	voltage-gated monoatomic cation channel activity	6/515	145/28409	0.0413793103448276	2.28261131570137	2.10392765344513	0.049078366710009	0.346433300775751	0.314332364825441	Cacna2d4/Itgav/Kcnab2/Kcnc3/Kcne1/Tpcn2	6
