pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction	collection
HALLMARK_E2F_TARGETS	0.0089515506235237	0.0406888664705623	0.380730400722792	-0.322300986552265	-1.34339970151713	194	Pttg1, Cks2, Tfrc, Depdc1a, Nme1, Nudt21, Ung, Lmnb1, Hmgb3, Cdk1, Anp32e, Aurka, Cdkn3, Ube2s, Cdkn2a, Ak2, Cdkn2c, Bard1, Kpna2, Prdx4, Cbx5, Snrpb, Xpo1, Cdc20, Nap1l1, Kif22, Kif4, Birc5, Cdca8, Plk1, Tubb5, Rpa3, Dctpp1, Spc25, Smc4, Hmmr, Racgap1, Cdc25b, Naa38, Eed, Pop7, Eif2s1, Hnrnpd, Gins1, Cse1l, Tacc3, Ran, Gspt1, Wee1, Pds5b, Prps1, Rad21, Suv39h1, Kif2c, Paics, Aurkb, Nasp, Cenpe, Stmn1, Nup107, Ipo7, Mcm6, Kif18b, Shmt1, Mcm3, Syncrip, Cdkn1a, Ncapd2, Mki67, Ranbp1, Dut, Bub1b, Pa2g4, Luc7l3, Rpa1, Srsf2, Tk1, Dnmt1, Top2a	Suppressed	Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00837000625829059	0.0406888664705623	0.380730400722792	-0.35609244559962	-1.42517589039698	130	Rgs4, Col6a3, Lox, Loxl2, Eno2, Cap2, Vcan, Vim, Plod2, Tgfbi, Itga2, Lama2, Anpep, Ntm, Oxtr, Scg2, Cdh6, Col5a1, Lgals1, Basp1, Bdnf, Slit2, Matn3, Thbs1, Glipr1, Fap, Pfn2, Fstl1, Fstl3, Aplp1, Dpysl3, Fbln1, Col1a2, Mmp2, Spp1, Cd44	Suppressed	Hallmark
HALLMARK_G2M_CHECKPOINT	0.0114176425665115	0.0470920455919566	0.380730400722792	-0.323259743488708	-1.34363301337741	183	Pttg1, Cks2, Ube2c, Snrpd1, Sap30, Cenpa, Lmnb1, Hmgb3, Cdk1, Aurka, Cdkn3, Prc1, Ube2s, Cenpf, Cdkn2c, Bard1, Kpna2, Dmd, Uck2, Xpo1, Cdc20, Ttk, Cdc27, Kif22, Tnpo2, Kif4, Birc5, G3bp1, Plk1, Pura, Ewsr1, Smc4, Ccnf, Hmmr, Cul3, Racgap1, Pbk, Cdc25b, Bub1, Hnrnpd, Marcks, Tle3, Tacc3, Gspt1, Smarcc1, Pds5b, Hif1a, Chmp1a, Rad23b, Rad21, Suv39h1, Kif2c, Nup50, Hspa8, Aurkb, Hnrnpu, Sfpq, Ss18, Nasp, Tpx2, Dkc1, E2f2, Atrx, Chaf1a, Mapk14, Cenpe, Stmn1, Meis2, Kpnb1, Kif20b, Smc2, Ccnt1, Mcm6, Incenp, Mcm3, Syncrip, Ncl, Mki67, Katna1, Rad54l, Top1, Cbx1, Kif23, Prpf4b	Suppressed	Hallmark
HALLMARK_GLYCOLYSIS	1.27317055384788e-07	1.59146319230985e-06	0.690132458796796	-0.464659337512506	-1.93613031507967	181	Ak4, Ldha, Slc16a3, Stc1, Aldoa, Fam162a, Pgam1, Tpi1, Pgk1, Pgm2, Pkm, Eno1, Pygl, Egln3, Pfkp, Mif, Eno2, Vcan, Plod2, Tff3, Galk1, Gys1, Tgfbi, Hk2, Gpc3, P4ha1, Pcx, Cacna1h, Ndufv3, Cited2, Zfp292, Col5a1, Casp6, Slc37a4, Me2, B4galt1, Mxi1, Glrx, Txn1, Sap30, Depdc1a, P4ha2, Pam, Cenpa, Ppia, Pdk3, Cd44, Cdk1, Kif20a, Aurka	Suppressed	Hallmark
HALLMARK_HYPOXIA	6.5532715916143e-10	3.27663579580715e-08	0.801215574617779	-0.516342214558747	-2.12833147362567	165	Ak4, Slc2a1, Ldha, Pfkfb3, Stc1, Pdk1, Pfkl, Aldoa, Fam162a, Tpi1, Pgk1, S100a4, Aldoc, Anxa2, Pgm2, Eno1, Lox, Gpi1, Pfkp, Maff, Mif, Eno2, Car12, Ppargc1a, Gapdh, Jmjd6, Galk1, Gys1, Tgfbi, Brs3, Kdm3a, Hk2, Bnip3l, Grhpr, Gbe1, Gpc3, Hk1, P4ha1, Slc2a3, Cited2, Zfp292, Gck, Col5a1, Casp6, Slc37a4, Ndrg1, Rbpj, Mxi1, Glrx, Xpnpep1, Sap30, P4ha2, Pam, Bhlhe40, Pdk3, Nedd4l, Slc6a6	Suppressed	Hallmark
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00729015837957244	0.0405008798865136	0.407017918923954	0.539320320757999	1.63251057969957	57	A2m, Tlr2, Cxcl10, Csf1, Tnf, Cxcl9, Hmox1, Hax1, Il1r1, Il3ra, Il13ra1, Csf2ra, Tnfrsf1a, Socs1, Tgfb1, Il10rb, Il15ra, Ltbr, Crlf2, Ifnar1, Pim1, Map3k8, Tnfrsf1b, Myd88, Cd9, Irf9	Activated	Hallmark
HALLMARK_INTERFERON_ALPHA_RESPONSE	4.80090136219821e-05	0.000400075113516518	0.557332238758646	0.605486072801495	1.94217841618271	78	Cd74, Isg20, Gbp3, Cxcl10, Txnip, Ddx60, Parp14, Mov10, Csf1, Uba7, Helz2, Mx2, Rtp4, Oas1g, Nmi, Trim26, Ifih1, Bst2, Parp12, Dhx58, Casp1, Elf1, Ifi27, Slc25a28, Tap1, Nub1, Mvb12a, Irf9, Trim21, Casp8, Herc6, Trim14, Parp9, Irf7, Samd9l	Activated	Hallmark
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00192534286612065	0.0120333929132541	0.45505986738723	0.451914374370248	1.57051488333967	150	Cd74, Isg20, Gbp10, Xaf1, Gbp3, Casp4, H2-M3, Gbp4, Cxcl10, Txnip, Ddx60, Parp14, Oas2, Helz2, Tnfaip2, Mx2, Rtp4, Cxcl9, Nmi, Cd40, Mthfd2, Sspn, Oas3, Trim26, Ifih1, Bst2, Vamp5, Socs1, Parp12, Il15ra, Casp7, Cmklr1, Pim1, Dhx58, Casp1, Ifi27, Myd88, Jak2, Slc25a28, Nlrc5, Tap1, Irf9, Sri, Il18bp, Trim21, Casp8, Herc6, Trim14, Psmb10, Stat1, Ifnar2	Activated	Hallmark
HALLMARK_MTORC1_SIGNALING	0.0122439318539087	0.0470920455919566	0.380730400722792	-0.325333045540647	-1.36031794291413	189	Ak4, Slc2a1, Ldha, Stc1, Pdk1, Pfkl, Aldoa, Tpi1, Pgk1, Igfbp5, Eno1, Egln3, Gpi1, Gapdh, Plod2, Stard4, Hk2, Gbe1, Fgl2, Coro1a, P4ha1, Slc2a3, Polr3g, Tfrc, Srd5a1, Mllt11, Hprt, Slc37a4	Suppressed	Hallmark
HALLMARK_MYC_TARGETS_V1	4.02088082252603e-07	4.02088082252603e-06	0.674962860011025	-0.444816832490981	-1.85892402266756	197	Ldha, Pgk1, Vdac1, Fbl, Hddc2, Snrpg, Hnrnpa2b1, Snrpd2, Lsm7, Hprt, Snrpd1, Nhp2, Erh, Rpl22, Snrpd3, Tardbp, Phb, Cox5a, Hnrnpa1, Eif4e, Ppia, Rps10, Prps2, Nme1, Hnrnpr, Eif4a1, Snrpa1, Ywhae, Tcp1, Kpna2, Hsp90ab1, Aimp2, Cct5, Psma2, Prdx3, Prdx4, Cops5, Xpo1, Got2, Cdc20, Cct3, Ndufab1, Eif1ax, Nap1l1, Cnbp, Cct2, Ruvbl2, G3bp1, Cbx3, Ncbp1, Ube2l3, Vbp1, Dhx15, Psmb3, Hdgf, Psmc6, Txnl4a, Ywhaq, Eif2s1, Snrpb2, Hnrnpd, Psma7, Cdk2, Ube2e1, Sf3a1, Npm1, Rpl14, Ran, Nop16, Hnrnpc, Apex1, Gspt1, Smarcc1, Rsl1d1, Phb2, Tufm, Ilf2, Tomm70a, Slc25a3, Ptges3, Psmd1, Cct7, Psma6, Rad23b, Ppm1g, Cyc1, Hdac2, Hnrnpu, Srsf3, Trim28, Rps2, Impdh2, Hspe1, Abce1, Cct4, Snrpa, Clns1a, Kpnb1, Mcm6, Cstf2, Psmd3, Serbp1, Rpl18, Syncrip, Ncbp2, Srpk1, Ap3s1, Eif4h, Ranbp1, Dut, Psmd14, Stard7, Rps5, Pole3, Acp1, Psma1, Pa2g4, Bub3, Eif3b, Srsf2	Suppressed	Hallmark
