pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction	collection
HALLMARK_ANGIOGENESIS	0.000282597735768774	0.00176623584855483	0.49849310876659	-0.74135319237421	-1.97665877624559	19	Stc1, S100a4, Vtn, Spp1, Fgfr1, Tnfrsf21, Lrpap1, Nrp1, Kcnj8, Vegfa, Slco2a1, Jag2	Suppressed	Hallmark
HALLMARK_APICAL_JUNCTION	0.00780383278778416	0.0243869774618255	0.407017918923954	-0.373365380854546	-1.47715099224649	135	Tgfbi, Sorbs3, Calb2, Atp1a3, Cnn2, Mmp2, Wnk4, Jup, Nrtn, Irs1, Actg1, Tro, Gamt, Cdh4, Itgb4, Adam23, Parva, Pik3r3, Mpzl1, Nrxn2, Cdh11, Bmp1, Madcam1, Tnfrsf11b, Nlgn3, Ywhah, Baiap2, Actb, Myl12b, Vcl, Nlgn2, Shroom2, Cercam, Negr1, Taok2, Myh10, Acta1, Pfn1, Rras, Speg, Evl, Gnai2, Grb7, Thbs3, Jam3, Nfasc, Tubg1, Actn4, Cd274, Crat, Amigo2, Hras, Tjp1	Suppressed	Hallmark
HALLMARK_COAGULATION	0.00645722952008393	0.0215240984002798	0.407017918923954	-0.451618108171261	-1.62736190923425	73	Serpine1, Pdgfb, C9, F3, Proc, Apoa1, Mmp2, Ang, Lrp1, Dusp6, Clu, Serpina1b, Serping1, Mmp15, S100a1, Cd9, Crip2, Cfb, Hnf4a, Ctso, Serpina1e, Maff, Bmp1	Suppressed	Hallmark
HALLMARK_E2F_TARGETS	2.43766964704575e-08	5.21757321278885e-07	0.73376198835648	-0.479965602294303	-1.98110941644494	194	Plk1, Spc25, Cdkn2c, Ccnb2, Aurkb, Tk1, Cdk1, Top2a, Cdca3, Aurka, Tfrc, Cdkn3, Cbx5, Bard1, Depdc1a, Melk, Ncapd2, Kpna2, Birc5, Hmmr, Bub1b, Paics, Kif18b, Kif2c, Kif22, Dlgap5, Mybl2, Tacc3, Cit, Hmgb3, Espl1, Cdca8, Cenpe, Kif4, Wdr90, E2f8, Lig1, Mki67, Rfc2, Tubb5, Lmnb1, Mxd3, Mcm6, Spc24, Cdkn1a, Mcm5, Spag5, Ccne1, Hmga1, Stmn1, Ube2t, Cdc25b, Anp32e, Rad21, Tmpo, Dnmt1, Asf1b, Tubg1, Mcm3, Gins1, Rrm2, Mad2l1, Rpa1, Psmc3ip, Ube2s, Suv39h1, Racgap1, Pcna, Pola2, Pds5b, Rbbp7, Nap1l1, Wee1, Pold1, Cks2, Donson, Shmt1, Srsf1, Smc4, Luc7l3, Rad51c, Tcf19, Dck, Pole, Cse1l, Pnn, Rad51ap1, Dut, Pan2, Smc1a, Dek, Prdx4, Cdkn2a, Ak2	Suppressed	Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.75524746968455e-06	2.75524746968455e-05	0.627256739718528	-0.506667613752652	-1.9579278608064	116	Serpine1, Anpep, Abi3bp, Mylk, Rgs4, Tgfbi, Spp1, Sgcd, Mest, Dab2, Cthrc1, Inhba, Mmp2, Oxtr, Lrp1, Plod2, Lrrc15, Col6a2, Scg2, Adam12, Col1a2, Eln, Cadm1, Tgm2, Fbln1, Fuca1, Col8a2, Basp1, Pmepa1, Pcolce, Aplp1, Wipf1, Tnfaip3, Cdh11, Bmp1, Tnfrsf11b, Vegfa, Cdh2, Tpm4, Magee1, Wnt5a, Pcolce2, Prrx1, Cald1, Col4a1	Suppressed	Hallmark
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00645411162674241	0.0215240984002798	0.407017918923954	-0.369423822677543	-1.47700528171725	149	Fam102a, Ablim1, Ovol2, Olfml3, Rasgrp1, Calb2, Slc9a3r1, Kazn, Pdlim3, Slc1a1, Nbl1, Podxl, Car12, Dhrs3, Tff3, Tgm2, Dlc1, Adcy1, Elovl2, Nav2, Bhlhe40, Hes1, Mast4, Foxc1, Itpk1, Opn3, Bag1, Aldh3b1, Tmem164, Elf3, Lrig1, Krt18, Tpbg, Slc7a2, Tob1, Fhl2, Slc2a1	Suppressed	Hallmark
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00106356073849984	0.00590867076944354	0.45505986738723	-0.394932729492511	-1.5649326363822	139	Gper1, Fam102a, Ovol2, Mest, Serpina3n, Slc9a3r1, Pdlim3, Nbl1, Prlr, Kif20a, Tnnc1, Th, Ckb, Top2a, Car12, Plxnb1, Hspa4l, Serpina1b, Atp2b4, Tff3, Cd9, Nab2, Tst, Foxc1, Itpk1, Opn3, Ptpn6, Tspan13, Bag1, Aldh3b1, Cpe, Serpina1e	Suppressed	Hallmark
HALLMARK_G2M_CHECKPOINT	5.38780251900013e-07	6.73475314875016e-06	0.659444398037935	-0.460819724843594	-1.89048443307983	185	Cenpf, Ccnf, Prc1, Ube2c, Plk1, Cdkn2c, Nusap1, Ccnb2, Aurkb, Cdk1, Top2a, E2f2, Aurka, Hspa8, Dmd, Ccna2, Cdkn3, Marcks, Bard1, Kpna2, Incenp, Birc5, Hmmr, Kif2c, Troap, Kif23, Kif22, Cenpa, Kif11, Rad54l, Pbk, Mybl2, Tacc3, Tpx2, Uck2, Hmgb3, Espl1, Cenpe, Kif4, Sfpq, Fbxo5, Mki67, Kif20b, Lmnb1, Mcm6, Mcm5, Bub1, Nek2, Rbm14, Kif15, Hmga1, Stmn1, Exo1, Cdc25b, Smarcc1, Smad3, Ttk, Meis2, Bub3, Chaf1a, Rad21, Tmpo, Bcl3, Efna5, Mcm3, Atrx, Cdc7, Mad2l1, Abl1, Ube2s, Suv39h1, Racgap1, Pola2, Pds5b, Cbx1, Cks2, Wrn, Srsf1, Smc4, Pole, Hmgn2, G3bp1, Snrpd1, Pura, Smc2	Suppressed	Hallmark
HALLMARK_GLYCOLYSIS	0.00136304971107501	0.00681524855537505	0.45505986738723	-0.381781661533161	-1.53943415264982	168	Stc1, Ak4, Slc16a3, Ldha, Tgfbi, Cited2, Pkm, Pgam1, Tpi1, Ang, Bik, Eno1, Kif20a, Plod2, Fam162a, P4ha1, Aldoa, Cdk1, Glrx, Aurka, Cacna1h, Tff3, Gusb, Pam, Pgk1, Gal3st1, Pfkfb1, Depdc1a, Pfkp, Hmmr, Chst1, Cenpa, Pgm2, Aldob, Elf3, Mxi1, Met, Ppfia4, Gys2, Tpbg, Vegfa, Galk1, Phka2, Irs2	Suppressed	Hallmark
HALLMARK_HYPOXIA	1.36225418367386e-05	0.000113521181972822	0.593325476396405	-0.44258183468931	-1.78219296535095	163	Serpine1, Stc1, Pdgfb, Igfbp1, Ak4, S100a4, Ldha, Anxa2, Slc2a3, Adm, Pfkl, Tgfbi, Gpi1, Dtna, F3, Cited2, Tpi1, Eno1, Gcnt2, Fosl2, Fam162a, P4ha1, Aldoc, Aldoa, Ids, Car12, Glrx, Tgm2, Pam, Pgk1, Pfkfb3, Slc6a6, Atp7a, Akap12, Pfkp, Bhlhe40, Ncan, Gapdh, Btg1, Pgf, Ampd3, Pgm2, Pdk1, Aldob, Mxi1, Maff, Ppfia4, Tnfaip3, Ppp1r3c, Map3k1, Tpbg, Vegfa, Kdm3a, Galk1, Csrp2, Irs2, Slc2a1, Cdkn1a, Pklr, Gbe1, Pnrc1, Bnip3l, Nedd4l, Hexa, Bgn, Hk2, Lxn	Suppressed	Hallmark
