pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction	collection
HALLMARK_GLYCOLYSIS	0.000930217607143789	0.0122400017945761	0.477270815362862	-0.39273230467168	-1.59534077185294	159	Ak4, Stc1, Slc16a3, Ier3, Plod2, Ldha, Tff3, Fam162a, Pgm2, B3gat1, Capn5, Hk2, Eno2, Pgam1, Tpi1, Eno1, Pgk1, Slc37a4, Chst1, Egln3, Cited2, Pkm, Me1, Pcx, P4ha1, Aldoa, Gys1, G6pdx, Chpf2, Polr3k, Nol3, Pdk3, Slc25a13, Mif, Mxi1, Tgfbi, Sdc3, Pygb, Casp6, Agl, Hs2st1, Glrx, Pfkp, Mdh1, Txn1, Cdk1, Xylt2, Gusb, P4ha2, B4galt1, Elf3, Qsox1, Cenpa, B4galt2, Tpbg	Suppressed	Hallmark
HALLMARK_HYPOXIA	0.000979200143566091	0.0122400017945761	0.45505986738723	-0.406966642825567	-1.62362943017715	148	Ak4, Stc1, Ppp1r3c, Serpine1, Ampd3, Slc2a3, Tnfaip3, Pfkfb3, Inha, Ier3, Aldoc, Ccng2, Ldha, Slc2a1, Ids, Pdk1, Fam162a, Pgm2, Hk2, Eno2, Sdc4, Gpi1, Pfkl, Cdkn1c, Tpi1, Bnip3l, Eno1, Pgk1, Slc25a1, Slc37a4, Grhpr, Anxa2, Cited2, Slc6a6, Hs3st1, Ncan, P4ha1, Aldoa, Gys1, Gapdh, Pdk3, Efna1, Fosl2, Mif, Mxi1, Prdx5, Tgfbi, Sdc3, Map3k1	Suppressed	Hallmark
HALLMARK_MTORC1_SIGNALING	0.0025900130410174	0.025900130410174	0.431707695803346	0.391610266572311	1.59847452092977	188	Trib3, Ddit3, Slc7a11, Ppp1r15a, Itgb2, Cth, Nupr1, Hspa5, Tcea1, Psph, Phgdh, Calr, Eprs, Slc1a5, Bcat1, Hsp90b1, Hspa9, Ifrd1, Slc7a5, Arpc5l, Tmem97, Rpn1, Serp1, Xbp1, Nfil3, Slc1a4, Sdf2l1, Gtf2h1, Canx, Sqstm1, Uso1, Atp2a2, Cyp51, Etf1, Mthfd2, Fkbp2, Ifi30, Nfkbib, Rrp9, Eif2s2, Shmt2, Got1, Asns, Vldlr, Hspd1, Insig1, Sc5d, Rit1, Dhcr24, Uchl5, Hspe1, Pdap1, Gla, Ube2d3	Activated	Hallmark
HALLMARK_MYC_TARGETS_V2	0.000166420688482788	0.0041605172120697	0.518848077743792	0.58336089179092	1.96863240004366	57	Myc, Tmem97, Mphosph10, Wdr43, Gnl3, Rrp9, Bysl, Ppan, Pprc1, Rrp12, Srm, Utp20, Nolc1, Hspd1, Tfb2m, Npm1, Nop2, Hspe1, Supv3l1, Nop56, Map3k6, Ddx18, Ndufaf4, Pa2g4, Tcof1, Nip7, Mybbp1a, Ung, Wdr74, Pus1, Rcl1, Imp4	Activated	Hallmark
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.00494570956080632	0.0353264968629023	0.407017918923954	0.436223527606616	1.6161139722482	90	Trib3, Ddit3, Lck, Mknk1, Calr, Hsp90b1, Ngf, Them4, Itpr2, Sfn, Sqstm1, Irak4, Nfkbib, Ripk1, Mapkap1, Dusp3, Rit1, Prkar2a, Plcb1, Ube2d3, Akt1s1, Adcy2, Pikfyve	Activated	Hallmark
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.00448394139593372	0.0353264968629023	0.407017918923954	-0.522859305673388	-1.66820718926984	39	Cdkn2d, Mbp, Prdx1, G6pdx, Nqo1, Txnrd2, Prdx2, Prnp, Glrx, Pfkp, Txn1, Gpx3, Ftl1, Gclm, Prdx6, Srxn1, Stk25, Gsr, Junb, Abcc1, Ndufs2, Oxsr1, Atox1	Suppressed	Hallmark
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	5.8707272810382e-12	2.9353636405191e-10	0.887074988399873	0.672718749151962	2.54831825161489	105	Atf3, Stc2, Cebpb, Hspa5, Pdia5, Atf6, Chac1, Wfs1, Dnajb9, Hyou1, Calr, Xpot, Ern1, Hsp90b1, Hspa9, Pdia6, Nop14, Dnajc3, Cebpg, Tars, Slc7a5, Eif4ebp1, Serp1, Xbp1, Herpud1, Atf4, Slc1a4, Tspyl2, Mthfd2, Rrp9, Cnot4, Dkc1, Srprb, Exosc1, Tatdn2, Asns, Ddx10, Aldh18a1, Iars, Nolc1, Npm1, Exosc9, Sdad1, Eif2ak3	Activated	Hallmark
GOBP_AMIDE_TRANSPORT	0.000146190270676546	0.0289595964768778	0.518848077743792	-0.395804252246265	-1.64247000629219	204	Trpm5, Gpr119, Aqp1, Gper1, Aqp11, Fkbp1b, Ghsr, Kcnk16, Ppard, Abca1, Ffar4, Gnai1, Pfkl, Rph3al, G6pc2, Pfkm, Srebf1, Cartpt, Gprc6a, Slc38a5, Gcg, Ucp2, Ptprn2, Abcd2, Rasl10b, Abat, Mlxipl, Slc9a3r1, Slc38a3, Casr, Dynll1, Trpm4, Hadh, Tcf7l2, Sox4, Slc27a1, Ptprn, Abca2, Nlgn2, Capn10, Kcna5, Rapgef4, Abcc8, Chga, Exoc3l, Gnas, Abcd1, Tap1, Foxa2, Abcg2, Cpe, Prkaca, Rab3a, Syt7, Rfx6, Slc25a17, Phpt1, Midn, Sirt4, Tardbp, Tm7sf3, Smpd3, Car2, Pdpn, Nr1d1, Oxct1, Slc25a22	Suppressed	GO_BP
GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.000247240843092113	0.0447183437940518	0.49849310876659	0.885280869005819	2.00272988211713	10	Ddit3, Hspa5, Atf6, Wfs1, Manf, Xbp1	Activated	GO_BP
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1.89930886895709e-06	0.000987640611857686	0.643551836150722	0.579840338833631	2.12204928696527	102	Bhlha15, Ddit3, Atf3, Ppp1r15a, Cth, Stc2, Hspa5, Atf6, Wfs1, Dnajb9, Fut1, Rhbdd1, Ern1, Manf, Ddrgk1, Serp1, Xbp1, Herpud1, Atf4, Sdf2l1, Derl1, Ufl1, Optn, Amfr, Tmed2, Ubr5, Hspd1, Herpud2, Eif2ak3, Cul3, Parp8, Erlec1, Derl2, Ppp1r15b, Ptpn2, Creb3	Activated	GO_BP
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	5.6509602378977e-07	0.00033582849413792	0.659444398037935	0.602280545546605	2.16880322971513	88	Bhlha15, Ddit3, Atf3, Ppp1r15a, Cth, Stc2, Hspa5, Atf6, Wfs1, Dnajb9, Fut1, Rhbdd1, Ern1, Manf, Ddrgk1, Serp1, Xbp1, Herpud1, Atf4, Derl1, Ufl1, Optn, Amfr, Tmed2, Hspd1, Herpud2, Eif2ak3, Parp8, Erlec1, Derl2, Ppp1r15b, Ptpn2, Creb3	Activated	GO_BP
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	0.000304450537991118	0.0469079347423353	0.49849310876659	-0.684735517273425	-1.94080085804968	23	6430550D23Rik, B4galnt1, St8sia4, St6galnac6, St3gal1, St3gal2, Neu3, Gm2a, Abca2, St6galnac5, Naglu	Suppressed	GO_BP
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS	0.000289503964682651	0.0469079347423353	0.49849310876659	-0.636579169886617	-1.94907476701759	32	Igf1, Ppp1r3c, Epm2a, Pgm2, Ppp1r3b, Epm2aip1, Gys1, Ppp1r3f, Gbe1, Agl, Akt2, Ppp1r3e	Suppressed	GO_BP
GOBP_GLUCOSE_CATABOLIC_PROCESS	1.56690657991922e-05	0.00592575579314904	0.575610261071129	-0.758441048204191	-2.14259870984897	22	Ldha, Hk2, Eno2, Gpi1, Pgam1, Pfkl, Tpi1, Eno1, Pgk1, Pfkm, Pkm	Suppressed	GO_BP
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE	2.75854855839724e-05	0.00912090782073687	0.575610261071129	-0.753756074131482	-2.06581890336046	20	Hk2, Eno2, Gpi1, Pgam1, Pfkl, Tpi1, Eno1, Pgk1, Pfkm, Pkm	Suppressed	GO_BP
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE	3.13268730867823e-05	0.00912090782073687	0.557332238758646	-0.791549581485286	-2.07843505090244	17	Hk2, Eno2, Gpi1, Pgam1, Pfkl, Tpi1, Eno1, Pgk1, Pfkm, Pkm	Suppressed	GO_BP
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	0.0003546160361272	0.0491734236763051	0.49849310876659	0.360228122755879	1.54721030766759	307	Traf3ip3, Prkcd, Nmi, Itgam, Lck, Lat, P2rx7, Fyn, Tlr2, Alpk1, Irgm2, H2-M3, Cd274, Plscr1, Hsp90b1, Rsad2, Tlr4, Crebbp, Ada, Plcg2, Nr1h3, Pram1, Kcnj8, Gps2, Gata3, Src, Elf1, Aim2, Tmem126a, Plcl2, Sqstm1, Slc39a6, Itpripl1, Irak4, App, Ticam1, Gpatch3, Tyro3, Rnf125, Ly96, Irak3, Lipa, Shb, Rela, Pak3, Nek7, Ep300, Cactin, Lsm14a, Hspd1, Icosl, Dusp3, Cd276, Tnip2, Rab11fip2, Gpld1, Cd14, Zc3hav1, Eif2b3, Fer, Nfkbil1, Foxp1, Smpdl3a, Wdfy1, Cr1l, Lats1, Lats2, 1810058I24Rik, Chuk, Clpb, Ptpn2, Ccdc134, Dhx33, Rnf115, C1qbp, Itch, Ptk2, Ppt1, Csnk1a1, Ddx3x, Lamp2, Bcl2	Activated	GO_BP
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.000117099342833211	0.0256385929571662	0.538434096309916	0.402577375495191	1.68191348410038	239	Atp2a3, Prkcd, Trib3, Ddit3, Myc, Ppp1r15a, Ptgs2, Cebpb, Nupr1, Lck, Arhgef2, Chac1, Wfs1, Fyn, Hyou1, Snai2, Ern1, Xbp1, Herpud1, Tnfrsf1b, Atf4, Plaur, Src, Ybx3, Sfn, Pycr1, Bid, App, Fnip2, Nbn, Topors, Flcn, Syvn1, Uaca, Ep300, Rad9a, Aen, Mcl1, Hells, Hspe1, Eif2ak3, Cul3, Ercc6, Sirt1, Uri1, Serinc3, Siah1a, Polb, Bag5, Ptpn2, Grina, Creb3, Chek2, Cul5, Ddx3x, Bcl2, Pik3cb, Erp29, Bclaf1, Jak2, Rps27l, Skil, Mybbp1a, Sfpq, Bak1, Noc2l, Mdm2, Ddx5, Bbc3, Qrich1, P4hb, Gata4, Trp53bp2, Cul2, Rrm2b, Sgms1, Zfp622, Brsk2, Usp15, Cul1	Activated	GO_BP
