pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction	collection
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
HALLMARK_ALLOGRAFT_REJECTION	0.000221058294603471	0.00309858173548892	0.518848077743792	0.635969045285311	1.32574579997362	133	Il16, Tnf, Ctss, Ltb, Fgr, Zap70, C2, Timp1, Il2rb, Crtam, Nos2, Stab1, Fcgr2b, Itk, H2-Aa, Bcat1, Ly75, Fyb, Cd247, Icam1, Irf4, Krt1, Ets1, Itgb2, Mmp9, Cd28, Hcls1, Cd3g, Stat4, Prkcg, Lif, Cd4, Ptprc, Aars, Cd74, Itgal, Irf8, Lck, Cartpt	Activated	Hallmark
HALLMARK_COAGULATION	0.00702717482176607	0.0351358741088303	0.407017918923954	0.617102498111183	1.2795182766779	104	Mmp3, Mmp2, Vwf, Mst1, Ctse, C2, Timp1, C1s1, Mep1a, Timp3, A2m, Hpn, Acox2, Proz, Sparc, Hmgcs2, Comp, Rapgef3, Anxa1, Cfb, Itih1, Pdgfb, Masp2, Cfi, Pecam1, Mmp9, Serpinc1, C8b, Serpine1, Plau, Maff, Mmp10, Sh2b2, Plek, C3, Prss23, Itga2, Gda, Thbs1, Dusp6, Apoa1, Itgb3	Activated	Hallmark
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00260837696028983	0.0149050112016562	0.431707695803346	0.603958374961707	1.26726936679221	164	Serpinh1, Mmp3, Cxcl1, Slit3, Mmp2, Bgn, Timp1, Abi3bp, Sfrp1, Fbn2, Cap2, Timp3, Mfap5, Lama2, Tnc, Col3a1, Itga5, Tgm2, Col12a1, Sfrp4, Dab2, Loxl1, Nt5e, Sparc, Col5a3, Adam12, Pdgfrb, Comp, Lama3, Col8a2, Try5, Col4a2, Wnt5a, Tagln, Igfbp2, Serpine1, Ecm2, Areg, Col7a1, Col5a1, Nid2, Pdlim4, Fstl1, Eln, Jun, Col6a2, Col1a2, Tgfbi, Cxcl12, Lgals1, Nnmt, Fbln5, Gem, Anpep, Tnfrsf12a, Vim, Itga2, Notch2, Col1a1, Mest, Thbs1, Bdnf, Pvr, Slit2, Tnfrsf11b, Ecm1, Plaur, Itgb3, Tnfaip3, Gadd45b	Activated	Hallmark
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00198536900621393	0.0132357933747595	0.431707695803346	0.671076042789043	1.38166239023298	69	Il9r, Cxcl1, Tnf, Ltb, Csf3r, Il17rb, Inhbe, Osmr, Acvrl1, A2m, Csf2rb2, Cd36, Lepr	Activated	Hallmark
HALLMARK_KRAS_SIGNALING_DN	0.000517479396549912	0.00517479396549912	0.477270815362862	0.632906028475305	1.31925506530014	130	Tlx1, Kcne2, Slc6a3, Pax3, Sox10, Tg, Scn10a, Tcf7l1, Upk3b, Alox12b, Krt15, Ryr1, Tgm1, Myh7, Edar, Myot, Tfap2b, Pkp1, Nphs1, Col2a1, Nos1, Krt1, Nrip2, Ccdc106, Igfbp2, Zbtb16, Ptgfr, Cacna1f, Tnni3, Stag3, Mthfr, Slc38a3, Thnsl2, Edn2, Kcnmb1, Hsd11b2, Gpr3, Mx2, Abcg4, Fgf22, Bmpr1b, Dlk2, Ryr2, Prodh, Nr4a2, Slc12a3, Capn9, Camk1d, Ccna1, Lfng, Slc5a5, Gpr19	Activated	Hallmark
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
HALLMARK_MYOGENESIS	0.000773923778011031	0.00619139022408824	0.477270815362862	0.614980995149192	1.29071314889858	166	Mb, Actn2, Myh8, Tnnt2, Tnnt3, Bdkrb2, Itgb4, Ptgis, Myh2, Mybpc3, Pgam2, Ryr1, Igf1, Lama2, Col3a1, Wwtr1, Myh7, Myh11, Efs, Cd36, Sparc, Myh3, Adam12, Tead4, Spdef, Nos1, Myom2, Atp2a1, Col4a2, Cryab, Tnnt1, Tagln, Sgca, Myom1, Aplnr, Col15a1, Itga7, Myl7, Tcap, Myl4, Fst, Col6a2, Sorbs3, Hrc, Actn3, Ifrd1, Ldb3, Acta1, Stc2, Casq1, Fabp3, Pygm, Col1a1	Activated	Hallmark
NA	NA	NA	NA	NA	NA	NA		NA	Hallmark
