pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction	collection
HALLMARK_ALLOGRAFT_REJECTION	0.00495669313527678	0.012391732838192	0.407017918923954	0.368015704796849	1.51329092580524	89	Ccl2, Il6, Gbp2, Ccl5, Dyrk3, Hif1a, Icam1, Ets1, Flna, Eif3a, Lif, Lck, Socs5, Cd47, Tap2, Ripk2, Il11, Nck1, Tgfb2	Activated	Hallmark
HALLMARK_ANDROGEN_RESPONSE	0.00312187582520827	0.00975586195377583	0.431707695803346	0.40348811751298	1.63893423403887	75	Dnajb9, Sec24d, Spdef, Pdlim5, Idi1, Srf, Hmgcs1, Uap1, Abhd2, Sat1, Zbtb10, Tsc22d1, Hmgcr, Insig1, Actn1, Lman1, B4galt1, Spcs3, Ube2j1, Elovl5, Slc38a2, Ptpn21, Pgm3, Plpp1, Acsl3, Rps6ka3, Tpd52	Activated	Hallmark
HALLMARK_APICAL_JUNCTION	0.00645833816226126	0.0153769956244316	0.407017918923954	0.342212058880347	1.49046533206894	121	Lamc2, Nrap, Cx3cl1, Kcnh2, Msn, Vcl, Icam1, Acta1, Flnc, Mpzl2, Slc30a3, Insig1, Gtf2f1, Actn1, B4galt1, Myl9, Zyx, Vwf, Actg1, Nlgn3, Ctnna1, Cap1, Rsu1, Col16a1, Dlg1, Actn4, Cldn15, Baiap2, Rras, Mvd, Crb3, Cd276, Arhgef6, Akt3	Activated	Hallmark
HALLMARK_APOPTOSIS	5.75505676906259e-05	0.000287752838453129	0.557332238758646	0.413656877686324	1.81206143733227	123	Il6, Birc3, Cd44, Atf3, Dnajc3, Ddit3, Bmp2, Nedd9, Casp4, Emp1, Gch1, Lgals3, Ier3, Sat1, Hmox1, Cflar, Gadd45a, Btg3, Sc5d, Sqstm1, Dap, Gsn, Plat, Rock1, Anxa1, Igf2r, Tgfb2, Lmna, Rela, Isg20, Tnfrsf12a, Mcl1, Tap1, Casp7, Ppp3r1, Cdkn1a, Cth, Bcl10, Btg2, Etf1, Eno2, Crebbp, Cyld	Activated	Hallmark
HALLMARK_BILE_ACID_METABOLISM	0.00682529576110276	0.0155120358206881	0.407017918923954	-0.433649445706311	-1.60017060183745	64	Abcg8, Sult1b1, Sult2b1, Abcd2, Abca2, Pxmp2, Abcd1, Ephx2, Pecr, Dio1, Mlycd, Pex11g, Hsd17b11, Pfkm, Scp2, Crot, Abca1, Gnpat, Nudt12, Fdxr, Pex7, Slc35b2, Tfcp2l1, Pex6, Rxra, Hacl1, Idh2	Suppressed	Hallmark
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.000105341775837208	0.000425033986893635	0.538434096309916	0.512966784693374	1.95033980182956	59	Atf3, Idi1, Fdps, Hsd17b7, Hmgcs1, Cyp51, Lgals3, Ldlr, Nfil3, Pdk3, Hmgcr, Cd9, Sc5d, Stard4, Pnrc1, Trib3, Pmvk, Actg1, Anxa5, Nsdhl, Chka, Tnfrsf12a, Mvd, Plaur, Cxcl16, Acss2, S100a11, Pparg, Sqle, Lss	Activated	Hallmark
HALLMARK_COMPLEMENT	0.000631977768528492	0.00210659256176164	0.477270815362862	0.38576200779666	1.67764971632473	119	Cxcl1, Hspa5, Il6, Maff, Pdgfb, Car2, Ccl5, Casp4, Cebpb, Usp16, Sh2b3, Lgals3, Ehd1, Fn1, Lck, Me1, Fdx1, Zeb1, Dusp6, Csrp1, Plat, Anxa5, Prkcd, Cpm, Prdm4, Casp7, Plaur, Gca	Activated	Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.000105342053196398	0.000425033986893635	0.538434096309916	0.437127023291838	1.80390290986433	94	Cxcl1, Areg, Lamc2, Il6, Bdnf, Sdc4, Cd44, Fermt2, Cald1, Itga5, Mylk, Thbs1, Flna, Tpm4, Fn1, Calu, Sat1, Copa, Gadd45a, Myl9, Tagln, Basp1, Tgm2	Activated	Hallmark
HALLMARK_HYPOXIA	1.31640871175492e-09	1.64551088969365e-08	0.788186810800237	0.505991308638667	2.26871864570575	142	Gcnt2, Hspa5, Il6, Maff, Cited2, Ero1a, Sdc4, Noct, Atf3, Pdgfb, Ddit3, Ppargc1a, Ppp1r15a, Fosl2, Klf6, Cxcr4, Zfp36, Eno3, Ier3, Ets1, Nfil3, Hdlbp, Bhlhe40, Hmox1, Pdk3, Fos, Anxa2, Ampd3, Irs2, Dusp1, Mt1, Ext1, Pnrc1, Hk2, Siah2, Adm, Pfkfb3, Tgm2, Kdm3a, P4ha1, Nedd4l, Ndst2, Lxn, Slc2a1, Wsb1, Prkca, Isg20, Rbpj, Btg1, Plaur, Ugp2, Zfp292, Cdkn1a, Efna1, Pfkp, Jmjd6, Igfbp3, Eno2, Tpd52	Activated	Hallmark
HALLMARK_IL2_STAT5_SIGNALING	1.11489270170434e-06	9.2907725142028e-06	0.643551836150722	0.45779886734294	2.01462316058762	124	Nfkbiz, Cxcl10, Spry4, Maff, Prkch, Rhoh, Etv4, Cd44, Car2, Myc, Bmp2, Klf6, Igf1r, Xbp1, Emp1, Eno3, Myo1c, Nfil3, Bhlhe40, Fah, Lif, Phlda1, Slc1a5, Hk2, Swap70, Tgm2, Mapkapk2, Batf, Igf2r, P4ha1	Activated	Hallmark
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00861614229149473	0.0187307441119451	0.380730400722792	0.434917285500468	1.63567692265189	53	Cxcl1, Il6, Cxcl10, Cd44, Cxcl11, Hmox1, Il6st, Cd9, Stat3, Inhbe, Ptpn2, Map3k8, Tnfrsf12a	Activated	Hallmark
HALLMARK_INFLAMMATORY_RESPONSE	4.52568851275684e-07	4.52568851275684e-06	0.674962860011025	0.503603063571049	2.10741247204577	99	Ccl2, Slamf1, Il6, Cxcl10, Cx3cl1, Rnf144b, Cxcl11, Itga5, Myc, Ccl5, Atp2b1, Klf6, Hif1a, Icam1, Atp2a2, Sgms2, Gch1, Rtp4, Hbegf, Ldlr, Selenos, Lif, Lck, Ripk2, Edn1, Adm, Slc7a1, Nampt, Slc31a1, Irak2, Rela, Nfkb1, Slc4a4, Fzd5, Plaur, Nfkbia, Cdkn1a, Ifngr2, Btg2, Eif2ak2	Activated	Hallmark
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0165071861341392	0.0330143722682783	0.352487857583619	0.358946612350741	1.45801044848609	75	Rsad2, Ifit3, Cxcl10, Ifit2, Cxcl11, Gbp2, Rtp4, Helz2, Cd47, Ripk2, Isg15, Ifih1, Cmpk2, Isg20, Elf1	Activated	Hallmark
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00021321693885539	0.000761489067340679	0.518848077743792	0.40083633384938	1.76974423981869	125	Ccl2, Rsad2, Il6, Ifit3, Cxcl10, Ifit2, Cxcl11, Ccl5, Casp4, Hif1a, Icam1, Gch1, Rtp4, Helz2, Stat3, Ripk2, Gbp4, Tnfaip2, Isg15, Ifih1, Peli1, Nampt, Cmpk2, Isg20, Ptpn2, Nfkb1, Btg1, Tap1, Arl4a, Casp7, Nfkbia, Mthfd2, Cdkn1a, Pfkp, Eif2ak2, Mvp, Ripk1	Activated	Hallmark
HALLMARK_KRAS_SIGNALING_UP	0.00491562701808481	0.012391732838192	0.407017918923954	0.375490292445898	1.54439505239991	93	Cxcl10, Lcp1, Ero1a, Birc3, Kif5c, Etv5, Prdm1, Etv4, Car2, Ppp1r15a, Bmp2, Cxcr4, Emp1, Hbegf, Ets1, Mpzl2, Lif, Mtmr10, Dusp6, Plat, St6gal1	Activated	Hallmark
HALLMARK_MTORC1_SIGNALING	2.51234179817216e-16	6.28085449543041e-15	1.03769615548758	0.552230027419671	2.58461643577725	180	Hspa5, Hsp90b1, Edem1, Ero1a, Serp1, Sdf2l1, Ddit3, Uso1, Ppp1r15a, Calr, Idi1, Cxcr4, Slc7a11, Xbp1, Ifrd1, Atp2a2, Hmgcs1, Cyp51, Eprs, Ldlr, Nfil3, Bhlhe40, Hmgcr, Cd9, Nufip1, Sc5d, Me1, Sqstm1, Insig1, Ufm1, Ssr1, Stard4, Slc1a5, Eif2s2, Asns, Trib3, Nfkbib, Hk2, Txnrd1, Psph, Ube2d3, Canx, Rpn1, P4ha1, Hspa4, Nampt, Elovl5, Gsk3b, Hspa9, Fkbp2, Mthfd2l, Slc2a1, Rab1a, Mllt11, Actr3, Slc7a5, Gtf2h1, Pitpnb, Mthfd2, Nmt1, Cdkn1a, Cth, Tfrc, Acsl3, Btg2, Psmc6, Sqle, Etf1	Activated	Hallmark
HALLMARK_MYOGENESIS	0.00442572421486379	0.012391732838192	0.407017918923954	0.343991000764124	1.51876474446683	125	Svil, Csrp3, Spdef, Kcnh2, Mylk, Schip1, Cox6a2, Ifrd1, Fdps, Acta1, Eno3, Hbegf, Myo1c, Dmd, Pde4dip, Bhlhe40, Des, Pdlim7, Fhl1, Mef2d, Tagln, Gsn, Lpin1, Camk2b, Myl4, Tcap, Hdac5, Mef2a, Gnao1, Cdkn1a, Smtn, Myl6b, Igfbp3, Tpm3, Chrng, Prnp, Myom1, Wwtr1	Activated	Hallmark
