gene_set	time_point	cell_line	total_genes	sig_genes	up_genes	down_genes
MIN6_unique_UP_24h	6h	MIN6	16	7	7	0
MIN6_unique_UP_24h	6h	aTC1	16	0	0	0
MIN6_unique_UP_24h	6h	MGN3	16	0	0	0
MIN6_unique_UP_24h	6h	GLUTag	16	0	0	0
MIN6_unique_UP_24h	6h	PCCL3	16	1	1	0
MIN6_unique_UP_24h	6h	QGP1	16	0	0	0
MIN6_unique_UP_24h	24h	MIN6	16	16	16	0
MIN6_unique_UP_24h	24h	aTC1	16	0	0	0
MIN6_unique_UP_24h	24h	MGN3	16	0	0	0
MIN6_unique_UP_24h	24h	GLUTag	16	0	0	0
MIN6_unique_UP_24h	24h	PCCL3	16	0	0	0
MIN6_unique_UP_24h	24h	QGP1	16	0	0	0
aTC1_unique_UP_24h	6h	MIN6	16	5	5	0
aTC1_unique_UP_24h	6h	aTC1	16	10	10	0
aTC1_unique_UP_24h	6h	MGN3	16	1	1	0
aTC1_unique_UP_24h	6h	GLUTag	16	0	0	0
aTC1_unique_UP_24h	6h	PCCL3	16	1	1	0
aTC1_unique_UP_24h	6h	QGP1	16	2	0	2
aTC1_unique_UP_24h	24h	MIN6	16	1	1	0
aTC1_unique_UP_24h	24h	aTC1	16	16	16	0
aTC1_unique_UP_24h	24h	MGN3	16	0	0	0
aTC1_unique_UP_24h	24h	GLUTag	16	0	0	0
aTC1_unique_UP_24h	24h	PCCL3	16	0	0	0
aTC1_unique_UP_24h	24h	QGP1	16	0	0	0
MGN3_unique_UP_24h	6h	MIN6	16	7	7	0
MGN3_unique_UP_24h	6h	aTC1	16	4	4	0
MGN3_unique_UP_24h	6h	MGN3	16	3	3	0
MGN3_unique_UP_24h	6h	GLUTag	16	1	1	0
MGN3_unique_UP_24h	6h	PCCL3	16	0	0	0
MGN3_unique_UP_24h	6h	QGP1	16	1	1	0
MGN3_unique_UP_24h	24h	MIN6	16	0	0	0
MGN3_unique_UP_24h	24h	aTC1	16	0	0	0
MGN3_unique_UP_24h	24h	MGN3	16	16	16	0
MGN3_unique_UP_24h	24h	GLUTag	16	0	0	0
