"ID","Sets","N_Sets","Size"
"000001","QGP1_24h",1,1754
"100000","MIN6_24h",1,977
"000010","PCCL3_24h",1,677
"010000","aTC1_24h",1,579
"001000","MGN3_24h",1,518
"000100","GLUTag_24h",1,359
"110000","MIN6_24h, aTC1_24h",2,259
"100001","MIN6_24h, QGP1_24h",2,218
"101000","MIN6_24h, MGN3_24h",2,204
"000011","PCCL3_24h, QGP1_24h",2,163
"001001","MGN3_24h, QGP1_24h",2,125
"111000","MIN6_24h, aTC1_24h, MGN3_24h",3,120
"100010","MIN6_24h, PCCL3_24h",2,109
"100100","MIN6_24h, GLUTag_24h",2,109
"010001","aTC1_24h, QGP1_24h",2,99
"110001","MIN6_24h, aTC1_24h, QGP1_24h",3,85
"011000","aTC1_24h, MGN3_24h",2,76
"101001","MIN6_24h, MGN3_24h, QGP1_24h",3,71
"001010","MGN3_24h, PCCL3_24h",2,68
"111100","MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_24h",4,68
"111101","MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_24h, QGP1_24h",5,67
"110100","MIN6_24h, aTC1_24h, GLUTag_24h",3,65
"001100","MGN3_24h, GLUTag_24h",2,58
"111001","MIN6_24h, aTC1_24h, MGN3_24h, QGP1_24h",4,51
"010010","aTC1_24h, PCCL3_24h",2,49
"101100","MIN6_24h, MGN3_24h, GLUTag_24h",3,48
"000101","GLUTag_24h, QGP1_24h",2,47
"100011","MIN6_24h, PCCL3_24h, QGP1_24h",3,46
"101010","MIN6_24h, MGN3_24h, PCCL3_24h",3,42
"111111","MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_24h, PCCL3_24h, QGP1_24h",6,37
"110010","MIN6_24h, aTC1_24h, PCCL3_24h",3,33
"010100","aTC1_24h, GLUTag_24h",2,31
"001011","MGN3_24h, PCCL3_24h, QGP1_24h",3,29
"000110","GLUTag_24h, PCCL3_24h",2,28
"011001","aTC1_24h, MGN3_24h, QGP1_24h",3,25
"101011","MIN6_24h, MGN3_24h, PCCL3_24h, QGP1_24h",4,24
"111010","MIN6_24h, aTC1_24h, MGN3_24h, PCCL3_24h",4,24
"101101","MIN6_24h, MGN3_24h, GLUTag_24h, QGP1_24h",4,23
"100101","MIN6_24h, GLUTag_24h, QGP1_24h",3,21
"111110","MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_24h, PCCL3_24h",5,21
"011100","aTC1_24h, MGN3_24h, GLUTag_24h",3,20
"010011","aTC1_24h, PCCL3_24h, QGP1_24h",3,19
"100110","MIN6_24h, GLUTag_24h, PCCL3_24h",3,18
"001101","MGN3_24h, GLUTag_24h, QGP1_24h",3,17
"110101","MIN6_24h, aTC1_24h, GLUTag_24h, QGP1_24h",4,16
"011010","aTC1_24h, MGN3_24h, PCCL3_24h",3,15
"110011","MIN6_24h, aTC1_24h, PCCL3_24h, QGP1_24h",4,15
"000111","GLUTag_24h, PCCL3_24h, QGP1_24h",3,13
"110111","MIN6_24h, aTC1_24h, GLUTag_24h, PCCL3_24h, QGP1_24h",5,13
"111011","MIN6_24h, aTC1_24h, MGN3_24h, PCCL3_24h, QGP1_24h",5,11
"010101","aTC1_24h, GLUTag_24h, QGP1_24h",3,10
"010110","aTC1_24h, GLUTag_24h, PCCL3_24h",3,10
"001111","MGN3_24h, GLUTag_24h, PCCL3_24h, QGP1_24h",4,9
"101110","MIN6_24h, MGN3_24h, GLUTag_24h, PCCL3_24h",4,9
"101111","MIN6_24h, MGN3_24h, GLUTag_24h, PCCL3_24h, QGP1_24h",5,8
"110110","MIN6_24h, aTC1_24h, GLUTag_24h, PCCL3_24h",4,8
"011011","aTC1_24h, MGN3_24h, PCCL3_24h, QGP1_24h",4,5
"011110","aTC1_24h, MGN3_24h, GLUTag_24h, PCCL3_24h",4,5
"001110","MGN3_24h, GLUTag_24h, PCCL3_24h",3,4
"011101","aTC1_24h, MGN3_24h, GLUTag_24h, QGP1_24h",4,4
"100111","MIN6_24h, GLUTag_24h, PCCL3_24h, QGP1_24h",4,4
"010111","aTC1_24h, GLUTag_24h, PCCL3_24h, QGP1_24h",4,1
"011111","aTC1_24h, MGN3_24h, GLUTag_24h, PCCL3_24h, QGP1_24h",5,1
