"ID","Sets","N_Sets","Size"
"100000000000","MIN6_6h",1,860
"000000000001","QGP1_24h",1,802
"000000001000","PCCL3_6h",1,769
"000000000011","QGP1_6h, QGP1_24h",2,531
"010000000000","MIN6_24h",1,506
"000000100000","GLUTag_6h",1,501
"000000000010","QGP1_6h",1,419
"000001000000","MGN3_24h",1,271
"001000000000","aTC1_6h",1,251
"000000001100","PCCL3_6h, PCCL3_24h",2,249
"000000000100","PCCL3_24h",1,218
"000100000000","aTC1_24h",1,213
"000000010000","GLUTag_24h",1,180
"110000000000","MIN6_6h, MIN6_24h",2,155
"001100000000","aTC1_6h, aTC1_24h",2,135
"100000100000","MIN6_6h, GLUTag_6h",2,116
"000000110000","GLUTag_6h, GLUTag_24h",2,79
"010001000000","MIN6_24h, MGN3_24h",2,79
"000000001001","PCCL3_6h, QGP1_24h",2,75
"001000100000","aTC1_6h, GLUTag_6h",2,72
"000000001010","PCCL3_6h, QGP1_6h",2,67
"000000001011","PCCL3_6h, QGP1_6h, QGP1_24h",3,67
"010100000000","MIN6_24h, aTC1_24h",2,66
"000000101000","GLUTag_6h, PCCL3_6h",2,61
"010000000001","MIN6_24h, QGP1_24h",2,59
"100000000001","MIN6_6h, QGP1_24h",2,58
"000010000000","MGN3_6h",1,54
"000011000000","MGN3_6h, MGN3_24h",2,52
"010000001000","MIN6_24h, PCCL3_6h",2,52
"010000000011","MIN6_24h, QGP1_6h, QGP1_24h",3,51
"100000001000","MIN6_6h, PCCL3_6h",2,51
"101000000000","MIN6_6h, aTC1_6h",2,50
"001100100000","aTC1_6h, aTC1_24h, GLUTag_6h",3,44
"100000000011","MIN6_6h, QGP1_6h, QGP1_24h",3,43
"000000001110","PCCL3_6h, PCCL3_24h, QGP1_6h",3,42
"011100000000","MIN6_24h, aTC1_6h, aTC1_24h",3,42
"000000000101","PCCL3_24h, QGP1_24h",2,40
"010000100000","MIN6_24h, GLUTag_6h",2,40
