genes	logFC_TgvDMSO_6h_GLUTag	FDR_TgvDMSO_6h_GLUTag	logFC_TgvDMSO_24h_GLUTag	FDR_TgvDMSO_24h_GLUTag	logFC_Tg_24hv6h_GLUTag	FDR_Tg_24hv6h_GLUTag
Ret	-1.72460956505399	7.32069606260422e-05	-0.116272953278346	0.540121953035308	1.60833661177565	3.06443034277512e-05
Slc7a11	3.50066624938451	0.0001387753697063	2.83313651613375	0.000103596762546327	-0.667529733250757	0.0542457305234345
Pxdn	-1.46214348281148	0.000151662398412869	0.15730983682014	0.389858125428795	1.61945331963162	3.06443034277512e-05
Dnajb9	2.1323618966866	0.000151662398412869	1.43427304340553	0.000469000061756046	-0.698088853281065	0.013009227088332
Tmsb4x	-2.08080230831931	0.000168490792611169	-1.05071928663061	0.00284181095591431	1.0300830216887	0.00303166170969912
Bace2	-1.37666694173065	0.000168490792611169	-0.738546030334488	0.00246531790408682	0.63812091139616	0.00423953258175662
Ociad2	-1.3115574797376	0.000168490792611169	-1.06135911306078	0.000321449021412824	0.250198366676815	0.144007719962218
Xbp1	1.45250602431268	0.000168490792611169	1.19786477148338	0.000304142000009107	-0.254641252829295	0.167749981571684
Ppp1r15a	2.20169700392352	0.000168490792611169	1.82928384037208	0.000293765049140164	-0.37241316355144	0.172140701549372
Bloc1s1	-2.66341840178841	0.000168490792611169	-0.596165371673479	0.0876612237846066	2.06725303011493	0.00067293994246388
Extl1	2.4064798646932	0.000168490792611169	2.05250737380493	0.000304142000009107	-0.353972490888269	0.192315414842412
Hhip	2.75901991573585	0.000168490792611169	1.7016655378256	0.00195054868800707	-1.05735437791025	0.00854616198623086
Hepacam2	-1.25147636658566	0.000168490792611169	-0.924346511468837	0.000622320666459908	0.327129855116823	0.0605312363627316
Chac1	2.48028338462832	0.000168490792611169	1.67031955181724	0.00101589451014365	-0.809963832811087	0.0205816547265277
Gm2a	-1.4434239220935	0.000168490792611169	-0.608308763575795	0.012194652912934	0.835115158517709	0.00245633736127727
Bhlha15	3.31853226310375	0.000168490792611169	3.13348484137529	0.000192346946951402	-0.185047421728464	0.626805186953598
Clic4	1.24608626388373	0.000168490792611169	0.746009959092346	0.00233102641075229	-0.500076304791383	0.0119944901331071
Shmt2	1.32585634982412	0.000168490792611169	1.28993224019352	0.00015847894936923	-0.0359241096306006	0.859107807486683
Lgals3bp	-1.5649467018578	0.000168490792611169	-0.0704286935995283	0.796829802353197	1.49451800825828	0.000262653182053796
Cdr2	1.15834394458946	0.000168490792611169	0.539434367998332	0.00898643705936273	-0.618909576591124	0.00343848292798668
Syt11	-1.60701307978635	0.000168490792611169	-0.139436551511812	0.58993963089612	1.46757652827453	0.000344014240263799
Sec24d	2.50466915967857	0.000172427164234859	2.98869350423789	4.76300329336235e-05	0.484024344559319	0.132215218836574
Usp36	1.10305219499308	0.000172427164234859	0.312009707039753	0.0783538083723677	-0.791042487953328	0.00107251600818593
Zfp184	1.5906350738549	0.000172427164234859	0.922297307237374	0.00387026601079428	-0.668337766617526	0.00909711274237057
Cdkn2c	-1.07260239738546	0.000172427164234859	-0.395952932736659	0.028678282281518	0.676649464648798	0.00205008754694234
Tspan7	-1.06405292944287	0.000172427164234859	-0.572478829436418	0.00504660770232833	0.491574100006451	0.00774501209616707
Rnasek	-1.55256008094375	0.000172427164234859	-0.319317813710523	0.179420509606407	1.23324226723322	0.000785654208706497
Trappc1	-1.66202291286303	0.000172427164234859	-0.544265974810563	0.0413736670931441	1.11775693805247	0.00156516362447853
Dner	-1.86133390501373	0.000174406172781304	-0.788225247203733	0.0144468676768272	1.07310865781	0.00302203721671752
Hspa5	1.61096752637697	0.000174406172781304	1.8746428760876	6.32873347667427e-05	0.263675349710633	0.23875482338926
Fkbp7	2.30179406702213	0.000174406172781304	0.950715870380111	0.0338578056547586	-1.35107819664202	0.00184317933169511
Sesn2	1.55493155557712	0.000174406172781304	0.948139200484392	0.00276985598562354	-0.606792355092726	0.0160093399245134
Lamp1	-1.04289603744649	0.000176549444594719	-0.212287684272857	0.201072207235952	0.83060835317363	0.000792233000444084
Arpc3	-1.1954610882027	0.000177021750437103	-0.527192888496544	0.0143169027838655	0.668268199706153	0.00373128748721486
Ino80	0.999382481682197	0.000177021750437103	0.333304673865302	0.0501487864426024	-0.666077807816896	0.00179782864149712
