genes	logFC_TgvDMSO_6h_GLUTag	logCPM_TgvDMSO_6h_GLUTag	F_TgvDMSO_6h_GLUTag	PValue_TgvDMSO_6h_GLUTag	FDR_TgvDMSO_6h_GLUTag	logFC_TgvDMSO_24h_GLUTag	logCPM_TgvDMSO_24h_GLUTag	F_TgvDMSO_24h_GLUTag	PValue_TgvDMSO_24h_GLUTag	FDR_TgvDMSO_24h_GLUTag	logFC_Tg_24hv6h_GLUTag	logCPM_Tg_24hv6h_GLUTag	F_Tg_24hv6h_GLUTag	PValue_Tg_24hv6h_GLUTag	FDR_Tg_24hv6h_GLUTag
Ret	-1.72460956505399	6.3271388802464	225.763824963624	5.17729565955037e-09	7.32069606260422e-05	-0.116272953278346	6.3271388802464	1.11603378679771	0.312078950233272	0.540121953035308	1.60833661177565	6.3271388802464	197.176110234073	1.10058148114521e-08	3.06443034277512e-05
Slc7a11	3.50066624938451	5.37683118385859	177.61516057118	1.96287651635503e-08	0.0001387753697063	2.83313651613375	5.37683118385859	118.76961511318	1.75836089187542e-07	0.000103596762546327	-0.667529733250757	5.37683118385859	8.6900563173086	0.012477497238327	0.0542457305234345
Pxdn	-1.46214348281148	4.75942821964473	155.885354021888	4.02225435214362e-08	0.000151662398412869	0.15730983682014	4.75942821964473	2.03309498835415	0.180012991578826	0.389858125428795	1.61945331963162	4.75942821964473	191.339446250196	1.30032404926808e-08	3.06443034277512e-05
Dnajb9	2.1323618966866	7.36709595888819	154.056328139621	4.29030830022259e-08	0.000151662398412869	1.43427304340553	7.36709595888819	72.1995815372426	2.38811912633913e-06	0.000469000061756046	-0.698088853281065	7.36709595888819	17.9954533418757	0.00120559055723675	0.013009227088332
Tmsb4x	-2.08080230831931	5.97172257044993	138.417129845831	7.69092980730882e-08	0.000168490792611169	-1.05071928663061	5.97172257044993	38.3085291055152	5.18519962253106e-05	0.00284181095591431	1.0300830216887	5.97172257044993	34.9007408023483	7.91147928485837e-05	0.00303166170969912
Bace2	-1.37666694173065	8.03142108566351	135.895626353996	8.49785655727499e-08	0.000168490792611169	-0.738546030334488	8.03142108566351	40.280926951552	4.11467486113501e-05	0.00246531790408682	0.63812091139616	8.03142108566351	29.8946510334673	0.000156508911434014	0.00423953258175662
Ociad2	-1.3115574797376	6.14604801293235	125.343564425347	1.31572044531019e-07	0.000168490792611169	-1.06135911306078	6.14604801293235	83.422866575779	1.1359272789945e-06	0.000321449021412824	0.250198366676815	6.14604801293235	4.59854434899991	0.053713025528824	0.144007719962218
Xbp1	1.45250602431268	7.38635900110377	125.193325104729	1.32425168708526e-07	0.000168490792611169	1.19786477148338	7.38635900110377	86.0326874736574	9.67920084894614e-07	0.000304142000009107	-0.254641252829295	7.38635900110377	4.04257837786206	0.067966028601427	0.167749981571684
Ppp1r15a	2.20169700392352	7.50508086230849	124.60417197522	1.35835338611562e-07	0.000168490792611169	1.82928384037208	7.50508086230849	87.8896531909544	8.65992674193081e-07	0.000293765049140164	-0.37241316355144	7.50508086230849	3.94364217873377	0.0709623867985352	0.172140701549372
Bloc1s1	-2.66341840178841	4.02713125947877	123.500901114105	1.42562954970452e-07	0.000168490792611169	-0.596165371673479	4.02713125947877	8.0235826851876	0.0154232076054345	0.0876612237846066	2.06725303011493	4.02713125947877	73.4453039631252	2.18919641819933e-06	0.00067293994246388
