genes	logFC_TgvDMSO_6h_MGN3	FDR_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	FDR_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	FDR_Tg_24hv6h_MGN3
Gabrr1	5.58402995525566	0.00124430713048956	5.1295287907035	0.000296179334549869	-0.454501164552159	0.427524552275525
Ddit3	2.58147003525778	0.00322286558634205	3.7089190007971	0.000132720146151022	1.12744896553932	0.0185133021964977
Nupr1	2.05338661645322	0.00336502860292314	2.68471242807669	0.000240066288587509	0.631325811623471	0.0762362857033637
Lgals3bp	-2.12621549605213	0.00336502860292314	-1.05217994847072	0.00730248562537651	1.07403554758141	0.0181116062259024
Arrdc4	1.89482159360499	0.00336502860292314	1.24932971419081	0.00232991394564268	-0.645491879414177	0.0638280315031222
Nfxl1	1.57717677960067	0.00336502860292314	1.72868257412979	0.000419295596699717	0.151505794529113	0.632316123338805
Gstm1	-1.96020391240055	0.00400268515715673	-0.961342874461189	0.0101161926271362	0.998861037939364	0.0231984821004691
Pcdhb11	-2.26282822995705	0.00400268515715673	-1.38005827958543	0.00403614695627663	0.882769950371616	0.0522108788521294
Pcdhb9	-2.50116088704098	0.00428688363624702	-1.32858964684989	0.00773421611510956	1.17257124019109	0.0325480231759269
Pcdhb10	-2.54822908680896	0.00428688363624702	-1.17706978833779	0.0135057170363698	1.37115929847116	0.0208446666513002
Chst15	-2.00765708659403	0.00428688363624702	-1.53092065069558	0.00200487460195364	0.47673643589845	0.226820844200225
Trim66	3.01374121369213	0.00428688363624702	4.12536320043275	0.000301621919174928	1.11162198674062	0.0542277812926072
Olfml3	-1.91450375369799	0.00428688363624702	-2.14790243257754	0.000627752511722676	-0.233398678879544	0.580321500172003
Slc7a11	3.18696857130962	0.00452548151894058	3.56840555975935	0.000726406896338171	0.381436988449728	0.563647920994657
5430416N02Rik	2.32766254869872	0.00469436772659333	1.27815800009179	0.00967361385989213	-1.04950454860693	0.041690946266248
Trmt61b	1.77659642807795	0.00469436772659333	1.01651854347985	0.00877015929647382	-0.760077884598099	0.0522108788521294
Egf	2.04146928006077	0.00482814823740682	1.17774154618257	0.00897929043861004	-0.863727733878204	0.0522108788521294
Usp36	1.37264581542924	0.00551694907240598	1.24012369506734	0.0014425909063744	-0.132522120361899	0.703297383722277
Mgat5	-1.29880241255016	0.00555105514970108	-1.06071657019628	0.00242110011592279	0.238085842353878	0.416328061020294
Siae	-1.29361236193407	0.00555105514970108	-1.11290697246336	0.00195808905274149	0.180705389470707	0.561209857980944
Asns	1.37676522759323	0.00555105514970108	1.36056266428864	0.00113077558819257	-0.016202563304586	0.97123695882835
Atf3	2.17316042681377	0.00557937932113581	2.1048778983388	0.00127920033905312	-0.0682825284749681	0.91992345163305
Peg13	-1.42055541882976	0.00557937932113581	-0.877756656462454	0.00822790775510542	0.542798762367308	0.0960591687400428
Spata5	1.53134274466053	0.00601878753137658	1.07557459545383	0.00525967638844809	-0.455768149206705	0.186239629216984
