genes	logFC_TgvDMSO_6h_MGN3	logCPM_TgvDMSO_6h_MGN3	F_TgvDMSO_6h_MGN3	PValue_TgvDMSO_6h_MGN3	FDR_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	logCPM_TgvDMSO_24h_MGN3	F_TgvDMSO_24h_MGN3	PValue_TgvDMSO_24h_MGN3	FDR_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	logCPM_Tg_24hv6h_MGN3	F_Tg_24hv6h_MGN3	PValue_Tg_24hv6h_MGN3	FDR_Tg_24hv6h_MGN3
Gabrr1	5.58402995525566	1.21968030863013	139.530628832764	9.58043679157346e-08	0.00124430713048956	5.1295287907035	1.21968030863013	112.573930454259	2.96452983457676e-07	0.000296179334549869	-0.454501164552159	1.21968030863013	2.46235342908566	0.143912638015753	0.427524552275525
Ddit3	2.58147003525778	7.43608896847286	149.361747946798	4.96283582744387e-07	0.00322286558634205	3.7089190007971	7.43608896847286	280.38971108663	3.0007950363802e-08	0.000132720146151022	1.12744896553932	7.43608896847286	31.5521727496266	0.00029221026719141	0.0185133021964977
Nupr1	2.05338661645322	6.6655274043167	129.320989970304	9.32209670502231e-07	0.00336502860292314	2.68471242807669	6.6655274043167	211.273547759556	1.06787643862237e-07	0.000240066288587509	0.631325811623471	6.6655274043167	13.2441123671146	0.00513602941102889	0.0762362857033637
Lgals3bp	-2.12621549605213	7.68820851241949	119.184262558495	1.32921754290333e-06	0.00336502860292314	-1.05217994847072	7.68820851241949	31.053500085113	0.000309799012902869	0.00730248562537651	1.07403554758141	7.68820851241949	32.2341757518737	0.00027006678102337	0.0181116062259024
Arrdc4	1.89482159360499	5.55962710426125	117.789887861423	1.39883504945466e-06	0.00336502860292314	1.24932971419081	5.55962710426125	52.8187161447665	4.01833018035079e-05	0.00232991394564268	-0.645491879414177	5.55962710426125	14.6187183258378	0.00384347555253372	0.0638280315031222
Nfxl1	1.57717677960067	6.45141209821799	114.951477988683	1.55452507064512e-06	0.00336502860292314	1.72868257412979	6.45141209821799	136.922953531109	7.26486483732339e-07	0.000419295596699717	0.151505794529113	6.45141209821799	1.11901143370404	0.316882986441371	0.632316123338805
Gstm1	-1.96020391240055	6.41523623468749	103.319082728851	2.46169859511351e-06	0.00400268515715673	-0.961342874461189	6.41523623468749	26.2622426710536	0.000566251311974745	0.0101161926271362	0.998861037939364	6.41523623468749	28.1376302849274	0.000442964548884843	0.0231984821004691
Pcdhb11	-2.26282822995705	4.58435227082239	103.288396163726	2.46546668134076e-06	0.00400268515715673	-1.38005827958543	4.58435227082239	40.9507195985556	0.000109387413659484	0.00403614695627663	0.882769950371616	4.58435227082239	16.6214775789272	0.00259771918557213	0.0522108788521294
Pcdhb9	-2.50116088704098	4.33123685608533	96.7964859888418	3.25562032429079e-06	0.00428688363624702	-1.32858964684989	4.33123685608533	29.8755607100548	0.000356812127213406	0.00773421611510956	1.17257124019109	4.33123685608533	22.5558088292811	0.000959800806619958	0.0325480231759269
Pcdhb10	-2.54822908680896	4.82439048948225	96.3995004937427	3.31272358751861e-06	0.00428688363624702	-1.17706978833779	4.82439048948225	22.6789882091224	0.000942114231209655	0.0135057170363698	1.37115929847116	4.82439048948225	29.7042605647081	0.000364316240363809	0.0208446666513002
Chst15	-2.00765708659403	4.53680984127839	93.55466616161	3.7643029099771e-06	0.00428688363624702	-1.53092065069558	4.53680984127839	56.213753575315	3.1277956182691e-05	0.00200487460195364	0.47673643589845	4.53680984127839	5.5259072390955	0.0424409876496296	0.226820844200225
Trim66	3.01374121369213	4.04560243674597	92.5171501422302	3.9610103598636e-06	0.00428688363624702	4.12536320043275	4.04560243674597	162.540653703114	3.43655712992971e-07	0.000301621919174928	1.11162198674062	4.04560243674597	16.0355461202804	0.00290595440249881	0.0542277812926072
Olfml3	-1.91450375369799	5.14639093838872	90.7163642547577	4.29084441570767e-06	0.00428688363624702	-2.14790243257754	5.14639093838872	111.995042945906	1.73999772266834e-06	0.000627752511722676	-0.233398678879544	5.14639093838872	1.40938267501859	0.264651714006404	0.580321500172003
Slc7a11	3.18696857130962	6.29737637356291	88.0155435206276	4.87809834194396e-06	0.00452548151894058	3.56840555975935	6.29737637356291	106.917196879729	2.12530505550127e-06	0.000726406896338171	0.381436988449728	6.29737637356291	1.5179031575717	0.248234224521823	0.563647920994657
5430416N02Rik	2.32766254869872	4.39212636161154	85.4357954343684	5.53354062537754e-06	0.00469436772659333	1.27815800009179	4.39212636161154	26.939779329941	0.000517479972631651	0.00967361385989213	-1.04950454860693	4.39212636161154	19.1447746534639	0.00165633879530212	0.041690946266248
Trmt61b	1.77659642807795	3.75295214178891	84.5514948389842	5.78302152952674e-06	0.00469436772659333	1.01651854347985	3.75295214178891	28.1857297629736	0.000440363360330267	0.00877015929647382	-0.760077884598099	3.75295214178891	16.6044686772098	0.00260622867966776	0.0522108788521294
Egf	2.04146928006077	2.91197206357312	82.8126305920396	6.31956575576809e-06	0.00482814823740682	1.17774154618257	2.91197206357312	27.8179529521367	0.000461823684400332	0.00897929043861004	-0.863727733878204	2.91197206357312	16.5370173455421	0.00264031295428574	0.0522108788521294
Usp36	1.37264581542924	7.97280115336201	79.1149602269554	7.64591032516998e-06	0.00551694907240598	1.24012369506734	7.97280115336201	64.975237648431	1.73269806498147e-05	0.0014425909063744	-0.132522120361899	7.97280115336201	0.765671622648639	0.40363248369771	0.703297383722277
Mgat5	-1.29880241255016	5.00518988698726	77.4741038704181	8.34842209432081e-06	0.00555105514970108	-1.06071657019628	5.00518988698726	52.2566324052594	4.19423718880988e-05	0.00242110011592279	0.238085842353878	5.00518988698726	2.6611872190615	0.136233004260567	0.416328061020294
Siae	-1.29361236193407	6.3932325838642	76.3057413290107	8.89618106064279e-06	0.00555105514970108	-1.11290697246336	6.3932325838642	56.93551545396	2.96999956413669e-05	0.00195808905274149	0.180705389470707	6.3932325838642	1.53067695423386	0.246394742362791	0.561209857980944
Asns	1.37676522759323	8.78848237007108	76.1441460356255	8.97537404863895e-06	0.00555105514970108	1.36056266428864	8.78848237007108	74.4184836929298	9.87707595138592e-06	0.00113077558819257	-0.016202563304586	8.78848237007108	0.0109485825699805	0.918891265020231	0.97123695882835
Atf3	2.17316042681377	6.38538509956957	74.5084512634081	9.82776899714177e-06	0.00557937932113581	2.1048778983388	6.38538509956957	70.1924287479301	1.25962110330961e-05	0.00127920033905312	-0.0682825284749681	6.38538509956957	0.080847445295554	0.78239372964204	0.91992345163305
Peg13	-1.42055541882976	6.92902563957345	74.4126208125011	9.8803298726612e-06	0.00557937932113581	-0.877756656462454	6.92902563957345	29.1062361239132	0.000392136964922256	0.00822790775510542	0.542798762367308	6.92902563957345	11.2026648783089	0.00820215723226882	0.0960591687400428
Spata5	1.53134274466053	5.62737262421003	72.1736525603628	1.12213639591157e-05	0.00601878753137658	1.07557459545383	5.62737262421003	36.2744105670317	0.000173758218839867	0.00525967638844809	-0.455768149206705	5.62737262421003	6.70639678604576	0.0285353296998612	0.186239629216984
Fam84b	3.30441623393335	1.63917959427793	71.5964755044805	1.19867168944934e-05	0.00601878753137658	3.67684413349083	1.63917959427793	89.448512791427	4.72592803179325e-06	0.000923490103327152	0.372427899557474	1.63917959427793	1.51053280888539	0.249454258581409	0.565232364001281
Syt11	-1.29883409142513	6.2880050782153	70.5684611959252	1.23197575072903e-05	0.00601878753137658	-1.15684519339802	6.2880050782153	56.3270571163629	3.10189912820522e-05	0.00200487460195364	0.141988898027109	6.2880050782153	0.867015840941957	0.375365693930863	0.679868312972421
Zfp330	1.29142209097308	6.00404095701368	70.0685168622918	1.26884293158382e-05	0.00601878753137658	0.975389574909591	6.00404095701368	40.4336334193976	0.000114860221445269	0.00415041601872514	-0.316032516063486	6.00404095701368	4.34740403942797	0.0657853444086907	0.287489923681048
Gusb	-1.99495479212181	4.61507132340901	68.391524873357	1.40293403425573e-05	0.00601878753137658	-1.19633253932406	4.61507132340901	25.8707013662859	0.000597098007718168	0.0103813797874985	0.79862225279775	4.61507132340901	11.4546927496918	0.00772095697542946	0.0924782506850926
Plce1	2.02350821011471	2.8277035509659	68.1458891631437	1.42604697279773e-05	0.00601878753137658	1.07122328557266	2.8277035509659	19.2229082691258	0.00163537166815651	0.0189306659768421	-0.952284924542046	2.8277035509659	16.767223463874	0.00252914924689221	0.0518650443744892
Hcar1	-1.83356933514826	4.63323831796646	68.0711107269421	1.43039292723649e-05	0.00601878753137658	-0.283986105816809	4.63323831796646	1.75924556679775	0.216426070801044	0.455929599648178	1.54958322933145	4.63323831796646	49.2848520857243	5.29703527345404e-05	0.00865439095739904
