genes	logFC_TgvDMSO_6h_MIN6	FDR_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	FDR_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_Tg_24hv6h_MIN6
Chac1	3.83480534759648	3.65037007204976e-13	3.29493132533484	3.85969549414073e-13	-0.539874022261639	0.000253778289001785
Trib3	3.40550506005169	1.93397366460441e-12	4.1996184930488	3.10475158048493e-14	0.794113432997107	5.89110509015915e-06
Shmt2	2.28942644217248	1.33631582761951e-11	1.97791187399495	1.08125317547786e-11	-0.311514568177529	0.0100699790680762
Gpt2	2.40827354595229	1.33631582761951e-11	1.95411747228434	2.45808033381578e-11	-0.45415607366795	0.00089639080088853
Eif4ebp1	3.010026429674	1.77721112635088e-11	2.63601876681002	1.43914025546206e-11	-0.37400766286398	0.00839632104374474
Slc1a4	2.32854483196908	1.83981201604393e-11	2.13369037087154	8.66572873415701e-12	-0.194854461097539	0.0950410204051555
Slc6a9	2.87797261975921	1.98038664163193e-11	3.15968875885693	5.68876708503614e-13	0.281716139097718	0.0290439313424681
Aldh1l2	1.89414022460328	3.28514141925098e-11	2.76610211068667	5.66429982264025e-14	0.871961886083394	2.83668512509332e-07
Nfil3	2.47662345003601	4.37885514008925e-11	2.23486624712334	2.45808033381578e-11	-0.24175720291267	0.058409794735398
Atf3	3.33023130285198	4.75248816929572e-11	3.88337841842092	5.68876708503614e-13	0.553147115568935	0.000910056008301759
Nars	1.87899257674446	6.88026121215246e-11	1.97599210099646	7.4402968538647e-12	0.0969995242519978	0.399138367153394
Asns	1.73972723019428	6.88026121215246e-11	1.42711435719581	2.01459049076843e-10	-0.312612872998469	0.00693467058998486
Ppp1r15a	2.3505226557265	6.88026121215246e-11	3.53065062984843	5.39863097289342e-14	1.18012797412194	5.74365174347997e-08
Psat1	1.69242374571184	9.36892851311338e-11	1.31580580574686	5.55697466848184e-10	-0.376617939964983	0.00179691532329365
Sesn2	2.03925533377928	9.59613583824361e-11	2.23847267227556	5.34690298594089e-12	0.199217338496282	0.101669260564592
Atf4	1.77465458158615	1.05896068922534e-10	2.03170785066179	4.27262998736572e-12	0.257053269075645	0.0278683661109586
Mthfd2	1.70972065095534	1.12999502993226e-10	1.3428915564956	6.35339666142663e-10	-0.366829094459744	0.00236774927228551
Phf10	1.74477113379155	1.42168980850298e-10	1.7363544818832	2.90689882073115e-11	-0.00841665190834925	0.949183240611629
Phgdh	2.30608949074861	1.44278350502147e-10	2.28798103474474	2.33738302356435e-11	-0.0181084560038671	0.90332389781539
Slc7a11	3.69037182961931	3.31572157709307e-10	3.78775802987115	3.49458453128457e-11	0.0973862002518353	0.635393693250012
Iars	1.60839393214012	4.43027502519006e-10	1.42099028930352	4.80311902987871e-10	-0.1874036428366	0.0996462253466481
Slc7a1	1.89458541816979	5.41565797762537e-10	1.97453172002884	6.63153412395159e-11	0.0799463018590506	0.570270114229405
Aars	1.48749846848413	5.41565797762537e-10	1.41127364781223	2.45157246198699e-10	-0.0762248206719081	0.494405784319833
Aldh18a1	1.50775312702726	8.68241596925033e-10	1.50994333616448	1.54321924683943e-10	0.00219020913721738	0.987063477023486
Arl14ep	1.72258166534697	1.03726891788045e-09	1.46574498098801	1.64097526560921e-09	-0.256836684358964	0.0451807452970118
Cth	3.30752670746459	1.19382640955447e-09	3.73155594600161	1.38722972035951e-11	0.424029238537026	0.0159908853870363
Otub2	1.80408006505507	1.34264365558641e-09	1.50045849133374	2.58518654923175e-09	-0.303621573721327	0.0209423380452492
Fam129a	1.72894868681123	1.34264365558641e-09	2.85447114832462	1.66282037310254e-13	1.12552246151339	4.54018774650419e-08
Hspa9	1.33546610571412	1.47750787944117e-09	1.82238470895076	5.82900213345383e-12	0.486918603236632	0.000158060106683846
Ciart	2.95930490743918	1.57544611439432e-09	2.91174984694116	2.52588769270506e-10	-0.0475550604980281	0.802315991550814
Eprs	1.37797412115989	1.66792869893458e-09	1.59495159984665	5.20579906640643e-11	0.216977478686759	0.0515086069377186
Bcat1	3.09758339989744	1.68510378425602e-09	4.08548228091827	1.07983365405763e-12	0.987898881020837	6.268456780344e-06
Ddit3	2.09070258107884	1.76919250086307e-09	3.09553199303444	7.21337342915649e-13	1.00482941195561	1.15934361087531e-06
Pck2	1.39254955365605	1.76919250086307e-09	1.17219143464783	3.60278217070863e-09	-0.220358119008221	0.0473496348029999
Herpud1	1.65259353752951	1.84982113441668e-09	2.13239574518769	1.37395845589553e-11	0.479802207658181	0.00105230549809239
Slitrk6	-1.41864898253117	1.89891606330756e-09	-2.03478139995409	4.09791588167151e-12	-0.616132417422919	0.000106201362661028
Nupr1	2.0177584515823	2.21019522992352e-09	3.10276861447289	5.13130602846738e-13	1.08501016289059	3.46515872887329e-07
Cebpg	1.60980873711424	4.70674943251744e-09	1.63038843282127	8.16083520794806e-10	0.0205796957070285	0.895567087610649
Ttr	-1.57265629039565	5.10344782828776e-09	-2.47217930831627	4.09791588167151e-12	-0.899523017920623	1.13768817108146e-05
