genes	logFC_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	FDR_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	FDR_Tg_24hv6h_PCCL3
Rcan1	3.94664606064961	0.000106045938921366	3.27142375602577	0.000116442423968163	-0.67522230462384	0.078654243609784
Sec24d	2.44633281961956	0.000106045938921366	1.59640534548449	0.000320333252656658	-0.849927474135073	0.00951805730490388
Arl4c	2.46610604083812	0.000106045938921366	1.77267746419988	0.000245931225171719	-0.69342857663824	0.0239103438306207
Ror1	2.22174663903901	0.000106045938921366	0.71035781978202	0.0137544473338345	-1.51138881925699	0.000469527975917149
Manf	2.65057637217065	0.000106045938921366	1.71406903161824	0.000419011476946276	-0.936507340552404	0.011269168331908
Nrap	3.50791571285509	0.000106045938921366	-7.81558062829159e-05	0.999755128437121	-3.50799386866138	0.000139851173879812
Edem1	2.61901559752443	0.000106045938921366	1.48976461417128	0.000990475462123378	-1.12925098335315	0.00598701021437094
Fosb	3.74115372156758	0.000106045938921366	0.451873089784772	0.361385736369067	-3.28928063178281	0.000199951086714686
Emd	2.07430414704615	0.000163747213902945	0.804105189149346	0.00917196168183896	-1.2701989578968	0.00143270752732976
Mycn	-4.41135987227831	0.000163747213902945	-3.87415440495479	0.000166077247593367	0.537205467323524	0.297830334506574
Eif2ak3	1.94387639449205	0.000163747213902945	1.38919075189517	0.000516198539951876	-0.554685642596881	0.0423238691082797
Dnajb9	3.24445335111718	0.000163747213902945	2.84317043784659	0.000219474753860165	-0.401282913270588	0.308791163016951
Fosl1	4.90769719854047	0.000163747213902945	1.01785689558925	0.203156257487002	-3.88984030295122	0.00033622878361064
Unc5a	-2.73771972028325	0.000163747213902945	-1.03078944590361	0.0108720047661081	1.70693027437964	0.00171646300048743
Bdnf	3.59926756217197	0.000163747213902945	2.75951242531582	0.000464933654877453	-0.839755136856144	0.0505535338727684
Tenm4	-5.41655787403973	0.000163747213902945	-4.91044159284743	0.000166077247593367	0.506116281192302	0.548634359927644
Ficd	2.88599933130598	0.000163747213902945	2.26516283349165	0.000380525322549183	-0.620836497814336	0.0997153412551019
Nectin1	-2.33349958533464	0.000164166112177366	-2.29927494028427	0.000166077247593367	0.0342246450503699	0.926633552274663
Krt80	1.80869619429776	0.000164166112177366	-0.179776929380217	0.513860609385518	-1.98847312367798	0.000175215873866118
Mid2	1.89667653315992	0.000164166112177366	1.07937036158771	0.00203085136789487	-0.817306171572218	0.0111365416670707
Creld2	4.09378825470187	0.000167975315421586	1.95226820823424	0.00360166514591136	-2.14152004646763	0.00390274599697365
Cd44	2.24434105251342	0.000167975315421586	1.07616675871178	0.00463911556223782	-1.16817429380164	0.00533343548155095
Serp1	2.20292672330583	0.000173908523342167	2.16101527358957	0.000177737097515262	-0.0419114497162674	0.90571468170374
Hivep1	1.90100989913383	0.000173908523342167	0.164578395718436	0.579859861634251	-1.73643150341539	0.000341399774584514
Phlpp1	1.64992223668725	0.000173908523342167	0.145232050532879	0.578091756454677	-1.50469018615437	0.000343913671751984
Ero1b	2.75857759110767	0.000173908523342167	1.47274470579325	0.00290337056171026	-1.28583288531442	0.00872750990921474
Hspa5	3.84244223698323	0.000173908523342167	2.5710666781696	0.000985020547273847	-1.27137555881363	0.0268955473573206
Prrc1	2.13854056612954	0.000173908523342167	1.46077699458128	0.00103970461929832	-0.677763571548262	0.0397053814294517
Cited2	2.468215933791	0.000179825937969556	2.24290174492461	0.000296218685962793	-0.225314188866392	0.511416657326545
Bmp2	1.95440459210221	0.000186039853046593	-0.0521879547919834	0.893127764665974	-2.00659254689419	0.000276187897504561
Pik3ip1	-5.51785483410052	0.0001934091789617	-3.45130298421071	0.000737173992862285	2.06655184988981	0.0406083020772132
RGD1304884	2.10230308763016	0.000202014033898812	1.32817380556623	0.00169778194618586	-0.774129282063927	0.026012134709097
Tshr	-3.03102802756431	0.000202014033898812	-3.27553145618414	0.000166077247593367	-0.244503428619825	0.575437052684687
Lysmd3	2.27326115353892	0.000204642597470611	0.830465647289152	0.0245056952444013	-1.44279550624977	0.00259321018542987
Rap1gap	-2.51209321680455	0.000209850303317159	-2.68463441150116	0.000166077247593367	-0.172541194696605	0.646509109246147
Hivep2	2.04009912048986	0.00021172360965111	0.418488340532448	0.175771439854938	-1.62161077995741	0.000904858883819495
Bcam	-2.38893650424629	0.00021172360965111	-2.68848618500715	0.000166077247593367	-0.299549680760861	0.384373976785255
Pdlim5	1.87482736473625	0.00021172360965111	-0.0579782325092543	0.878647294547068	-1.9328055972455	0.000286596746778235
Msmo1	1.85468835284058	0.00021172360965111	1.68514383464677	0.000362495288794142	-0.169544518193815	0.542521865176065
Nr4a1	3.0671724702258	0.000233009851124099	0.480212405882359	0.300292196010183	-2.58696006434345	0.000678212145497545
Hyou1	3.10757960877297	0.000241135316450792	2.27147459955901	0.00100974144190195	-0.836105009213963	0.0767901744463918
Dusp8	2.36524631951178	0.000241135316450792	0.734014609976865	0.0543783698131858	-1.63123170953492	0.0020778132831146
Birc3	2.3666769561818	0.000241135316450792	-0.0311645052010228	0.952168522893033	-2.39784146138282	0.00033622878361064
Gjb1	-4.1140197390819	0.000262401656776155	-5.5638173377799	0.000166077247593367	-1.449797598698	0.172211808140955
Abhd5	1.87367343404866	0.000303266061291935	1.09648349380016	0.00356692137312431	-0.777189940248504	0.0229278070919705
Xbp1	1.75069383445664	0.000317520328233864	1.20308087112204	0.00171123353556744	-0.547612963334607	0.0633967296991406
Polm	-2.96828156149555	0.000326933529063394	-0.839016930608664	0.0501498734625892	2.12926463088688	0.00286826881589628
Foxe1	-2.59090359649616	0.000332767796438812	-3.08449023307685	0.000166077247593367	-0.493586636580694	0.222002047758939
Celsr2	-2.44354269427001	0.000345898238270982	-1.83354371500146	0.00118688272591716	0.609998979268545	0.122612633168851
Uap1	1.59900891682205	0.000345898238270982	1.15770863206529	0.00150505130737154	-0.441300284756755	0.0972580941059251
Fam117a	1.80463535394258	0.000347012546186264	1.2901376126513	0.00158644819394189	-0.51449774129128	0.0884540416595934
Ascc3	1.82469866536174	0.000347012546186264	1.08168007272322	0.0039097743864331	-0.743018592638517	0.0275128641206379
Depdc7	2.82052914035599	0.000347012546186264	0.885803695586914	0.065175543497209	-1.93472544476907	0.00283532926471775
Gmppb	2.58866918698695	0.000347012546186264	1.61396777744438	0.00294568249130555	-0.974701409542565	0.0329392369150207
Arfgap3	1.87803929486651	0.000348559489983361	1.4348172037024	0.00125517494522277	-0.443222091164107	0.148095590104515
Ufl1	1.62781192440279	0.000348559489983361	1.17848631468125	0.00158644819394189	-0.449325609721545	0.100835389205012
Hspa13	1.4152907091655	0.000349210147589857	1.1914225929956	0.000851070926824712	-0.223868116169898	0.333319268688766
Npas2	2.19694948058436	0.000349210147589857	0.767871353144129	0.0446821957067705	-1.42907812744023	0.0043127371798566
Vcl	1.66453332368547	0.000349210147589857	-0.6658522788133	0.0273899151186916	-2.33038560249877	0.000141356753245729
