genes	logFC_TgvDMSO_6h_QGP1	FDR_TgvDMSO_6h_QGP1	logFC_TgvDMSO_24h_QGP1	FDR_TgvDMSO_24h_QGP1	logFC_Tg_24hv6h_QGP1	FDR_Tg_24hv6h_QGP1
GEM	7.12589023287911	7.89542974496996e-07	6.27663577918312	2.24468071362041e-06	-0.849254453695994	0.0315708738529438
SMAD3	4.45589394064831	3.07004065713324e-06	3.13795548753709	8.46447569698958e-06	-1.31793845311123	0.0029584718736317
C2CD4A	3.84267820679286	3.12740022796623e-06	2.82494150773868	8.46447569698958e-06	-1.01773669905418	0.00779147495350282
HERPUD1	3.4951243514781	3.6717811771626e-06	2.22584696818206	2.16772543455005e-05	-1.26927738329604	0.00266344272599892
BCAM	-4.5897768319782	3.6717811771626e-06	-4.4182448806068	4.51389424948689e-06	0.171531951371405	0.6965633209714
COL25A1	3.68769390003286	4.90294469925438e-06	3.8057597543563	4.51389424948689e-06	0.118065854323446	0.716440967291715
FOSL2	3.06463448787542	4.90294469925438e-06	2.49466100804497	9.72959298544214e-06	-0.569973479830455	0.0565514372237075
CREM	3.09497799483179	4.90294469925438e-06	2.868300248646	6.19726423997945e-06	-0.226677746185784	0.432423103687805
IFRD1	2.91979058725397	4.90294469925438e-06	2.35238572638662	1.10748773860268e-05	-0.567404860867349	0.0553675031373129
UNC5B	3.32777350852053	5.1526445035321e-06	4.31338991238789	2.24468071362041e-06	0.98561640386736	0.00827299519792365
NR4A3	5.83064509218786	7.03085175690185e-06	5.35708434529568	8.59277902884751e-06	-0.473560746892174	0.252017456924518
ATF3	3.80721864342731	7.81770319551939e-06	4.84592054435795	3.67755346818731e-06	1.03870190093064	0.0142096771246649
HSPA5	3.05621872994813	7.81770319551939e-06	2.07043668868785	4.70707515191531e-05	-0.985782041260276	0.0104013525105234
SMOC1	2.83997632507517	9.54360366493594e-06	2.31471492740198	2.02439216259979e-05	-0.525261397673193	0.0911371679828165
DDIT3	4.47922790221967	9.89996568211069e-06	4.48761099965441	8.46447569698958e-06	0.00838309743473978	0.990165345722963
INHBA	5.52742010029403	1.01294390080119e-05	4.56619358551865	1.9306688290835e-05	-0.96122651477538	0.0783569192599194
ADM2	3.03255356340096	1.01294390080119e-05	3.32600878317872	6.19726423997945e-06	0.293455219777759	0.352428402353872
APBB2	2.85917891034419	1.01857211224522e-05	2.00761854999985	5.47039004209377e-05	-0.851560360344339	0.0181446551306918
SLC7A5	2.98330758266183	1.47476630316636e-05	2.67155281732713	1.88152830377759e-05	-0.311754765334698	0.355871088417107
PTGS2	4.18636417485999	1.50276615027821e-05	1.58418395361202	0.00191799892832871	-2.60218022124797	0.000751065313125761
CEBPG	2.08061755160021	1.50276615027821e-05	2.29529085480528	8.46447569698958e-06	0.21467330320507	0.38165290563277
PCDH7	4.47011762962927	1.93356520231153e-05	5.24211116321091	6.19726423997945e-06	0.771993533581643	0.074194510372859
FST	3.00219653866266	1.93356520231153e-05	2.15855381689049	7.86935577960736e-05	-0.843642721772175	0.0327382497413165
PCYOX1L	-2.25602914634687	2.51637367880356e-05	-1.29293595779058	0.000301185706656607	0.963093188556292	0.00892750332096928
NOX4	2.76482933618365	2.51637367880356e-05	3.20714219112481	8.46447569698958e-06	0.442312854941162	0.19052840207977
SLC7A1	2.03115467569233	2.51637367880356e-05	1.61841965344916	6.49492967915114e-05	-0.412735022243172	0.122696768993979
FAM163A	3.90417756570842	2.51637367880356e-05	3.28412952337577	5.12097954867542e-05	-0.620048042332648	0.132213444938528
FKBP14	2.40753783598628	2.51637367880356e-05	1.71173321116091	0.000116609924742102	-0.695804624825369	0.037860268280295
MAGT1	1.79371683551885	2.51637367880356e-05	0.976505396622106	0.000548028080811324	-0.817211438896748	0.00670711566670442
CTH	2.82288308447133	2.69255154850196e-05	2.90397451554364	1.63094176373382e-05	0.0810914310723138	0.842782581229837
SLCO5A1	2.23211458700624	2.75882693260979e-05	0.531830956421428	0.0401666721662297	-1.70028363058482	0.000643362905108867
WARS	2.31695845328229	3.21838976050516e-05	3.20218440653551	6.19726423997945e-06	0.885225953253225	0.0146124614278462
SPRY1	2.2183369837909	3.21838976050516e-05	0.621215263789199	0.0214972674874723	-1.5971217200017	0.000774908681998791
PSAT1	2.40912430883041	3.21838976050516e-05	1.97079792152543	7.17276910464088e-05	-0.438326387304979	0.172653648402934
NOS1	2.90726633126653	3.21838976050516e-05	2.40831790737254	7.04662959213649e-05	-0.498948423893987	0.168484946820257
GPT2	2.3867150118094	3.33929991049424e-05	1.93774461737063	7.7388319236136e-05	-0.448970394438771	0.162302627204612
SHC4	2.81993005546126	3.46025962543493e-05	3.90127872021544	6.19726423997945e-06	1.08134866475419	0.0112038434495383
PROS1	-2.64991796640473	3.85759595804673e-05	-1.68598709718286	0.000271749504091607	0.963930869221865	0.022042067967814
DNAJC12	2.48709117665977	3.85759595804673e-05	2.26241076768139	4.79283860813219e-05	-0.224680408978386	0.520258969544348
KCNJ2	1.97279966182805	3.85759595804673e-05	0.715216326626944	0.00761998902961061	-1.25758333520111	0.00214829499680933
SOX2	-3.0057608345133	3.9467789864185e-05	-3.06508916451147	2.35739128363502e-05	-0.0593283299981696	0.913517185912861
WIPI1	2.32240510108193	3.9467789864185e-05	1.9525231894908	7.7388319236136e-05	-0.369881911591126	0.24544335553626
VEGFA	1.89438735199886	4.47562114023364e-05	1.92015910759382	2.95499943706571e-05	0.0257717555949584	0.943510892117982
TES	1.83744774726645	4.83788322323398e-05	1.75980458508712	4.55713142327826e-05	-0.0776431621793241	0.798380712684013
PIGA	2.03303135490611	4.83788322323398e-05	1.76924153399438	7.7388319236136e-05	-0.263789820911733	0.362481753435813
