genes	logFC_TgvDMSO_6h_QGP1	logCPM_TgvDMSO_6h_QGP1	F_TgvDMSO_6h_QGP1	PValue_TgvDMSO_6h_QGP1	FDR_TgvDMSO_6h_QGP1	logFC_TgvDMSO_24h_QGP1	logCPM_TgvDMSO_24h_QGP1	F_TgvDMSO_24h_QGP1	PValue_TgvDMSO_24h_QGP1	FDR_TgvDMSO_24h_QGP1	logFC_Tg_24hv6h_QGP1	logCPM_Tg_24hv6h_QGP1	F_Tg_24hv6h_QGP1	PValue_Tg_24hv6h_QGP1	FDR_Tg_24hv6h_QGP1
GEM	7.12589023287911	6.89734761980789	682.497799266863	5.49591378600164e-11	7.89542974496996e-07	6.27663577918312	6.89734761980789	558.303177853007	1.57157781410793e-10	2.24468071362041e-06	-0.849254453695994	6.89734761980789	18.5282322918156	0.00134853270337486	0.0315708738529438
SMAD3	4.45589394064831	5.49923838760845	459.632114330344	4.27403683298516e-10	3.07004065713324e-06	3.13795548753709	5.49923838760845	245.639983517895	1.08775294082854e-08	8.46447569698958e-06	-1.31793845311123	5.49923838760845	56.0123502712428	1.48273684325131e-05	0.0029584718736317
C2CD4A	3.84267820679286	7.9085067987859	423.501860860063	6.53083717381226e-10	3.12740022796623e-06	2.82494150773868	7.9085067987859	249.107606012082	1.01080907562943e-08	8.46447569698958e-06	-1.01773669905418	7.9085067987859	37.0367282085577	9.09303640556481e-05	0.00779147495350282
HERPUD1	3.4951243514781	9.08127121731413	379.207595118248	1.15894324648379e-09	3.6717811771626e-06	2.22584696818206	9.08127121731413	170.443159230619	6.94106710213716e-08	2.16772543455005e-05	-1.26927738329604	9.08127121731413	59.2226715759935	1.14947409864913e-05	0.00266344272599892
BCAM	-4.5897768319782	6.05252402810753	372.232370425108	1.2779413814432e-09	3.6717811771626e-06	-4.4182448806068	6.05252402810753	359.409324943879	1.53242038390228e-09	4.51389424948689e-06	0.171531951371405	6.05252402810753	0.579950194502765	0.462881692284926	0.6965633209714
COL25A1	3.68769390003286	4.09185477825778	334.421708681011	2.24545520283164e-09	4.90294469925438e-06	3.8057597543563	4.09185477825778	358.346361695569	1.57103377749091e-09	4.51389424948689e-06	0.118065854323446	4.09185477825778	0.515723676982551	0.488154867272553	0.716440967291715
FOSL2	3.06463448787542	5.66364381188424	322.98533194242	2.6600608432394e-09	4.90294469925438e-06	2.49466100804497	5.66364381188424	221.820996320294	1.8286162509184e-08	9.72959298544214e-06	-0.569973479830455	5.66364381188424	13.553626801434	0.00382112048136385	0.0565514372237075
CREM	3.09497799483179	7.13617834704282	319.434171212719	2.81534865253946e-09	4.90294469925438e-06	2.868300248646	7.13617834704282	279.43174679143	5.60799353471619e-09	6.19726423997945e-06	-0.226677746185784	7.13617834704282	2.04996068431592	0.18092822324836	0.432423103687805
IFRD1	2.91979058725397	8.93787062485637	314.079354115668	3.07159280894399e-09	4.90294469925438e-06	2.35238572638662	8.93787062485637	213.169294982971	2.23824188108124e-08	1.10748773860268e-05	-0.567404860867349	8.93787062485637	13.6880213457735	0.00370375682270344	0.0553675031373129
UNC5B	3.32777350852053	5.3376299730129	304.905107080847	3.58669393257142e-09	5.1526445035321e-06	4.31338991238789	5.3376299730129	488.13632408795	3.12499055216541e-10	2.24468071362041e-06	0.98561640386736	5.3376299730129	35.724631805693	0.00010590102554509	0.00827299519792365
NR4A3	5.83064509218786	3.49914613456753	273.422728013014	5.38350057955731e-09	7.03085175690185e-06	5.35708434529568	3.49914613456753	228.465100059311	1.36452456992818e-08	8.59277902884751e-06	-0.473560746892174	3.49914613456753	4.18991699801106	0.0658725846270058	0.252017456924518
ATF3	3.80721864342731	6.00138693555284	270.940081102261	6.58158197020021e-09	7.81770319551939e-06	4.84592054435795	6.00138693555284	410.649753623384	7.67970235595289e-10	3.67755346818731e-06	1.03870190093064	6.00138693555284	27.3134735465622	0.00031566567040954	0.0142096771246649
HSPA5	3.05621872994813	12.345968073701	267.0682894758	7.07435204940499e-09	7.81770319551939e-06	2.07043668868785	12.345968073701	132.493374632621	2.44197257756708e-07	4.70707515191531e-05	-0.985782041260276	12.345968073701	31.8988899352262	0.000169176214594829	0.0104013525105234
SMOC1	2.83997632507517	8.38938089059821	253.189444202018	9.30046298963547e-09	9.54360366493594e-06	2.31471492740198	8.38938089059821	175.104683447328	6.05936676818816e-08	2.02439216259979e-05	-0.525261397673193	8.38938089059821	9.95913190402828	0.00950957920132549	0.0911371679828165
DDIT3	4.47922790221967	7.09773090901729	248.039511241191	1.03368707525867e-08	9.89996568211069e-06	4.48761099965441	7.09773090901729	248.931450479152	1.01487116929064e-08	8.46447569698958e-06	0.00838309743473978	7.09773090901729	0.00121130250077997	0.972880660249857	0.990165345722963
INHBA	5.52742010029403	7.77586189650043	241.26407630193	1.19097419857425e-08	1.01294390080119e-05	4.56619358551865	7.77586189650043	178.450174212454	5.51005304137709e-08	1.9306688290835e-05	-0.96122651477538	7.77586189650043	10.9931514138924	0.00719195024728337	0.0783569192599194
ADM2	3.03255356340096	5.51912376559139	240.974199906276	1.19866673490326e-08	1.01294390080119e-05	3.32600878317872	5.51912376559139	285.775629637533	4.9999246682354e-09	6.19726423997945e-06	0.293455219777759	5.51912376559139	2.82476754118095	0.12190848243677	0.352428402353872
