genes	logFC_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_TgvDMSO_6h_MIN6	FDR_TgvDMSO_24h_MIN6	FDR_Tg_24hv6h_MIN6	MIN6_DMSO_24h_n_1	MIN6_DMSO_24h_n_2	MIN6_DMSO_24h_n_3	MIN6_Tg_6h_n_1	MIN6_Tg_6h_n_2	MIN6_Tg_6h_n_3	MIN6_Tg_24h_n_1	MIN6_Tg_24h_n_2	MIN6_Tg_24h_n_3	avg_expression
1110032F04Rik	3.55149930884067	1.36844706266605	-2.18305224617461	0.0320479571818768	0.589230321581141	0.1081736762478	0	0.147217726439754	0.0530838104068046	0.21424548558767	2.75996834472455	1.15839722017461	0.267286947873152	0	0.28254882751425	0.542527595857866
1300017J02Rik	4.50152019213724	1.759398384763	-2.74212180737424	0.0211165028696303	0.593244294704569	0.0693512196864673	0	0.0278041977114788	0.15038468486675	0	5.5916977045527	1.91432566257061	0.272597440200126	0	0.349287933186047	0.922899735898635
1500012K07Rik	1.87004204970212	-0.807453524425549	-2.67749557412767	0.0381616503377219	0.581507466414757	0.0137670764840902	0.443612444563415	0.361316925706098	0.260567523283972	0.570893938366621	2.38109295608365	2.60613642181643	0.314881531584304	0.256664057895675	0.100866977405212	0.81067030852282
1700013G24Rik	4.43293646306587	1.99220210186866	-2.44073436119721	0.0418972401745015	0.569109580235598	0.135960124568755	0	0.183169545734404	0	0.913940753190864	3.7461556999122	2.16193149151314	0.86465779643058	0	0	0.87442836519791
1700016K19Rik	1.37804137318855	2.40425623807499	1.02621486488644	0.0336597879156969	4.74132829752237e-05	0.0290819185613441	1.54592702058859	3.22797376796945	3.93759682471408	10.2805930543511	13.1099631491197	4.32334134435057	14.3648886330577	18.8441859531776	17.1839107375664	9.64648672054391
1700019B03Rik	5.77017749431463	2.66689624776805	-3.10328124654658	0.00435866765186981	0.432230503272164	0.0220022014981236	0.0802456622872169	0.0392154679439641	0	0.244586335065544	4.81217272797153	6.17141565118858	0.341756107435578	0.104463703663057	0.451587648686755	1.36060481158247
1700024P16Rik	2.38766815790708	1.6101047651103	-0.777563392796787	0.032572420973957	0.172945124672589	0.383037829674905	0.158914982528276	0.135906030864119	0.252025899132122	0.484368027576087	3.24278439312364	0.916620022593663	0.867148428983929	0.543047733913248	0.406501968486933	0.778590831911335
1700034P13Rik	2.18376516224196	-0.0824188193562403	-2.2661839815982	0.01655191155081	0.958661003567644	0.0173625173747603	0.56314300284493	0.296373392607295	0.366399098336659	1.63722229080086	3.17501043850955	2.58190509376157	0.507344261565384	0.563922202170384	0.221617037036551	1.10143742418146
1700039E15Rik	4.87098604122586	1.48171640670214	-3.38926963452372	0.0222429636900273	0.720718303459281	0.0512172956486227	0	0	0.118519107877086	0.592232200922563	4.10808221287523	1.36500703999694	0.358059570701667	0	0	0.726877792485943
1700048O20Rik	0.940429576727201	0.17512164791442	-0.765307928812781	0.0266717343767267	0.726090517117214	0.0668449139218159	3.2569187105095	3.86783773088658	5.36884717753453	6.83147633698221	9.80054875027534	13.0625793317183	4.3253045014919	5.7443166139265	5.30326691485129	6.39567734090846
1700051A21Rik	7.37890729653572	4.88676570665215	-2.49214158988357	0.0324906012810013	0.369664610546193	0.158242609344552	0	0	0	0.232411050639601	2.06403309468244	2.6572193475299	0.60889462587657	0	0	0.618062013192057
