genes	logFC_TgvDMSO_6h_aTC1	FDR_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	FDR_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	FDR_Tg_24hv6h_aTC1
Trim66	3.80687794453439	5.35897265173752e-07	4.31426284227294	8.73373607564076e-08	0.507384897738549	0.0166228669065917
Slc7a11	2.96163476106585	5.35897265173752e-07	2.87955483447378	3.82957726044351e-07	-0.0820799265920637	0.659027940044327
Plce1	3.87334506821701	5.35897265173752e-07	4.79239117463383	8.73373607564076e-08	0.919046106416821	0.00152968098242838
Creld2	2.41721907323879	1.24312332652746e-06	1.03073405788963	0.000114289643659502	-1.38648501534916	8.14621363109657e-05
Ppp1r15a	2.27947524955292	2.77553940168311e-06	2.6248314535053	6.12832748370291e-07	0.345356203952385	0.0677326804108947
Slc6a9	2.01160364370995	4.23030850170315e-06	2.31698685780601	9.99360335739022e-07	0.305383214096064	0.0828623125998391
Dnajc3	1.64282651292839	4.23030850170315e-06	1.03741992378291	3.49296609864406e-05	-0.605406589145477	0.00298218891413454
Atf3	2.65636900162496	5.56759610756155e-06	2.72950425799657	2.7195454820299e-06	0.0731352563716125	0.768653063392114
Derl3	2.75591885054649	6.60373326696816e-06	0.260213008106808	0.346062621821809	-2.49570584243968	2.73379132485424e-05
Hhip	3.55237697908577	7.08577308811542e-06	3.15413455777347	9.24407943117186e-06	-0.398242421312297	0.143890288182782
Bhlha15	3.61243306666458	7.43361472833012e-06	3.17023367812141	1.38605612174974e-05	-0.442199388543172	0.0895757406937162
5430416N02Rik	2.11621185096662	7.77391925699896e-06	0.560678974488251	0.0113462873557483	-1.55553287647837	0.000105584102589012
Herpud1	1.59572615812009	8.94639392694449e-06	0.892470756148192	0.000154618189073674	-0.703255401971895	0.00256717134041951
Arrdc4	1.50911043487026	9.30656847821433e-06	1.30066156157839	1.48545547373024e-05	-0.208448873291877	0.171125787422582
Hyou1	1.71163841873165	1.12600807050997e-05	1.31471663792314	3.23337980556761e-05	-0.396921780808507	0.041863888096119
Spata5	1.34782278400184	1.12600807050997e-05	0.811365345893153	0.000136685365380998	-0.536457438108683	0.0048882172148114
Ddit3	2.94569450468247	1.12600807050997e-05	2.9617945873218	7.14913517080701e-06	0.0161000826393256	0.96380104515941
Xlr3a	1.62770617825391	1.13703380984905e-05	1.07303201044535	8.16006716125798e-05	-0.554674167808567	0.00938979879492165
Pdia4	1.60657157057846	1.37877864975746e-05	0.76910233800588	0.000636203096584155	-0.837469232572583	0.00152968098242838
Vimp	1.6762468322042	1.43323214520388e-05	1.33355484272451	3.45648520315966e-05	-0.342691989479687	0.0724868716628205
P2rx7	4.05007275133819	1.46293254195517e-05	1.56715711406831	0.00962069606438302	-2.48291563726987	0.000201899344694618
Akna	2.0456319823536	1.46293254195517e-05	2.72522793410772	2.37075650193313e-06	0.67959595175412	0.00745458216605855
Stbd1	1.78795584043476	1.46293254195517e-05	2.16721929973358	3.59032059130131e-06	0.379263459298813	0.0636150858652903
Plekha2	-1.59205372473222	1.46293254195517e-05	-1.86794220274167	5.18100166354519e-06	-0.275888478009449	0.133967775014614
Stc1	-2.23720330093614	1.46293254195517e-05	-2.17868755271337	1.48545547373024e-05	0.0585157482227659	0.850045677796029
Cebpg	1.20919200887348	1.46293254195517e-05	1.02772911623717	2.83407536662897e-05	-0.181462892636317	0.188767408712089
3632451O06Rik	-2.10253237206821	1.61292847074438e-05	-1.8039063567995	3.3221294967395e-05	0.298626015268709	0.252784273812776
Arl14ep	1.29216284961913	1.63036076499506e-05	1.08101179075028	3.49296609864406e-05	-0.211151058868845	0.16194529381111
Hspa5	2.2807807202518	1.63036076499506e-05	1.68053322329183	6.5628487615969e-05	-0.600247496959978	0.0357333625303125
Pdia6	1.63544884524245	1.63036076499506e-05	1.07491592786335	0.000136284196369959	-0.560532917379098	0.0138170206065798
