genes	logFC_TgvDMSO_6h_aTC1	logCPM_TgvDMSO_6h_aTC1	F_TgvDMSO_6h_aTC1	PValue_TgvDMSO_6h_aTC1	FDR_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	logCPM_TgvDMSO_24h_aTC1	F_TgvDMSO_24h_aTC1	PValue_TgvDMSO_24h_aTC1	FDR_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	logCPM_Tg_24hv6h_aTC1	F_Tg_24hv6h_aTC1	PValue_Tg_24hv6h_aTC1	FDR_Tg_24hv6h_aTC1
Trim66	3.80687794453439	4.27569546186862	708.734184780093	4.7197109240712e-11	5.35897265173752e-07	4.31426284227294	4.27569546186862	896.628508582755	1.37774526438451e-11	8.73373607564076e-08	0.507384897738549	4.27569546186862	21.2871233445843	0.000823785769082593	0.0166228669065917
Slc7a11	2.96163476106585	6.12210719920207	620.770201160091	9.40336573522874e-11	5.35897265173752e-07	2.87955483447378	6.12210719920207	586.589315974353	1.26356868669886e-10	3.82957726044351e-07	-0.0820799265920637	6.12210719920207	0.585716114431506	0.460777834147338	0.659027940044327
Plce1	3.87334506821701	4.0698517826984	586.595246709256	1.27070170370001e-10	5.35897265173752e-07	4.79239117463383	4.0698517826984	896.826018921359	1.38060955985469e-11	8.73373607564076e-08	0.919046106416821	4.0698517826984	61.324191372806	1.00215924147124e-05	0.00152968098242838
Creld2	2.41721907323879	6.5916129265674	471.662637321782	3.93020337188574e-10	1.24312332652746e-06	1.03073405788963	6.5916129265674	90.7628342237806	1.58986541922798e-06	0.000114289643659502	-1.38648501534916	6.5916129265674	168.031825338706	7.72641191694268e-08	8.14621363109657e-05
Ppp1r15a	2.27947524955292	7.53891478498592	386.923806458487	1.09687772750676e-09	2.77553940168311e-06	2.6248314535053	7.53891478498592	499.867234079351	2.90625710577122e-10	6.12832748370291e-07	0.345356203952385	7.53891478498592	9.92334496894811	0.00964284248662372	0.0677326804108947
Slc6a9	2.01160364370995	6.1011771009768	340.199176516708	2.13157651709684e-09	4.23030850170315e-06	2.31698685780601	6.1011771009768	441.641416089876	5.52918301468001e-10	9.99360335739022e-07	0.305383214096064	6.1011771009768	8.8036161707841	0.0132951702954215	0.0828623125998391
Dnajc3	1.64282651292839	6.8402524363079	334.079992897123	2.34051213341148e-09	4.23030850170315e-06	1.03741992378291	6.8402524363079	135.742753151226	2.23624924114898e-07	3.49296609864406e-05	-0.605406589145477	6.8402524363079	47.8762186586531	3.04639476092336e-05	0.00298218891413454
Atf3	2.65636900162496	5.99304464331812	308.604430045144	3.52045280275786e-09	5.56759610756155e-06	2.72950425799657	5.99304464331812	322.782686588665	2.79434802927511e-09	2.7195454820299e-06	0.0731352563716125	5.99304464331812	0.280297879628676	0.607413320249317	0.768653063392114
Derl3	2.75591885054649	2.4703387957682	291.973438942138	4.69756555506745e-09	6.60373326696816e-06	0.260213008106808	2.4703387957682	1.8277192796535	0.2045412809029	0.346062621821809	-2.49570584243968	2.4703387957682	256.56170004529	9.10376011417426e-09	2.73379132485424e-05
Hhip	3.55237697908577	3.27647608070202	282.106347796396	5.60051619357842e-09	7.08577308811542e-06	3.15413455777347	3.27647608070202	211.839623794198	2.41111777765311e-08	9.24407943117186e-06	-0.398242421312297	3.27647608070202	5.90970399804865	0.0341187847414122	0.143890288182782
Bhlha15	3.61243306666458	2.11927358015835	275.750683943845	6.4629909904862e-09	7.43361472833012e-06	3.17023367812141	2.11927358015835	191.007584658317	4.16298866791735e-08	1.38605612174974e-05	-0.442199388543172	2.11927358015835	8.3344295331677	0.0153422881823651	0.0895757406937162
5430416N02Rik	2.11621185096662	4.09245091431852	267.177277003798	7.37330312077043e-09	7.77391925699896e-06	0.560678974488251	4.09245091431852	17.7105215599911	0.00158733232845988	0.0113462873557483	-1.55553287647837	4.09245091431852	154.701254407988	1.16833499545223e-07	0.000105584102589012
Herpud1	1.59572615812009	7.23934166677541	255.878022044578	9.19246925784685e-09	8.94639392694449e-06	0.892470756148192	7.23934166677541	81.9443180846097	2.58771507893277e-06	0.000154618189073674	-0.703255401971895	7.23934166677541	51.999928460012	2.11022620458132e-05	0.00256717134041951
Arrdc4	1.50911043487026	5.61413387787624	250.248175832152	1.02981314175625e-08	9.30656847821433e-06	1.30066156157839	5.61413387787624	184.91665360874	4.77596484845365e-08	1.48545547373024e-05	-0.208448873291877	5.61413387787624	5.12595625016334	0.0456218211331306	0.171125787422582
Hyou1	1.71163841873165	9.00474883853109	233.399460927017	1.46896702612215e-08	1.12600807050997e-05	1.31471663792314	9.00474883853109	140.467511803514	1.88766373051032e-07	3.23337980556761e-05	-0.396921780808507	9.00474883853109	13.2623276921945	0.00411293178181125	0.041863888096119
