Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_40_PCCL3_2_DMSO	KRS7_41_PCCL3_2_Tg6h	KRS7_42_PCCL3_2_Tg24h	KRS7_43_PCCL3_3_DMSO	KRS7_44_PCCL3_3_Tg6h	KRS7_45_PCCL3_3_Tg24h	KRS7_46_PTH-C1_1_DMSO	KRS7_47_PTH-C1_1_Tg6h	KRS7_48_PTH-C1_1_Tg24h	KRS7_49_PTH-C1_2_DMSO	KRS7_50_PTH-C1_2_Tg6h	KRS7_51_PTH-C1_2_Tg24h	KRS7_52_PTH-C1_3_DMSO	KRS7_53_PTH-C1_3_Tg6h	KRS7_54_PTH-C1_3_Tg24h
Vom2r3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vom2r2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0351448045096514
Vom2r5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vom2r6	0	0	0	0	0	0.0351737275176679	0	0	0	0	0	0	0	0	0	0	0	0
Rrlt	0	0.0301883155061363	0	0.0386351925502293	0	0	0	0	0	1.79227074041396	1.97212570141267	2.39688253202903	2.22578383897498	3.20889806972446	2.15026497933599	2.840738938177	1.83130879969826	1.50607826298805
Klk12	0	0	0	0	0	0	0	0	0	0	0.127853059364796	0	0	0	0.583980690777775	0	0.426717745632996	0.318612023364868
Sf3b2	196.424353941292	153.788789060543	151.725834209016	224.140159048655	198.290083832506	213.891437034938	167.701872831608	157.692853851647	159.792690932458	408.486488494135	306.458966227675	297.484353190292	320.264252613706	306.488681608943	276.94161220346	356.345366070046	277.66362935562	303.390421479388
B4gat1	0.384585539365963	0.156286735243301	0.230327826458548	0	0.115269214505366	0.484484752611738	0.180632962187494	0	0.131369442778995	0.189010433828954	0.115272093949395	0.177268654828847	0.244016842353531	0.0448990794310418	0.0902598798782823	0.0226256573819078	0.109922277314423	0.1231114461952
Gpx7	0	0	0	0	0	0	0	0	0	21.5321062254177	11.3081173369129	17.5108604977302	12.4385380914693	9.10153469758996	9.25046714399561	19.3114455869263	13.6999742607831	7.4430286564601
Prpf38a	29.0897753946495	31.7587086749531	22.3748941266182	27.6258926074087	32.6344732944185	25.1645708696085	32.595742251748	24.0826190519833	26.011712474653	26.7331365201822	39.3889196423165	25.5086518837931	26.5973243568736	28.0071317587025	26.3898259323563	29.3643041974544	40.227833594141	33.7960570679283
Epha1	0	0	0	0	0	0	0	0	0	66.7614764581907	46.0808684280766	52.6619931148452	27.4994584932125	23.820443637122	28.4420013793523	29.1265232186679	25.3709261110768	23.1589653853647
Itga10	0.501420716561766	0.385956529035888	0.435309224253273	0.352821106097174	0	0.111470967307236	0.892161078249211	0.264886735677176	0.437712558346055	0.151548392971554	0.406670261793829	0.144320519851729	0.406522377223512	0.792000898089853	0.769537407781127	0.319285672551322	0.508982982664233	0.68768415988288
Steap1	56.6746009245193	128.101535983938	165.11120991752	68.7858565976144	71.8495709504958	124.682298427369	66.5995603429459	98.6912392092771	144.922012141978	3.835273656948	7.55542023482042	7.60907507676815	7.34054148369784	6.21715575461038	6.77765569071335	3.92789618346897	3.80522233209061	3.56209892961422
Kcnj10	0.932644160882324	1.23874850490865	0.579557966273538	2.0550936828466	1.96263069753672	0.556534443032539	0.636319906907408	0.979617918511728	0.599897627180701	0	0.0966837302648229	0	0	0	0.0441611893118059	0	0	0
Slc37a4	6.2950096005729	4.05796666164408	6.35824354335714	6.36172815746215	1.99222662269585	3.03386629677217	5.49227475650231	3.69811905273273	6.4412331546622	3.14160046636642	4.15057581009612	5.47181226749025	3.5090797415561	3.68241691389332	5.14578070819368	2.60696591514949	3.55115727720769	3.81717257054769
Add3	267.638055001845	102.133274435788	148.085936793902	341.640422737417	138.647837629319	140.265597862202	131.203329450519	57.5575290821272	113.413669386007	192.093504706787	92.0782846545198	81.8097176975263	97.974185946032	84.5572164316471	63.0727145114212	123.462685060605	107.861313041059	66.0727139138227
Nfic	58.5650271315243	43.0930364895242	45.4985201189521	80.8454282511064	57.3073955266451	65.8553230723611	41.2078076435547	55.1640529942686	41.4138956032478	32.4336335082269	8.32245715710511	16.844118308949	16.2837776614901	14.9077760207029	11.6869700364117	16.4607199281062	7.49325791557963	6.5113031736279
Nfib	70.2880612779389	41.9967134451682	73.6417694937096	78.4306786176878	81.1962501701211	99.3642509449109	57.815843918954	49.8714440836965	58.7640156975552	157.087920225491	184.738308544374	175.278592371548	109.94523276726	124.257329002353	135.002170501135	105.902107561403	105.850656805031	127.703271502201
