old_symbol	updated_symbol
0610005C13Rik	0610005C13Rik
0610007P14Rik	Erg28
0610009B22Rik	0610009B22Rik
0610009L18Rik	0610009L18Rik
0610009O20Rik	Dele1
0610010B08Rik	Gm2026
0610010F05Rik	Sanbr
0610010K14Rik	0610010K14Rik
0610011F06Rik	Mettl26
0610012G03Rik	Ncbp2as2
0610030E20Rik	0610030E20Rik
0610031O16Rik	0610031O16Rik
0610037L13Rik	Czib
0610038B21Rik	0610038B21Rik
0610039H22Rik	0610039H22Rik
0610039K10Rik	0610039K10Rik
0610040B10Rik	0610040B10Rik
0610040F04Rik	0610040F04Rik
0610040J01Rik	0610040J01Rik
0610043K17Rik	0610043K17Rik
1010001N08Rik	Gata6os
1110001J03Rik	Fmc1
1110002L01Rik	1110002L01Rik
1110004E09Rik	Cfap298
1110004F10Rik	1110004F10Rik
1110006O24Rik	1110006O24Rik
1110007C09Rik	Card19
1110008F13Rik	Rab5if
1110008L16Rik	Prorp
1110008P14Rik	Bbln
1110012L19Rik	Eola1
1110015O18Rik	1110015O18Rik
1110017D15Rik	1110017D15Rik
1110019D14Rik	1110019D14Rik
1110020A21Rik	1110020A21Rik
1110025L11Rik	1110025L11Rik
1110028F11Rik	1110028F11Rik
1110028F18Rik	1110028F18Rik
1110032A03Rik	Cfap68
1110032F04Rik	1110032F04Rik
1110034G24Rik	Shld1
1110036E04Rik	1110036E04Rik
1110037F02Rik	Virma
1110038B12Rik	1110038B12Rik
1110038F14Rik	1110038F14Rik
1110046J04Rik	1110046J04Rik
1110051M20Rik	Cstpp1
1110058D11Rik	1110058D11Rik
1110059E24Rik	1110059E24Rik
1110059G10Rik	1110059G10Rik
1110065P20Rik	1110065P20Rik
1190002F15Rik	Lockd
1190002N15Rik	Dipk2a
1190003K10Rik	Fam240b
1190005I06Rik	1190005I06Rik
1190007I07Rik	Uqcc6
1200014J11Rik	Ncbp3
1300002E11Rik	1300002E11Rik
1300017J02Rik	Inhca
1500004A13Rik	1500004A13Rik
1500009C09Rik	Smim45
1500009L16Rik	1500009L16Rik
1500011B03Rik	1500011B03Rik
1500011K16Rik	Mtln
1500012F01Rik	Zfas1
1500012K07Rik	1500012K07Rik
1500015A07Rik	1500015A07Rik
1500015L24Rik	1500015L24Rik
1500015O10Rik	Ecrg4
1500017E21Rik	Hectd2os
1500026H17Rik	1500026H17Rik
1600002D24Rik	1600002D24Rik
1600002H07Rik	Tedc2
1600002K03Rik	Fam174c
1600010M07Rik	1600010M07Rik
1600012H06Rik	1600012H06Rik
1600014C10Rik	1600014C10Rik
1600014C23Rik	1600014C23Rik
1600014K23Rik	Fthl17a
1600015I10Rik	Aoc1l2
1600019K03Rik	1600019K03Rik
1600020E01Rik	1600020E01Rik
1600023N17Rik	1600023N17Rik
1600025M17Rik	1600025M17Rik
1600027J07Rik	1600027J07Rik
1600029I14Rik	1600029I14Rik
1600029O15Rik	1600029O15Rik
1700001C02Rik	Fam166c
1700001C19Rik	1700001C19Rik
1700001D01Rik	1700001D01Rik
1700001F09Rik	1700001F09Rik
1700001G01Rik	1700001G01Rik
1700001G11Rik	1700001G11Rik
1700001G17Rik	1700001G17Rik
1700001J03Rik	1700001J03Rik
1700001J11Rik	1700001J11Rik
1700001K19Rik	1700001K19Rik
1700001K23Rik	1700001K23Rik
1700001L05Rik	1700001L05Rik
1700001L19Rik	Cfap90
1700001O22Rik	1700001O22Rik
1700001P01Rik	1700001P01Rik
1700003C15Rik	1700003C15Rik
1700003D09Rik	1700003D09Rik
1700003E16Rik	1700003E16Rik
1700003E24Rik	1700003E24Rik
1700003F12Rik	1700003F12Rik
1700003G13Rik	Lncbate3
1700003G18Rik	1700003G18Rik
1700003H04Rik	1700003H04Rik
1700003I22Rik	1700003I22Rik
1700003L19Rik	1700003L19Rik
1700003M02Rik	Cfap206
1700003M07Rik	1700003M07Rik
1700003P14Rik	1700003P14Rik
1700006A11Rik	1700006A11Rik
1700006E09Rik	Cfap97d1
1700006F04Rik	1700006F04Rik
1700006H21Rik	1700006H21Rik
1700007B14Rik	Iqcm
1700007F19Rik	1700007F19Rik
1700007G11Rik	Cfap299
1700007J10Rik	1700007J10Rik
1700007K09Rik	Fam24b
1700007K13Rik	Pierce1
1700007L15Rik	1700007L15Rik
1700007P06Rik	1700007P06Rik
1700008C04Rik	1700008C04Rik
1700008J07Rik	1700008J07Rik
1700008K24Rik	1700008K24Rik
1700008O03Rik	1700008O03Rik
1700008P02Rik	1700008P02Rik
1700009C05Rik	1700009C05Rik
1700009J07Rik	1700009J07Rik
1700009N14Rik	1700009N14Rik
1700010B08Rik	1700010B08Rik
1700010D01Rik	1700010D01Rik
1700010I02Rik	1700010I02Rik
1700010I14Rik	1700010I14Rik
1700010J16Rik	1700010J16Rik
1700010K23Rik	1700010K23Rik
1700011A15Rik	Krt88
1700011B04Rik	1700011B04Rik
1700011C11Rik	1700011C11Rik
1700011E24Rik	Stpg4
1700011H14Rik	ccdc198
1700011I03Rik	Ccdc192
1700011L22Rik	1700011L22Rik
1700011M02Rik	Fam236e
1700012A03Rik	1700012A03Rik
1700012B07Rik	1700012B07Rik
1700012B09Rik	1700012B09Rik
1700012C14Rik	1700012C14Rik
1700012D01Rik	1700012D01Rik
1700012D14Rik	Zbed5-ps
1700012D16Rik	1700012D16Rik
1700012H19Rik	1700012H19Rik
1700012I11Rik	1700012I11Rik
1700012L04Rik	H2al1m
1700012P22Rik	Cfap107
1700013D24Rik	1700013D24Rik
1700013F07Rik	Cfap276
1700013G24Rik	1700013G24Rik
1700013H16Rik	1700013H16Rik
1700015E13Rik	Spata46
1700015F17Rik	Pttg1ip2
1700015G11Rik	Ccdc179
1700016C15Rik	1700016C15Rik
1700016D06Rik	Spaca7b
1700016G22Rik	1700016G22Rik
1700016H13Rik	1700016H13Rik
1700016K19Rik	Liat1
1700016L04Rik	1700016L04Rik
1700016L21Rik	1700016L21Rik
1700016P04Rik	1700016P04Rik
1700017B05Rik	1700017B05Rik
1700017D01Rik	Ms4a20
1700017G19Rik	1700017G19Rik
1700017J07Rik	1700017J07Rik
1700017L05Rik	1700017L05Rik
1700017N19Rik	1700017N19Rik
1700018A04Rik	1700018A04Rik
1700018B08Rik	1700018B08Rik
1700018B24Rik	1700018B24Rik
1700018C11Rik	Tex48
1700018F24Rik	1700018F24Rik
1700018G05Rik	1700018G05Rik
1700018L02Rik	1700018L02Rik
1700019A02Rik	1700019A02Rik
1700019B03Rik	Tex45
1700019B21Rik	Tslrn1
1700019C18Rik	1700019C18Rik
1700019D03Rik	1700019D03Rik
1700019E08Rik	1700019E08Rik
1700019G17Rik	Nat8f4
1700019G24Rik	1700019G24Rik
1700019L03Rik	Cfap157
1700019M22Rik	1700019M22Rik
1700019N19Rik	1700019N19Rik
1700019O17Rik	Tex44
1700020A23Rik	1700020A23Rik
1700020D05Rik	Nscme3l
1700020D14Rik	1700020D14Rik
1700020G17Rik	1700020G17Rik
1700020I14Rik	Oip5os1
1700020L24Rik	1700020L24Rik
1700020M21Rik	1700020M21Rik
1700020N01Rik	1700020N01Rik
1700020N15Rik	1700020N15Rik
1700020N18Rik	1700020N18Rik
1700021F05Rik	Mtres1
1700021F07Rik	1700021F07Rik
1700021K19Rik	Rubcn
1700021N21Rik	1700021N21Rik
1700022A21Rik	1700022A21Rik
1700022A22Rik	1700022A22Rik
1700022E09Rik	1700022E09Rik
1700022H01Rik	1700022H01Rik
1700022H16Rik	1700022H16Rik
1700022I11Rik	1700022I11Rik
1700023C21Rik	1700023C21Rik
1700023F02Rik	1700023F02Rik
1700023F06Rik	Efcab15
1700024B18Rik	1700024B18Rik
1700024F13Rik	2810429I04Rik
1700024G13Rik	1700024G13Rik
1700024I08Rik	1700024I08Rik
1700024N05Rik	1700024N05Rik
1700024P04Rik	H2bl1
1700024P16Rik	Fyb2
1700025B11Rik	1700025B11Rik
1700025C18Rik	1700025C18Rik
1700025F22Rik	Ms4a19
1700025F24Rik	1700025F24Rik
1700025G04Rik	1700025G04Rik
1700025J12Rik	1700025J12Rik
1700025K24Rik	1700025K24Rik
1700025M24Rik	1700025M24Rik
1700025N23Rik	1700025N23Rik
1700026D08Rik	Cfap161
1700026D11Rik	1700026D11Rik
1700026F02Rik	1700026F02Rik
1700026J14Rik	1700026J14Rik
1700026L06Rik	Spaca9
1700027A15Rik	Teshl
1700027F06Rik	1700027F06Rik
1700027F09Rik	1700027F09Rik
1700027H10Rik	1700027H10Rik
1700027I24Rik	1700027I24Rik
1700027J07Rik	1700027J07Rik
1700028B04Rik	1700028B04Rik
1700028D13Rik	1700028D13Rik
1700028E10Rik	1700028E10Rik
1700028I16Rik	1700028I16Rik
1700028J19Rik	1700028J19Rik
1700028K03Rik	1700028K03Rik
1700028M03Rik	1700028M03Rik
1700028P14Rik	Cfap95
1700028P15Rik	1700028P15Rik
1700029B22Rik	1700029B22Rik
1700029F12Rik	1700029F12Rik
1700029H14Rik	1700029H14Rik
1700029I15Rik	Frey1
1700029J03Rik	1700029J03Rik
1700029J07Rik	1700029J07Rik
1700029M20Rik	1700029M20Rik
1700029N11Rik	1700029N11Rik
1700029P11Rik	Ndufb11b
1700030A11Rik	1700030A11Rik
1700030C10Rik	1700030C10Rik
1700030F04Rik	1700030F04Rik
1700030F18Rik	Fam186a
1700030J22Rik	1700030J22Rik
1700030K09Rik	1700030K09Rik
1700030L20Rik	1700030L20Rik
1700030M09Rik	1700030M09Rik
1700030N03Rik	1700030N03Rik
1700030O20Rik	1700030O20Rik
1700031A10Rik	1700031A10Rik
1700031F05Rik	1700031F05Rik
1700031M16Rik	1700031M16Rik
1700031P21Rik	1700031P21Rik
1700034E13Rik	1700034E13Rik
1700034G24Rik	1700034G24Rik
1700034H15Rik	1700034H15Rik
1700034I23Rik	Fundc2b
1700034J05Rik	1700034J05Rik
1700034K08Rik	1700034K08Rik
1700034O15Rik	Llcfc1
1700034P13Rik	1700034P13Rik
1700036G14Rik	1700036G14Rik
1700037C18Rik	1700037C18Rik
1700037H04Rik	Adissp
1700039E15Rik	Slc6a21
1700039E22Rik	1700039E22Rik
1700040L02Rik	Cabcoco1
1700041A01Rik	1700041A01Rik
1700041C23Rik	1700041C23Rik
1700041M19Rik	1700041M19Rik
1700042G07Rik	P3r3urf
1700042G15Rik	1700042G15Rik
1700042O10Rik	1700042O10Rik
1700044C05Rik	1700044C05Rik
1700044K03Rik	1700044K03Rik
1700045H11Rik	1700045H11Rik
1700046C09Rik	1700046C09Rik
1700047A11Rik	1700047A11Rik
1700047E10Rik	1700047E10Rik
1700047G03Rik	1700047G03Rik
1700047I17Rik2	Fam177a2
1700047L14Rik	1700047L14Rik
1700047M11Rik	1700047M11Rik
1700048M11Rik	1700048M11Rik
1700048O20Rik	1700048O20Rik
1700049E15Rik	1700049E15Rik
1700049E22Rik	1700049E22Rik
1700049G17Rik	Zfp974
1700049L16Rik	1700049L16Rik
1700051A21Rik	1700051A21Rik
1700052I22Rik	1700052I22Rik
1700052K11Rik	1700052K11Rik
1700054A03Rik	1700054A03Rik
1700054K19Rik	1700054K19Rik
1700054M17Rik	1700054M17Rik
1700055C04Rik	1700055C04Rik
1700056E22Rik	1700056E22Rik
1700057G04Rik	1700057G04Rik
1700057H15Rik	1700057H15Rik
1700057H21Rik	1700057H21Rik
1700060C16Rik	1700060C16Rik
1700060C20Rik	1700060C20Rik
1700061F12Rik	1700061F12Rik
1700061G19Rik	Acsbg3
1700061I17Rik	1700061I17Rik
1700061J23Rik	1700061J23Rik
1700063A18Rik	1700063A18Rik
1700063D05Rik	1700063D05Rik
1700063O14Rik	1700063O14Rik
1700064J06Rik	1700064J06Rik
1700064M15Rik	1700064M15Rik
1700065D16Rik	1700065D16Rik
1700065I16Rik	1700065I16Rik
1700065J11Rik	1700065J11Rik
1700065J18Rik	1700065J18Rik
1700065L07Rik	1700065L07Rik
1700065O20Rik	1700065O20Rik
1700066B17Rik	1700066B17Rik
1700066B19Rik	Smim33
1700066J03Rik	1700066J03Rik
1700066M21Rik	1700066M21Rik
1700066N21Rik	1700066N21Rik
1700066O22Rik	1700066O22Rik
1700067G17Rik	1700067G17Rik
1700067K01Rik	1700067K01Rik
1700067P10Rik	1700067P10Rik
1700069L16Rik	1700069L16Rik
1700069P05Rik	1700069P05Rik
1700071K01Rik	1700071K01Rik
1700071M16Rik	1700071M16Rik
1700072B07Rik	1700072B07Rik
1700072I22Rik	1700072I22Rik
1700072O05Rik	1700072O05Rik
1700073E17Rik	1700073E17Rik
1700074H08Rik	1700074H08Rik
1700074P13Rik	Prss59
1700080E11Rik	Nudt16l2
1700080N15Rik	1700080N15Rik
1700080O16Rik	Magea14
1700081H04Rik	1700081H04Rik
1700084C01Rik	Ccdc190
1700084D21Rik	1700084D21Rik
1700084E18Rik	1700084E18Rik
1700084F23Rik	1700084F23Rik
1700084J12Rik	1700084J12Rik
1700084M14Rik	1700084M14Rik
1700085C21Rik	1700085C21Rik
1700086L19Rik	1700086L19Rik
1700086O06Rik	1700086O06Rik
1700088E04Rik	1700088E04Rik
1700091H14Rik	1700091H14Rik
1700092C02Rik	1700092C02Rik
1700092C10Rik	1700092C10Rik
1700092E19Rik	1700092E19Rik
1700092K14Rik	1700092K14Rik
1700092M07Rik	Tex54
1700093K21Rik	1700093K21Rik
1700094D03Rik	Cfap141
1700094J05Rik	1700094J05Rik
1700094M24Rik	1700094M24Rik
1700095A21Rik	1700095A21Rik
1700095B10Rik	1700095B10Rik
1700095J12Rik	1700095J12Rik
1700096J18Rik	1700096J18Rik
1700096K18Rik	1700096K18Rik
1700096P03Rik	1700096P03Rik
1700097N02Rik	1700097N02Rik
1700099I09Rik	1700099I09Rik
1700100I10Rik	1700100I10Rik
1700100L14Rik	1700100L14Rik
1700101E01Rik	Cfap77
1700101I11Rik	1700101I11Rik
1700101O22Rik	1700101O22Rik
1700102H20Rik	1700102H20Rik
1700102P08Rik	1700102P08Rik
1700104L18Rik	1700104L18Rik
1700105P06Rik	1700105P06Rik
1700106J16Rik	Ccdc182
1700108F19Rik	1700108F19Rik
1700108J01Rik	1700108J01Rik
1700109G14Rik	1700109G14Rik
1700109G15Rik	1700109G15Rik
1700109H08Rik	1700109H08Rik
1700109I08Rik	1700109I08Rik
1700109K24Rik	1700109K24Rik
1700110C19Rik	1700110C19Rik
1700110I01Rik	1700110I01Rik
1700110I07Rik	1700110I07Rik
1700110K17Rik	1700110K17Rik
1700111N16Rik	1700111N16Rik
1700112E06Rik	Lrmda
1700112H15Rik	1700112H15Rik
1700112J05Rik	1700112J05Rik
1700112J16Rik	1700112J16Rik
1700113A16Rik	1700113A16Rik
1700113B09Rik	1700113B09Rik
1700113H08Rik	1700113H08Rik
1700116B05Rik	1700116B05Rik
1700119H24Rik	1700119H24Rik
1700120C14Rik	1700120C14Rik
1700120E14Rik	1700120E14Rik
1700120G07Rik	1700120G07Rik
1700120K04Rik	1700120K04Rik
1700121L16Rik	1700121L16Rik
1700121N20Rik	1700121N20Rik
1700122C19Rik	1700122C19Rik
1700122O11Rik	1700122O11Rik
1700123I01Rik	Majin
1700123J17Rik	1700123J17Rik
1700123K08Rik	1700123K08Rik
1700123L14Rik	Nup50l
1700123M08Rik	1700123M08Rik
1700123O12Rik	1700123O12Rik
1700123O20Rik	1700123O20Rik
1700123O21Rik	1700123O21Rik
1700124L16Rik	1700124L16Rik
1700125G02Rik	1700125G02Rik
1700125G22Rik	1700125G22Rik
1700125H03Rik	1700125H03Rik
1700125H20Rik	Chct1
1700126H18Rik	1700126H18Rik
1700128A07Rik	1700128A07Rik
1700128F08Rik	1700128F08Rik
1700129C05Rik	1700129C05Rik
1810006J02Rik	1810006J02Rik
1810007C17Rik	1810007C17Rik
1810007D17Rik	1810007D17Rik
1810008I18Rik	1810008I18Rik
1810009A15Rik	1810009A15Rik
1810009J06Rik	1810009J06Rik
1810010D01Rik	Smim38
1810010H24Rik	1810010H24Rik
1810011H11Rik	Tmem273
1810011O10Rik	Tcim
1810012K16Rik	1810012K16Rik
1810013A23Rik	1810013A23Rik
1810013L24Rik	Hapstr1
1810014B01Rik	1810014B01Rik
1810018F18Rik	1810018F18Rik
1810019D21Rik	1810019D21Rik
1810020O05Rik	Cfap92
1810021B22Rik	1810021B22Rik
1810022K09Rik	Rbis
1810024B03Rik	1810024B03Rik
1810026B05Rik	Chaserr
1810026J23Rik	Timm29
1810030O07Rik	1810030O07Rik
1810032O08Rik	Snhg16
1810034E14Rik	1810034E14Rik
1810037I17Rik	1810037I17Rik
1810041H14Rik	1810041H14Rik
1810041L15Rik	Shisal1
1810043G02Rik	Cfap410
1810043H04Rik	Ndufaf8
1810044D09Rik	1810044D09Rik
1810046K07Rik	Pou2af2
1810053B23Rik	1810053B23Rik
1810055G02Rik	1810055G02Rik
1810058I24Rik	Stmp1
1810062G17Rik	1810062G17Rik
1810062O18Rik	1810062O18Rik
1810063I02Rik	1810063I02Rik
1810064F22Rik	1810064F22Rik
1810065E05Rik	1810065E05Rik
2010001A14Rik	2010001A14Rik
2010001E11Rik	Mfsd4b2
2010003K11Rik	2010003K11Rik
2010005H15Rik	Csta2
2010009K17Rik	2010009K17Rik
2010010A06Rik	2010010A06Rik
2010012O05Rik	Borcs7
2010016I18Rik	2010016I18Rik
2010106C02Rik	2010106C02Rik
2010106E10Rik	2010106E10Rik
2010107E04Rik	Atp5mpl
2010107G12Rik	Slc23a4
2010107G23Rik	Fam241b
2010109A12Rik	2010109A12Rik
2010109I03Rik	Ly6m
2010111I01Rik	Aopep
2010204K13Rik	2010204K13Rik
2010300C02Rik	Cracdl
2010308F09Rik	2010308F09Rik
2010310C07Rik	2010310C07Rik
2010315B03Rik	2010315B03Rik
2010320M18Rik	2010320M18Rik
2200002D01Rik	2200002D01Rik
2200002J24Rik	2200002J24Rik
2210010C04Rik	Prss3b
2210011C24Rik	Misp3
2210013O21Rik	Nbdy
2210015D19Rik	Ube2d-ps
2210016F16Rik	Qng1
2210016L21Rik	2210016L21Rik
2210018M11Rik	Emsy
2210019I11Rik	Plut
2210039B01Rik	2210039B01Rik
2210404E10Rik	2210404E10Rik
2210404O09Rik	Zfp995
2210406O10Rik	2210406O10Rik
2210407C18Rik	Lypd8l
2210408F21Rik	2210408F21Rik
2210408I21Rik	2210408I21Rik
2210409D07Rik	2210409D07Rik
2210409E12Rik	2210409E12Rik
2210414B05Rik	2210414B05Rik
2210416O15Rik	2210416O15Rik
2210417A02Rik	2210417A02Rik
2210420H20Rik	2210420H20Rik
2300002M23Rik	2300002M23Rik
2300003K06Rik	2300003K06Rik
2300005B03Rik	Slurp2
2300009A05Rik	2300009A05Rik
2310001H17Rik	2310001H17Rik
2310001K24Rik	2310001K24Rik
2310002D06Rik	2310002D06Rik
2310002F09Rik	2310002F09Rik
2310002L09Rik	2310002L09Rik
2310003N18Rik	2310003N18Rik
2310005A03Rik	2310005A03Rik
2310005E17Rik	2310005E17Rik
2310007B03Rik	Mab21l4
2310008N11Rik	2310008N11Rik
2310009A05Rik	Pigbos1
2310009B15Rik	2310009B15Rik
2310010G23Rik	Mdrl
2310010J17Rik	2310010J17Rik
2310011J03Rik	2310011J03Rik
2310015A10Rik	2310015A10Rik
2310015D24Rik	2310015D24Rik
2310016D03Rik	2310016D03Rik
2310020H05Rik	2310020H05Rik
2310022A10Rik	2310022A10Rik
2310022B05Rik	2310022B05Rik
2310030A07Rik	2310030A07Rik
2310030G06Rik	2310030G06Rik
2310033P09Rik	2310033P09Rik
2310034C09Rik	2310034C09Rik
2310034G01Rik	2310034G01Rik
2310034O05Rik	2310034O05Rik
2310035C23Rik	Relch
2310036O22Rik	Trir
2310039H08Rik	2310039H08Rik
2310039L15Rik	2310039L15Rik
2310040G24Rik	2310040G24Rik
2310043L19Rik	2310043L19Rik
2310043O21Rik	2310043O21Rik
2310045N01Rik	Borcs8
2310047M10Rik	Borcs6
2310050C09Rik	2310050C09Rik
2310057J18Rik	2310057J18Rik
2310057M21Rik	2310057M21Rik
2310057N15Rik	2310057N15Rik
2310061I04Rik	2310061I04Rik
2310061N02Rik	2310061N02Rik
2310065F04Rik	2310065F04Rik
2310067B10Rik	Tmem94
2310068J16Rik	2310068J16Rik
2310069B03Rik	2310069B03Rik
2310069G16Rik	2310069G16Rik
2310075C17Rik	2310075C17Rik
2310079G19Rik	2310079G19Rik
2310081J21Rik	2310081J21Rik
2400006E01Rik	2400006E01Rik
2410002F23Rik	2410002F23Rik
2410003L11Rik	2410003L11Rik
2410004B18Rik	2410004B18Rik
2410004I01Rik	2410004I01Rik
2410004P03Rik	2410004P03Rik
2410006H16Rik	2410006H16Rik
2410012E07Rik	2410012E07Rik
2410015M20Rik	Micos13
2410016O06Rik	Riox1
2410017I17Rik	2410017I17Rik
2410018L13Rik	2410018L13Rik
2410021H03Rik	2410021H03Rik
2410089E03Rik	Cplane1
2410124H12Rik	2410124H12Rik
2410127L17Rik	Carnmt1
2410131K14Rik	Spring1
2410137M14Rik	2410137M14Rik
2410141K09Rik	Zfp998
2500002B13Rik	2500002B13Rik
2500004C02Rik	2500004C02Rik
2510002D24Rik	2510002D24Rik
2510003B16Rik	2510003B16Rik
2510009E07Rik	2510009E07Rik
2510039O18Rik	2510039O18Rik
2610001J05Rik	Smim30
2610002M06Rik	Chmp1b2
2610005L07Rik	2610005L07Rik
2610008E11Rik	2610008E11Rik
2610015P09Rik	Ccdc191
2610016A17Rik	2610016A17Rik
2610020C07Rik	2610020C07Rik
2610020H08Rik	Rexo5
2610027K06Rik	2610027K06Rik
2610028E06Rik	2610028E06Rik
2610028H24Rik	2610028H24Rik
2610035D17Rik	2610035D17Rik
2610035F20Rik	2610035F20Rik
2610037D02Rik	2610037D02Rik
2610042L04Rik	2610042L04Rik
2610044O15Rik8	2610044O15Rik8
2610100L16Rik	Mir124-2hg
2610203C22Rik	2610203C22Rik
2610206C17Rik	2610206C17Rik
2610301B20Rik	Cfap418
2610305D13Rik	Zfp979
2610306M01Rik	2610306M01Rik
