Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_40_PCCL3_2_DMSO	KRS7_43_PCCL3_3_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_41_PCCL3_2_Tg6h	KRS7_44_PCCL3_3_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_42_PCCL3_2_Tg24h	KRS7_45_PCCL3_3_Tg24h
Vom2r3	0	0	0	0	0	0	0	0	0
Vom2r2	0	0	0	0	0	0	0	0	0
Vom2r5	0	0	0	0	0	0	0	0	0
Vom2r6	0	0	0	0	0	0	0	0.0351737275176679	0
Rrlt	0	0.0386351925502293	0	0.0301883155061363	0	0	0	0	0
Klk12	0	0	0	0	0	0	0	0	0
Sf3b2	196.424353941292	224.140159048655	167.701872831608	153.788789060543	198.290083832506	157.692853851647	151.725834209016	213.891437034938	159.792690932458
B4gat1	0.384585539365963	0	0.180632962187494	0.156286735243301	0.115269214505366	0	0.230327826458548	0.484484752611738	0.131369442778995
Gpx7	0	0	0	0	0	0	0	0	0
Prpf38a	29.0897753946495	27.6258926074087	32.595742251748	31.7587086749531	32.6344732944185	24.0826190519833	22.3748941266182	25.1645708696085	26.011712474653
Epha1	0	0	0	0	0	0	0	0	0
Itga10	0.501420716561766	0.352821106097174	0.892161078249211	0.385956529035888	0	0.264886735677176	0.435309224253273	0.111470967307236	0.437712558346055
Steap1	56.6746009245193	68.7858565976144	66.5995603429459	128.101535983938	71.8495709504958	98.6912392092771	165.11120991752	124.682298427369	144.922012141978
Kcnj10	0.932644160882324	2.0550936828466	0.636319906907408	1.23874850490865	1.96263069753672	0.979617918511728	0.579557966273538	0.556534443032539	0.599897627180701
Slc37a4	6.2950096005729	6.36172815746215	5.49227475650231	4.05796666164408	1.99222662269585	3.69811905273273	6.35824354335714	3.03386629677217	6.4412331546622
Add3	267.638055001845	341.640422737417	131.203329450519	102.133274435788	138.647837629319	57.5575290821272	148.085936793902	140.265597862202	113.413669386007
Nfic	58.5650271315243	80.8454282511064	41.2078076435547	43.0930364895242	57.3073955266451	55.1640529942686	45.4985201189521	65.8553230723611	41.4138956032478
Nfib	70.2880612779389	78.4306786176878	57.815843918954	41.9967134451682	81.1962501701211	49.8714440836965	73.6417694937096	99.3642509449109	58.7640156975552
Epha3	0	0	0	0	0	0	0	0	0
Ctsk	0.428226832338889	0.10244837575117	0.37008011707242	0.480299491648192	0.118081561311918	0.470035772537911	0.210667305156279	0.269731112705711	0.224291006906245
Sh3gl1	29.1139492039238	26.9876987119286	29.3427424135172	33.1287633603481	22.6185002465161	33.990804674778	30.9869493021752	20.7467258492838	26.5921231857443
Fut1	0.0642275814738797	0.307314297167517	0.0520372960283142	0.0450235605321733	0.0664142154956285	0.11215637589461	0	0.0202278041788333	0.056067127014782
Zp2	0.0806973129301658	0	0.0871748007169228	0	0.0667557284004762	0	0.0476391038520369	0.0609954567025984	0.0281777167377678
Star	0.513048685667554	1.1660398305448	1.66269167982777	1.67835423323539	0.919560158716558	1.53583366935901	1.26197818377271	0.96947586470572	1.20923045742627
Ptgis	0.302782830885769	0.281700735593223	0.472458837983847	0.110056015294124	0.115959666925165	0.151065606822198	0.281359070480473	0.127144375699111	0.249628631162678
Bfsp1	0.357501261704694	0.498913865606757	0.0643662515176208	2.19978597435782	0.903643707058149	0.327004228130786	1.37767713283775	1.16344321154336	2.21055839767731
Acvr2b	1.44044932098317	1.61461115810065	0.837885279218476	0.903837140409512	0.499968521258012	0.924728245448811	0.921718179607299	0.520275009389616	0.641906154621428
Sf3b5	38.7573335227306	26.6031409210735	35.5530068643521	27.1472233541756	11.1733222763473	14.8460953576841	41.7855974069038	21.0808077494889	34.91307312314
Mrpl1	0.251239850780109	0.366272540557117	0.36470262861437	0.330223568970891	0.0649483337527881	0.297705251192212	0.355344533912221	0.128578709935465	0.246733308951013
Clmp	0.00353124178090175	0.0126721386021798	0	0	0	0.00352364221516297	0.00347440717703141	0	0
Pycard	0.360656079447863	0.251658298902094	0.183980403676024	0.0374548232941324	0.0828743665384805	0	0.0394279327412278	0	0.061217491620862
Reg3a	0	0	0	0	0	0	0	0	0
Pcyt1b	0	0	0	0	0	0	0	0	0.0116038280437295
Havcr1	0	0	0	0	0.0308103361848352	0	0	0	0
Unc13c	0	0	0	0	0	0	0	0	0
Ric8a	12.9603675964243	13.0727776778802	14.7794815984691	21.3864539420654	9.48786160997278	20.3142869905903	18.4102717556047	12.6734942047492	17.2565866416475
Hs2st1	22.5447056944022	25.4871856560416	21.4146758163615	18.6519846503421	23.0582111695174	17.1691354487862	19.7182359262844	23.0563690447126	17.9069115426435
Gstt2	7.24774536518375	3.58298145780829	3.67165655417464	2.91567496813368	1.26245606432291	1.7809356879517	9.80334605865459	2.83492263714606	6.80105829415361
Olr905	0	0	0	0	0	0	0	0	0
Mir3580	0	0	0	0	0	0	0	0	0
Mir3579	0	0	0	0	0	0	0	0	0
Mir3578	0	0	0	0	0	0	0	0	0
Mir3581	0	0	0	0	0	0	0	0	0
Eef1akmt1	8.63701711792763	6.4674881021653	8.14235845384098	5.93142719144269	3.22181661448137	3.31478055444882	7.19062056244627	3.9539407815449	6.83967191605639
Zfp385a	67.5607384374825	82.1844213579521	45.3058290454889	63.7513046930762	47.1912271662092	59.2738715544134	85.7104989007908	86.7083545095993	57.6521995863834
Eapp	18.0791271647275	13.3968858141999	17.7868554892667	14.4143165189325	16.6549117655721	9.72772864495119	16.4728830861467	19.1813845797036	15.5828455592562
Prss41	0	0	0	0	0	0	0	0	0
Rnf180	0	0	0	0	0	0.0109574467732275	0	0	0
Tpk1	2.67901573101718	2.61429484371153	2.9321371882979	1.87799110855747	2.75402293735855	2.45047938318928	2.80931183970966	3.46372526513667	2.81046197320046
Olig3	0	0	0	0	0	0	0	0	0
Cox16	6.18211697753066	6.25349346789683	6.70075952254074	4.3045814859963	4.49054261021772	3.22931123012969	5.1028666839954	6.41592995792288	5.92182325271476
Zfp7	0	0.0142181639770503	0.0128402713820516	0.0666577374241086	0	0	0	0	0
Hcfc1	30.813657599104	38.9043335641633	33.989718965591	26.264402295646	32.2342509137006	39.1945180378252	26.0845747728017	37.5651918243851	22.980635740058
Pnpt1	15.7622770572952	20.7335643744464	16.2489843402597	14.6374908712299	23.4260936017974	12.9164276456153	13.9268197447022	23.5579557422332	13.3805218023087
Dock1	73.1538932844115	73.0584413294236	55.3945800505602	41.2074511425822	57.8573542692162	38.006142940213	46.7056823710026	52.879066522948	47.6272121640612
Alg3	7.00615542543218	6.69293059029715	6.59618595900062	5.67681638524116	7.44592177149213	6.69169109595896	6.28702955115752	9.7454424916558	6.97250748951629
Retreg3	41.4373675481291	41.2404119486735	34.3879670789358	23.9194122092057	13.5224677693411	23.3042084929847	21.3317599908219	14.5824025305877	23.6370895759586
Mical2	24.289265041691	20.6888514340548	29.3842673665864	53.4785242990305	44.3042617441103	63.5412664201475	24.364689749648	17.328238660817	26.6665308727085
Tmc7	2.47083253218587	1.39086693180825	1.13395840956777	2.36978276723171	1.55857654019756	1.2247002948561	1.5094848009291	1.07823869375665	1.32515435295031
Wdr93	0.022628101488306	0.0270675734066916	0.0244444352137529	0	0	0	0	0.0285059343877283	0.0395061626526973
Ppp1r12c	27.7302071054493	40.552214811539	26.5645117078571	41.0966751841967	22.9223691738041	41.0196688780919	28.364294816631	19.9702661212811	25.5975199696339
Aldh8a1	0	0.0206420886458535	0.055924946540132	0.145161667187981	0.0237919834079317	0.0172193511872938	0.118851244215593	0.0217390017096582	0.0451918814044601
Npepo	3.96082358806852	3.91931730225054	4.45796955638237	5.38832686594876	3.20219938674713	4.82139156314387	3.38698660935127	2.97813339861408	3.11363222386909
Dhx30	57.1652597391229	54.6893559155143	58.5313181036278	33.9922347797542	24.6771734900621	43.2988983622727	43.026951024465	39.5519500542486	51.3611287071774
