Geneid	KRS7_10_aTC1-6_1_DMSO	KRS7_13_aTC1-6_2_DMSO	KRS7_16_aTC1-6_3_DMSO	KRS7_11_aTC1-6_1_Tg6h	KRS7_14_aTC1.6_2_Tg6h	KRS7_17_aTC1-6_3_Tg6h	KRS7_12_aTC1-6_1_Tg24h	KRS7_15_aTC1-6_2_Tg24h	KRS7_18_aTC1-6_3_Tg24h
Xkr4	6.11405092022002	5.75890853588794	7.01821167809421	3.6516633577064	6.0332630359048	6.2588427762497	6.16162079538559	6.9694366156915	6.91381252163416
Rp1	0	0	0	0	0.0147992416569056	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0
Mrpl15	97.6040592029977	103.637073866192	88.990697318568	111.162571231814	118.727215046355	119.589382294058	100.803411764747	116.161542881823	121.142505023658
Lypla1	61.5755359481708	52.6714347512247	61.6846505865041	60.3894587278066	47.3856758554107	42.7408968253941	61.0178296384202	53.9991413687899	51.2368166675833
Tcea1	5.50756933691171	6.19539048011891	5.49860865960143	10.7937638184409	9.8715029048933	9.47354633843197	17.3495709127112	14.1728895528649	12.8560282095934
Rgs20	0.475550538852234	0.377938899040725	0.276659938614728	0.478332618087966	0.50408576382815	0.395363534640074	0.374654478872154	0.368749782269445	0.286969708921204
Atp6v1h	154.282586563084	164.521397628418	146.817452295466	183.34283118624	187.978006180735	178.2077769301	118.775376954238	171.204102087837	174.828728485842
Oprk1	0	0.0357278860581039	0.0441342534627378	0	0	0	0	0	0
Npbwr1	0.0836496953963395	0.0196976992475338	0	0	0.0119218907977112	0	0	0	0
Rb1cc1	25.1262050495004	25.3111949764693	27.8526378263183	36.530266243462	34.2580248688501	32.3477904538037	54.692439199292	32.1533258573416	35.4253756569024
Fam150a	0	0	0	0	0	0	0	0	0
St18	70.6478846337188	58.8286710527027	64.6625715811101	58.3359695974019	60.1266662477646	58.8597554702631	93.4899059254031	56.0713643778147	60.1304227609941
Pcmtd1	67.6444686075056	65.7128956392937	68.6715653770817	54.1625834440213	47.4219495174472	45.7971204781412	72.5413445179454	52.4133144232176	55.7294930882191
