Geneid	KRS7_19_GLUTag_1_DMSO	KRS7_22_GLUTag_2_DMSO	KRS7_25_GLUTag_3_DMSO	KRS7_20_GLUTag_1_Tg6h	KRS7_23_GLUTag_2_Tg6h	KRS7_26_GLUTag_3_Tg6h	KRS7_21_GLUTag_1_Tg24h	KRS7_24_GLUTag_2_Tg24h	KRS7_27_GLUTag_3_Tg24h
Xkr4	283	318	249	311	439	208	245	208	458
Rp1	2	1	1	2	3	5	2	2	16
Sox17	0	0	0	0	0	0	1	0	0
Mrpl15	1466	1453	1511	1721	2712	964	1485	891	2114
Lypla1	2052	1967	2564	2723	3011	1824	2335	2142	2834
Tcea1	4355	5134	4614	9317	12024	4616	8526	7193	11928
Rgs20	171	173	243	342	344	165	208	147	256
Atp6v1h	4340	4182	4393	2762	6297	2451	4387	2517	5825
Oprk1	22	10	10	21	17	2	6	3	0
Npbwr1	1	0	0	0	0	0	0	2	0
Rb1cc1	2873	3153	2982	6832	7153	3517	3251	3144	4688
Fam150a	0	0	0	0	0	0	0	0	0
St18	1393	1051	1287	1367	1110	724	932	649	1021
Pcmtd1	1040	1403	1195	1842	2349	1060	1143	1270	1773
Sntg1	803	882	667	801	1384	490	777	662	1129
Rrs1	1331	1275	1288	1567	2372	1054	1164	860	1663
Adhfe1	16	11	13	15	8	5	17	10	22
2610203C22Rik	1	2	4	8	10	2	2	12	2
3110035E14Rik	0	0	0	0	2	0	0	1	0
Mybl1	2670	2825	2633	4411	5153	2122	2931	2765	3612
Vcpip1	2736	2710	2773	3037	4921	2142	2768	2112	3616
1700034P13Rik	16	7	4	4	15	1	10	7	7
Sgk3	914	851	1126	772	1133	689	1024	777	1403
Mcmdc2	67	73	57	82	200	56	65	78	63
Snhg6	79	192	87	101	409	69	170	55	218
Snord87	5	1	2	0	4	1	1	1	1
Tcf24	214	219	203	154	257	123	224	174	309
Ppp1r42	4	6	5	12	11	9	1	2	8
Cops5	3314	2782	3453	2348	4220	1608	2794	1554	3617
Cspp1	1260	1188	1194	2132	2236	959	999	1036	1522
Arfgef1	7948	8571	8254	11348	17368	7317	8181	6412	11657
Cpa6	0	0	0	1	0	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0	0
Prex2	408	373	509	720	731	551	649	427	830
A830018L16Rik	230	310	348	406	338	317	286	336	478
Mir6341	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0
Sulf1	22	16	9	23	39	5	26	13	32
Slco5a1	44	29	57	77	58	46	39	28	50
Prdm14	0	0	0	0	0	0	0	0	0
Ncoa2	2799	2376	2600	4271	5180	2616	2878	2481	4332
Tram1	4879	5231	5062	7890	10067	4885	7551	6366	12543
Lactb2	924	868	944	2305	2047	1141	984	885	1304
Xkr9	4	2	0	4	9	1	0	2	5
Gm5523	2	4	1	0	2	0	1	2	0
Eya1	229	266	191	446	470	213	280	198	369
Msc	4	10	0	0	5	2	2	4	3
Trpa1	18	9	9	17	11	5	14	10	9
Kcnb2	94	108	122	100	165	119	143	115	242
Terf1	983	1078	1085	1904	2656	984	1027	899	1416
Sbspon	0	0	0	2	0	0	0	0	0
4930444P10Rik	12	6	15	15	15	3	15	7	12
Rpl7	15294	17183	13534	10591	21973	6426	16323	9468	22411
Rdh10	310	349	327	520	731	386	473	398	713
Stau2	772	818	762	1390	1640	752	1129	854	1617
Ube2w	1380	1489	1410	1373	2441	1028	1550	1161	2251
Tceb1	2405	2238	2658	1600	3073	1086	2016	1080	2786
D030040B21Rik	0	2	1	0	1	0	0	2	0
Tmem70	504	525	539	407	1042	475	552	351	716
Ly96	13	25	19	33	23	8	29	26	21
Jph1	11	9	3	29	11	5	11	4	4
Gdap1	3683	3717	4309	5573	5523	2934	4311	3389	5704
Pi15	0	0	0	0	1	0	3	0	0
Gm16070	0	0	0	1	0	0	0	0	0
Crispld1	2	0	6	2	0	3	1	2	0
Crisp4	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	1	1	1	0	0	1
Defb41	34	32	35	12	18	13	16	10	24
Gm15386	0	0	0	0	0	0	1	0	0
Tfap2d	0	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	3	0	0	1	0	0
Pkhd1	0	4	1	3	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0
Linc-md1	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0
Il17a	0	2	0	0	0	0	1	0	2
Il17f	7	10	10	9	14	5	13	7	33
Mcm3	8520	8638	8073	6652	13647	5516	8470	5086	10310
6720483E21Rik	7	7	0	3	7	1	4	10	8
Paqr8	143	152	162	80	203	69	236	172	252
Efhc1	19	34	21	23	41	17	38	35	38
Tram2	37	39	26	42	68	13	48	31	50
Tmem14a	3	8	7	17	13	10	19	12	15
Gsta3	2	0	3	2	0	0	0	0	0
Gm4956	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0
Kcnq5	53	52	31	52	70	18	61	36	47
Rims1	128	81	67	138	170	83	123	62	98
4933415F23Rik	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	3	1	0	0	0	0
Ogfrl1	714	895	909	1285	1461	640	753	710	1020
B3gat2	69	60	128	109	112	74	68	69	170
Smap1	2057	2357	2212	3075	3670	1805	2120	1780	3625
Sdhaf4	253	221	258	78	232	101	243	125	341
Fam135a	1808	2295	1955	3057	4616	2186	2352	2308	3957
Col9a1	35	13	32	25	15	9	16	19	9
Col19a1	2	2	1	2	1	1	1	0	0
Lmbrd1	2324	2657	2385	2527	4206	1878	2734	2010	3534
Adgrb3	356	321	364	418	707	289	377	331	513
Gm20172	0	1	0	3	2	0	1	0	0
4931408C20Rik	0	0	0	2	2	0	0	1	0
Gm597	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0
Phf3	7115	7813	6781	14221	15906	7007	6769	5675	9807
Ptp4a1	212	208	357	233	476	237	199	194	293
Gm13363	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	3
Lgsn	0	0	0	1	0	0	0	0	1
Pih1d3	0	0	0	1	0	0	0	0	0
Gm4850	5	4	2	0	0	0	11	2	34
Khdrbs2	339	357	307	536	586	269	266	174	346
Gm9839	0	0	0	0	0	0	0	0	0
Gm5415	1	0	0	2	7	0	0	0	1
Prim2	2078	2042	2102	2499	3755	1509	2150	1472	2808
1700001G17Rik	47	31	67	45	71	32	42	28	48
Rab23	1715	1736	1826	1786	2756	1046	1652	1361	2321
Bag2	540	590	432	387	636	161	351	309	469
Zfp451	1929	1971	1860	2960	4069	1616	1974	1624	2667
Gm15455	18	13	30	34	28	8	20	7	63
Bend6	123	78	68	138	187	121	83	51	152
Dst	17319	12978	13406	22552	18826	9051	17263	11871	22770
Mir6896	0	0	0	0	0	0	0	0	0
Mir5103	20	0	6	6	15	6	17	9	5
Ccdc115	1358	1563	1306	1116	2342	703	1231	739	1771
Imp4	1713	1700	1688	1793	3174	1180	1627	1015	2329
Ptpn18	15	9	8	9	22	4	22	13	10
Prss39	0	0	0	0	0	0	0	0	1
Cfc1	0	0	0	0	1	0	2	0	1
Prss40	0	0	0	0	0	0	0	1	0
Amer3	285	363	257	290	503	205	375	289	576
AA619741	0	0	0	3	0	0	0	0	1
