Geneid	KRS7_28_MGN3_2_DMSO	KRS7_31_MGN3_3_DMSO	KRS7_34_MGN3_4_DMSO	KRS7_29_MGN3_2_Tg6h	KRS7_32_MGN3_3_Tg6h	KRS7_35_MGN3_4_Tg6h	KRS7_30_MGN3_2_Tg24h	KRS7_33_MGN3_3_Tg24h	KRS7_36_MGN3_4_Tg24h
Xkr4	294	210	323	225	251	322	434	282	388
Rp1	0	0	0	0	4	0	0	0	1
Sox17	0	0	0	0	0	0	0	0	0
Mrpl15	708	501	1100	1460	450	1198	1238	801	624
Lypla1	2208	2024	2540	1472	1795	1428	1848	1581	1992
Tcea1	2959	3189	4032	4074	4732	4173	8893	6720	11149
Rgs20	47	89	34	123	131	84	117	52	126
Atp6v1h	3121	2107	4803	4422	2615	4216	6007	4326	3343
Oprk1	0	0	0	0	0	0	0	0	3
Npbwr1	0	0	0	0	0	0	2	0	0
Rb1cc1	3084	4490	2937	3504	7002	3798	5202	3544	11274
Fam150a	0	0	0	0	0	0	2	0	0
St18	831	1041	833	739	844	571	237	154	246
Pcmtd1	2429	2499	2044	1129	2055	1429	2133	1728	3002
Sntg1	0	0	0	0	0	0	0	0	0
Rrs1	641	544	952	1295	707	1431	1628	967	1289
Adhfe1	21	15	14	25	9	17	45	18	21
2610203C22Rik	9	3	13	7	0	8	11	8	0
3110035E14Rik	0	0	0	0	0	0	0	0	0
Mybl1	1621	1926	1637	1578	2574	1730	1969	1378	2827
Vcpip1	2941	2293	3066	3456	3664	3390	4514	3119	4462
1700034P13Rik	3	0	6	4	3	9	8	8	6
Sgk3	1267	1024	1536	1287	1536	1600	1021	841	770
Mcmdc2	0	3	0	0	2	4	0	0	3
Snhg6	58	97	174	436	117	412	334	196	183
Snord87	6	1	4	0	0	3	1	7	3
Tcf24	3	1	0	3	0	0	2	0	0
Ppp1r42	25	20	22	78	92	69	23	10	25
Cops5	1481	1103	2583	2662	927	2522	2566	1835	1403
Cspp1	897	1544	1128	1404	1776	1426	1115	698	1509
Arfgef1	11238	12123	13034	11100	12151	12270	17200	11127	18282
Cpa6	0	0	0	1	2	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0	0
Prex2	1995	2567	1975	1604	2343	1590	1375	968	1566
A830018L16Rik	257	196	219	280	279	227	488	320	338
Mir6341	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0
Sulf1	5	4	3	7	7	3	5	1	1
Slco5a1	602	331	712	652	388	574	261	169	182
Prdm14	6	0	1	2	0	1	3	4	0
Ncoa2	3265	2775	3512	4547	3854	4617	4185	2740	4195
Tram1	8417	6044	9418	7760	7377	7824	13480	10547	11789
Lactb2	1090	1132	1180	1556	1936	1480	2118	1359	2009
Xkr9	0	3	2	2	5	3	2	4	0
Gm5523	2	2	4	0	0	1	4	1	1
Eya1	0	0	0	0	1	0	1	0	0
Msc	43	17	69	72	14	51	26	9	3
Trpa1	154	272	270	94	230	193	80	93	99
Kcnb2	434	489	507	484	499	582	579	420	657
Terf1	709	1298	962	1712	2075	1371	792	517	1448
Sbspon	38	17	18	25	2	10	4	1	0
4930444P10Rik	4	4	3	9	1	6	1	10	1
Rpl7	8384	6722	12948	11822	5622	9378	13694	8553	9234
Rdh10	276	198	379	453	263	447	534	324	420
Stau2	907	898	832	1084	1249	1011	1457	1070	1707
Ube2w	1068	627	1357	1202	990	1319	1919	1507	1454
Tceb1	1058	834	1823	1762	894	1600	2136	1408	1172
D030040B21Rik	2	0	0	1	0	2	1	0	3
Tmem70	435	255	679	873	550	830	803	525	471
Ly96	76	123	88	94	106	78	203	169	196
Jph1	12	13	3	24	15	19	14	16	13
Gdap1	3710	3720	4033	2417	2956	2600	4611	3735	5978
Pi15	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0
