Geneid	dmso_24h_n_1	dmso_24h_n_2	dmso_24h_n_3	thapsigargin_6h_n_1	thapsigargin_6h_n_2	thapsigargin_6h_n_3	thapsigargin_24h_n_1	thapsigargin_24h_n_2	thapsigargin_24h_n_3
Xkr4	1227	990	1088	1183	337	365	1885	1287	1585
Rp1	0	0	0	1	13	16	0	0	0
Sox17	0	0	0	1	67	31	9	0	0
Mrpl15	1441	1362	1209	1599	500	875	1815	1390	1816
Lypla1	3872	4075	3571	3064	1079	1893	4470	3301	4301
Tcea1	5661	5529	5180	8942	3368	5829	16714	13652	17290
Rgs20	124	147	155	147	87	109	293	173	176
Atp6v1h	3533	3783	3205	2905	1076	1580	4307	3508	4545
Oprk1	178	117	149	108	38	57	89	79	67
Npbwr1	0	5	1	2	45	0	18	8	0
Rb1cc1	4886	4230	4518	5703	1696	2905	6493	5511	6339
Fam150a	0	3	2	2	11	0	5	0	0
St18	11970	9673	10342	10319	2956	4797	7362	5348	6702
Pcmtd1	5598	4762	5374	3957	1337	2497	4830	3509	4480
Sntg1	2371	2290	2317	2180	843	1578	1836	1460	1501
Rrs1	551	562	556	664	253	392	708	834	822
Adhfe1	120	88	110	68	47	60	77	42	71
2610203C22Rik	0	4	1	0	13	13	9	0	2
3110035E14Rik	0	0	3	4	11	19	0	1	1
Mybl1	3934	3109	3681	4456	1252	2181	3240	2437	3008
Vcpip1	6420	5380	5606	6515	2185	3517	7047	5910	6762
1700034P13Rik	13	7	8	31	22	31	11	10	5
Sgk3	1558	1360	1215	828	332	453	997	770	1018
Mcmdc2	22	9	19	12	31	0	31	6	25
Snhg6	217	197	234	387	121	229	480	432	491
Snord87	13	14	41	20	3	27	45	27	38
Tcf24	1485	1320	1273	895	325	670	1536	1228	1381
Ppp1r42	23	16	24	27	38	19	15	30	8
Cops5	2600	2897	2534	2277	857	1647	2759	2391	2991
Cspp1	2828	1631	2260	2534	702	1210	2033	1655	1705
Arfgef1	13054	11224	11795	15245	4704	8017	16575	13576	16067
Cpa6	0	7	5	0	12	23	0	0	2
Mir467e	0	0	0	0	0	0	0	0	0
Prex2	23	13	25	33	70	88	45	59	41
A830018L16Rik	796	697	627	809	324	560	1215	859	1075
Mir6341	0	0	0	0	0	0	0	0	0
Gm17644	0	0	1	5	16	0	6	0	0
Sulf1	4	18	7	5	50	54	33	58	31
Slco5a1	686	566	738	668	212	537	724	457	551
Prdm14	3	4	1	3	25	28	5	0	6
Ncoa2	7267	6787	6687	7776	2456	3938	7324	5969	6638
Tram1	28315	27050	23616	22778	8080	12902	37124	29567	37794
Lactb2	1899	1735	1822	2142	765	1236	2761	2219	2571
Xkr9	4	2	0	2	3	0	2	0	0
Gm5523	3	2	3	4	20	11	3	1	1
Eya1	8386	7690	7874	5860	2149	3120	5037	3932	4848
Msc	0	0	0	0	29	26	2	0	0
Trpa1	42	26	21	37	24	16	39	8	34
Kcnb2	993	770	799	1011	342	608	1670	1359	1283
Terf1	1262	1026	1199	1456	527	641	1200	978	1229
Sbspon	0	2	0	0	24	1	2	0	0
4930444P10Rik	2	2	28	25	31	26	21	10	24
Rpl7	14940	14675	13082	10685	4064	7599	15973	13590	17853
Rdh10	450	415	358	626	225	348	732	527	713
Stau2	1665	1717	1687	1744	580	874	2152	1898	2328
Ube2w	2722	2564	2453	2486	869	1394	3286	2403	3237
Tceb1	3938	3896	3512	2900	1081	1689	3296	2755	3651
D030040B21Rik	8	7	10	1	11	45	14	6	4
Tmem70	1032	902	964	1315	372	779	1210	873	1364
Ly96	87	153	92	78	46	69	144	139	145
Jph1	397	395	448	478	140	219	597	427	602
Gdap1	7118	6476	6256	5063	1839	3178	6821	5069	7051
Pi15	0	2	5	6	16	18	63	54	50
Gm16070	0	0	0	0	13	0	0	0	1
Crispld1	0	4	0	8	24	21	9	5	1
Crisp4	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0
Defb18	8	8	7	1	0	0	3	0	0
Defb41	359	331	319	199	90	78	223	175	257
Gm15386	33	8	6	5	4	0	10	5	9
Tfap2d	3	2	0	3	16	15	3	0	0
Tfap2b	6	5	3	15	80	0	24	0	2
Pkhd1	328	310	275	230	159	228	271	135	161
4930486I03Rik	0	0	0	0	2	28	0	0	0
Linc-md1	0	0	0	0	9	0	0	0	0
Mir206	0	0	0	0	3	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	11	12	0	3	3	7
Il17f	0	2	13	12	7	22	24	9	17
Mcm3	7688	8160	7093	8022	2728	5139	6380	5961	7391
6720483E21Rik	13	9	28	11	21	24	21	30	5
Paqr8	661	664	699	435	169	409	572	358	499
Efhc1	145	126	148	106	72	136	117	75	76
Tram2	88	49	99	36	37	129	79	44	80
Tmem14a	153	129	115	52	26	41	66	97	96
Gsta3	11	4	11	2	8	60	3	11	3
Gm4956	0	0	0	2	7	13	0	0	0
Khdc1a	0	0	0	0	6	0	0	0	0
Khdc1c	0	0	0	0	2	0	0	0	0
Khdc1b	0	0	4	0	6	0	0	0	0
Kcnq5	127	94	108	144	100	89	236	130	214
Rims1	26	42	30	12	45	82	52	44	75
4933415F23Rik	0	1	0	0	29	18	2	0	0
Mir30a	0	1	14	4	6	0	7	0	2
Mir30c-2	0	0	5	3	1	0	7	0	0
Ogfrl1	64	85	99	44	43	101	104	78	176
B3gat2	1	0	2	0	20	0	2	5	3
Smap1	3397	3161	3019	3330	1133	2050	4259	3491	4238
Sdhaf4	411	469	451	225	96	270	304	204	314
Fam135a	14651	13063	12900	20045	6452	11380	24253	17674	20753
Col9a1	3	9	12	4	53	39	7	0	3
Col19a1	18	5	2	15	76	57	20	5	11
Lmbrd1	4132	4161	3909	4374	1338	2670	5662	4814	6027
Adgrb3	808	686	878	667	244	279	640	512	561
Gm20172	0	0	3	6	2	0	3	0	1
4931408C20Rik	0	1	1	0	26	10	7	0	0
Gm597	0	0	0	0	3	0	2	0	0
Mir6342	0	0	0	0	0	18	0	0	0
Phf3	8848	7373	7777	10071	3008	4686	9883	8390	9686
Ptp4a1	1040	847	858	1019	301	520	1156	881	1093
Gm13363	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	15	19	5	0	0
Lgsn	0	0	0	0	14	28	0	0	0
Pih1d3	0	0	0	0	3	0	0	0	0
Gm4850	0	0	0	0	5	4	0	0	0
Khdrbs2	234	185	227	136	66	84	263	249	345
Gm9839	0	0	0	0	9	0	0	0	0
Gm5415	7	2	0	11	34	3	8	0	0
Prim2	1244	1231	1167	1217	471	830	1124	794	1262
1700001G17Rik	76	66	48	51	29	20	27	45	49
Rab23	2425	2030	2171	2078	628	1134	2431	2113	2334
Bag2	1813	1999	1814	2307	759	1564	2113	1779	1983
Zfp451	2913	2545	2744	2911	1035	1768	2975	1991	2597
Gm15455	6	4	8	14	22	40	24	10	13
Bend6	390	329	354	171	102	98	217	157	288
Dst	20169	20189	19601	19362	6853	8964	31539	24022	22850
Mir6896	0	0	3	0	1	0	7	0	2
Mir5103	0	0	0	0	9	10	1	0	1
Ccdc115	497	722	532	576	219	341	630	677	679
Imp4	1186	1336	1076	1558	483	975	1904	1586	1827
Ptpn18	62	51	64	69	55	66	102	78	57
Prss39	0	0	0	0	22	0	4	0	2
Cfc1	0	0	3	0	5	12	1	0	1
Prss40	0	0	0	0	33	28	10	0	0
Amer3	355	344	346	362	133	355	406	371	354
AA619741	0	0	0	0	48	17	14	4	0
