Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_40_PCCL3_2_DMSO	KRS7_43_PCCL3_3_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_41_PCCL3_2_Tg6h	KRS7_44_PCCL3_3_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_42_PCCL3_2_Tg24h	KRS7_45_PCCL3_3_Tg24h
Vom2r3	0	0	0	0	0	0	0	0	0
Vom2r2	0	0	0	0	0	0	0	0	0
Vom2r5	0	0	0	0	0	0	0	0	0
Vom2r6	0	0	0	0	0	0	0	1	0
Rrlt	0	1	0	1	0	0	0	0	0
Klk12	0	0	0	0	0	0	0	0	0
Sf3b2	7035	6711	5560	5893	5151	5660	5523	6081	6556
B4gat1	23	0	10	10	5	0	14	23	9
Gpx7	0	0	0	0	0	0	0	0	0
Prpf38a	1315	1044	1364	1536	1070	1091	1028	903	1347
Epha1	0	0	0	0	0	0	0	0	0
Itga10	17	10	28	14	0	9	15	3	17
Steap1	820	832	892	1983	754	1431	2428	1432	2402
Kcnj10	19	35	12	27	29	20	12	9	14
Slc37a4	941	795	760	649	216	554	966	360	1103
Add3	4394	4689	1994	1794	1651	947	2471	1828	2133
Nfic	2980	3439	1941	2346	2115	2813	2353	2660	2414
Nfib	1727	1611	1315	1104	1447	1228	1839	1938	1654
Epha3	0	0	0	0	0	0	0	0	0
Ctsk	10	2	8	12	2	11	5	5	6
Sh3gl1	1835	1422	1712	2234	1034	2147	1985	1038	1920
Fut1	4	16	3	3	3	7	0	1	4
Zp2	5	0	5	0	3	0	3	3	2
Star	10	19	30	35	13	30	25	15	27
Ptgis	18	14	26	7	5	9	17	6	17
Bfsp1	12	14	2	79	22	11	47	31	85
Acvr2b	143	134	77	96	36	92	93	41	73
Sf3b5	1253	719	1064	939	262	481	1373	541	1293
Mrpl1	32	39	43	45	6	38	46	13	36
Clmp	1	3	0	0	0	1	1	0	0
Pycard	36	21	17	4	6	0	4	0	7
Reg3a	0	0	0	0	0	0	0	0	0
Pcyt1b	0	0	0	0	0	0	0	0	2
Havcr1	0	0	0	0	3	0	0	0	0
Unc13c	0	0	0	0	0	0	0	0	0
Ric8a	1582	1334	1670	2793	840	2485	2284	1228	2413
Hs2st1	2386	2255	2098	2112	1770	1821	2121	1937	2171
Gstt2	467	193	219	201	59	115	642	145	502
Olr905	0	0	0	0	0	0	0	0	0
Mir3580	0	0	0	0	0	0	0	0	0
Mir3579	0	0	0	0	0	0	0	0	0
Mir3578	0	0	0	0	0	0	0	0	0
Mir3581	0	0	0	0	0	0	0	0	0
Eef1akmt1	377	236	329	277	102	145	319	137	342
Zfp385a	2716	2762	1686	2742	1376	2388	3502	2767	2655
Eapp	1109	687	1010	946	741	598	1027	934	1095
Prss41	0	0	0	0	0	0	0	0	0
Rnf180	0	0	0	0	0	1	0	0	0
Tpk1	228	186	231	171	170	209	243	234	274
Olig3	0	0	0	0	0	0	0	0	0
Cox16	596	504	598	444	314	312	500	491	654
Zfp7	0	1	1	6	0	0	0	0	0
Hcfc1	3316	3500	3386	3024	2516	4227	2853	3209	2833
Pnpt1	1706	1876	1628	1695	1839	1401	1532	2024	1659
Dock1	6511	5436	4564	3924	3735	3390	4225	3736	4856
Alg3	864	690	753	749	666	827	788	954	985
Retreg3	2649	2204	2035	1636	627	1493	1386	740	1731
Mical2	2511	1788	2812	5915	3322	6583	2560	1422	3158
Tmc7	153	72	65	157	70	76	95	53	94
Wdr93	1	1	1	0	0	0	0	1	2
Ppp1r12c	1793	2192	1590	2843	1075	2658	1864	1025	1896
Aldh8a1	0	1	3	9	1	1	7	1	3
Npepo	191	158	199	278	112	233	166	114	172
Dhx30	2702	2161	2561	1719	846	2051	2067	1484	2781
Arih2	1909	1696	1853	2933	2257	2657	2491	2260	2575
Samd3	0	0	0	0	1	0	0	0	0
Ext2	3045	1990	2471	2596	1159	1910	3523	1599	3633
Sdr16c5	0	0	0	0	0	0	0	0	0
Mrpl15	1714	1308	1674	1356	823	899	1786	1529	2220
Esrp2	11	5	3	3	11	2	10	0	8
Tfap2a	343	341	186	277	435	380	309	345	363
Aff1	2040	1734	1603	1517	1447	1948	1884	1858	2064
Phykpl	1	0	0	0	0	0	0	0	0
Fam185a	336	275	288	311	254	330	319	248	332
Taar8b	0	0	0	0	0	0	0	0	0
Taar7e	0	0	0	0	0	0	0	0	0
Taar8a	0	0	0	0	0	0	0	0	0
Vom2r32	0	0	0	0	0	0	0	0	0
Taar7c	0	0	0	0	0	0	0	0	0
Taar8c	0	0	0	0	0	0	0	0	0
Taar7g	0	0	0	0	0	0	0	0	0
Taar7h	0	0	0	0	0	0	0	0	0
Taar5	0	0	0	0	0	0	0	0	0
Taar7b	0	0	0	0	0	0	0	0	0
Taar7a	0	0	0	0	0	0	0	0	0
Taar6	0	0	0	0	0	0	0	0	0
Taar1	0	1	0	0	0	0	0	0	0
Vrk1	672	849	349	439	356	245	215	165	445
Tubb6	1961	2466	1704	5517	2642	4163	2832	1914	3129
RT1-DMa	2	2	4	2	4	1	2	0	1
RT1-DMb	35	6	19	16	1	2	32	12	20
Psat1	35797	22647	28630	13478	6313	8226	10013	5762	11557
Cflar	644	502	493	1190	981	1332	809	955	1111
Osbp2	0	0	2	0	0	0	0	0	0
Anapc4	2369	2081	1926	1639	1070	1069	1898	1439	2276
Ppl	1493	1441	818	986	905	712	1127	1260	552
Rab40b	269	178	156	108	64	64	227	86	184
Cdca2	1343	1825	635	865	1393	661	102	112	504
Pnma2	1	0	0	0	1	0	0	2	0
Cd300le	0	0	0	0	0	0	0	0	0
Pet100	456	237	359	208	115	122	486	269	426
Sec14l2	227	167	109	120	53	90	247	84	182
Txn1	3401	1738	3329	2404	1164	954	4088	1949	4100
Nox1	4	3	2	3	1	1	0	0	2
Kiaa0408L	18	11	1	4	9	0	1	0	1
Rpusd4	441	321	530	404	150	424	441	263	542
Wnt11	1844	1807	1010	361	100	358	337	174	349
Pfkfb2	1506	1164	1738	1860	1109	2841	1837	1212	3199
Il10ra	0	0	0	0	0	0	0	0	0
Pcyt1a	1857	1432	1621	2591	1416	2450	2183	1553	2529
Slc8a3	113	84	83	104	93	63	110	92	91
Slc8a2	0	3	1	0	0	0	1	0	1
Tmem158	14	14	3	13	0	11	11	4	14
Klf9	2914	2013	2474	4202	2810	3702	3588	3073	3519
Ppat	2675	2906	3432	3246	2732	4298	2599	2413	3826
Slc15a1	0	0	0	0	0	0	0	0	2
Acsl3	3605	3767	2691	3781	4821	4866	4318	5061	5556
Tpm3	7025	7896	4589	10111	8653	7085	8263	8912	7719
Baiap2	964	883	795	1554	643	1994	851	449	935
Sf1	7726	7193	6356	10997	7978	11494	5161	5441	7151
Socs2	1182	664	783	1828	741	1309	1408	788	1235
Uba3	2887	2413	2567	3959	2701	3108	3406	3263	3459
Mylk2	31	9	10	72	41	50	22	5	26
Ncr1	0	0	0	0	0	0	0	0	0
Sv2a	2015	1379	2204	2197	933	1965	2514	1038	3597
Sv2b	0	0	0	0	0	0	0	0	0
Atp6v1b2	2540	1644	2881	4812	1405	4106	5780	2909	8526
Slc4a7	1335	1148	1283	2563	1980	2649	2054	2258	2425
Nsmf	454	391	356	239	78	266	321	101	347
Smu1	2711	1836	2296	2833	1859	2260	2388	1861	3016
Pfkfb3	779	660	899	1368	883	1946	2476	2261	2707
Grifin	0	0	0	0	0	0	0	0	0
Plscr1	0	0	0	0	0	0	0	0	0
Ptpn23	2104	1837	2873	4807	2460	6300	3259	2440	4438
Mir434	0	0	0	0	0	0	0	0	0
Pcsk2	4	1	0	2	0	0	0	1	8
Rhbdf2	969	809	1113	2763	1121	3222	1572	963	1878
Kcnd3	0	0	0	2	0	0	0	0	1
Adgrl2	0	0	0	0	0	0	2	0	0
Cebpb	131	421	285	703	187	1687	511	318	574
Rbp2	1	0	1	1	3	0	15	24	9
