Geneid	KRS7_1_QGP1_1_DMSO	KRS7_4_QGP1_2_DMSO	KRS7_7_QGP1_3_DMSO	KRS7_2_QGP1_1_Tg6h	KRS7_5_QGP1_2_Tg6h	KRS7_8_QGP1_3_Tg6h	KRS7_3_QGP1_1_Tg24h	KRS7_6_QGP1_2_Tg24h	KRS7_9_QGP1_3_Tg24h
DDX11L1	0	0	0	0	0	0	0	0	0
NSMF	879	411	1334	290	804	539	739	673	432
MIR6859-1	0	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0
MIR1302-9	0	0	0	0	0	0	0	0	0
MIR1302-10	0	0	0	0	0	0	0	0	0
MIR1302-11	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0	0
LOC729737	265	181	353	116	290	177	195	205	193
FAM138D	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0
MIR6723	0	6	2	5	0	1	0	10	2
LOC100133331	86	92	129	31	89	63	83	87	57
LOC100288069	80	53	166	32	142	72	106	132	122
FAM87B	2	0	1	0	3	0	0	0	0
LINC00115	15	9	32	1	19	13	23	34	12
NR1I2	0	0	0	0	0	0	0	0	0
TNFSF11	0	0	0	0	1	0	0	0	0
CEP19	69	63	111	52	73	26	75	88	60
NLRP1	574	319	967	572	1505	691	1444	1527	1477
FAM41C	2	1	0	0	0	0	0	0	0
LOC100130417	83	16	87	6	31	6	75	39	23
AGL	2343	2268	4105	1214	1769	1230	2049	2076	1846
NES	7550	7645	16836	4745	6354	4280	6537	7191	5374
HSPA8	14000	11840	39551	5472	9287	4932	11871	12956	9096
NPIPA1	1	0	1	0	0	0	0	0	0
SOX21	10	4	20	3	10	10	15	0	3
MMP23B	0	0	0	0	1	0	0	0	0
NUDT6	75	35	168	13	65	23	73	115	82
SNW1	1527	1812	2891	1979	2413	1291	2000	2394	1638
FAF1	1782	1343	4060	1762	3374	2104	2736	2591	2255
C1orf159	279	93	526	88	273	203	266	337	133
ZCCHC4	239	132	606	113	284	173	266	357	218
TREM1	42	3	8	71	110	52	2255	1131	1501
PCBP4	290	113	428	86	316	129	263	248	126
PPP2R2C	1375	899	2415	641	1162	682	1654	1472	1194
DDX24	0	0	0	0	0	0	0	0	0
CHMP1B	2907	2148	3844	2273	3966	2022	4344	4089	3281
ATP13A1	1112	477	1797	461	1580	820	1418	1235	967
MRPL47	399	352	1014	489	941	412	605	686	606
TPD52	5313	4259	7261	4885	6798	4872	6303	5445	3741
MEOX1	0	0	0	0	0	0	1	0	0
SLAMF9	0	0	1	0	0	0	0	0	0
GJC2	0	0	1	0	2	2	2	0	1
JPH2	0	0	0	0	0	0	2	4	0
PHTF2	2910	2512	5853	3876	4832	4088	3173	2474	1854
CCDC28B	164	52	435	68	300	140	118	182	107
MIR6726	0	0	0	0	0	0	0	0	0
SNORD167	8	0	27	0	5	2	4	6	13
ACHE	843	105	827	106	502	248	776	656	625
GH1	0	0	0	0	0	0	1	0	0
PUSL1	135	32	318	33	210	120	153	163	93
CLASP1	4161	3482	7655	2788	5278	3105	4417	4503	3861
NIPA1	1618	1027	2624	1693	2728	1866	2066	1766	1625
NFATC4	29	14	29	0	19	6	12	10	18
ASAH2	82	62	121	136	110	78	106	125	103
RAN	4804	3160	14665	2724	7390	4293	4806	6191	3780
MDFI	0	0	0	0	0	0	0	0	0
MIR6727	0	0	0	0	0	0	0	0	0
S1PR4	0	0	0	0	0	1	0	0	0
AK7	217	232	386	198	308	145	334	436	269
MIR6808	0	0	0	0	0	0	0	0	0
LSS	947	482	1915	300	1221	628	553	585	418
NIPAL3	1386	921	2470	862	1683	936	2048	1729	1776
CCNL2	3834	1885	7133	1387	3734	2503	4216	4290	4193
SLC35D2	344	237	491	171	378	118	677	577	509
PPIE	846	588	1828	792	1565	781	1165	1394	993
CLEC12B	0	0	0	0	0	0	0	0	0
ZC3H11A	5946	4679	9781	4792	8080	5333	5909	6244	5280
CT47A2	0	0	0	0	0	0	0	0	0
LOC148413	267	168	567	148	477	176	416	574	387
CPSF2	1865	1764	2868	1605	2214	1376	2418	2409	1897
LINC01770	1	1	7	0	0	0	0	3	1
PCBP3	3	0	1	0	2	1	0	2	0
ADD2	2190	2220	5134	1928	2908	1983	2258	2121	1603
CELF2	0	0	0	0	0	0	0	0	0
TIAL1	1762	1218	3077	1454	3001	1911	2030	2306	1942
ZNF248	644	636	850	732	1274	584	862	970	694
NRXN1	3654	3121	5586	2079	2274	1526	1953	1689	1618
NTPCR	260	245	591	170	460	181	318	362	261
TTYH2	127	44	174	21	36	17	33	73	46
PACSIN2	1284	1037	2565	2359	4437	2714	2765	3048	2437
MITF	175	154	343	94	99	117	55	65	56
