Geneid	KRS7_10_aTC1-6_1_DMSO	KRS7_13_aTC1-6_2_DMSO	KRS7_16_aTC1-6_3_DMSO	KRS7_11_aTC1-6_1_Tg6h	KRS7_14_aTC1.6_2_Tg6h	KRS7_17_aTC1-6_3_Tg6h	KRS7_12_aTC1-6_1_Tg24h	KRS7_15_aTC1-6_2_Tg24h	KRS7_18_aTC1-6_3_Tg24h
Xkr4	223	223	220	180	1158	266	156	461	222
Rp1	0	0	0	0	3	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0
Mrpl15	1964	2214	1539	3023	12572	2804	1408	4239	2146
Lypla1	4812	4370	4143	6378	19487	3892	3310	7653	3525
Tcea1	4875	5822	4183	12912	45981	9771	10660	22751	10018
Rgs20	64	54	32	87	357	62	35	90	34
Atp6v1h	4579	5184	3745	7354	29359	6163	2447	9215	4568
Oprk1	0	1	1	0	0	0	0	0	0
Npbwr1	4	1	0	0	3	0	0	0	0
Rb1cc1	3785	4048	3606	7437	27157	5678	5719	8784	4698
Fam150a	0	0	0	0	0	0	0	0	0
St18	3562	3149	2802	3975	15953	3458	3272	5127	2669
Pcmtd1	3349	3454	2922	3624	12355	2642	2493	4706	2429
Sntg1	0	0	0	0	2	0	0	0	0
Rrs1	1821	1685	1467	3174	11729	2563	1936	3833	1887
Adhfe1	13	26	8	28	82	17	5	26	6
2610203C22Rik	3	0	1	2	8	0	0	5	7
3110035E14Rik	1	0	0	0	0	0	0	1	0
Mybl1	3402	3629	3060	5266	17605	4002	3076	5788	2768
Vcpip1	5812	5475	4791	7665	33767	7574	4077	10879	5426
1700034P13Rik	18	23	6	17	118	39	4	28	22
Sgk3	1316	1489	1284	1682	5635	1215	718	2110	1023
Mcmdc2	3	1	1	2	7	11	0	1	0
Snhg6	136	224	132	363	1993	421	101	475	270
Snord87	4	11	4	7	16	4	3	8	8
Tcf24	1	0	1	8	6	4	5	4	0
Ppp1r42	9	15	3	29	168	24	7	16	4
Cops5	4271	4864	3092	5580	26100	5534	2356	8220	3953
Cspp1	1390	1381	1339	2564	8725	1903	1399	2132	1233
Arfgef1	11592	11824	10143	18186	81470	18294	11350	25584	13745
Cpa6	0	0	0	0	0	0	0	0	2
Mir467e	0	0	0	0	0	0	0	0	0
Prex2	0	3	1	1	2	0	0	2	0
A830018L16Rik	1	0	1	0	5	1	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0
Sulf1	54	63	29	85	220	41	17	26	12
Slco5a1	11	24	16	6	41	14	3	12	6
Prdm14	0	0	3	2	0	3	0	3	2
Ncoa2	5405	4999	5203	7371	32196	7265	4753	10053	4964
Tram1	7667	7225	6269	16051	51354	11790	6415	16307	7919
Lactb2	3012	3042	2636	5626	21174	4372	2713	4784	2308
Xkr9	0	0	0	2	8	1	0	3	0
Gm5523	4	4	1	2	6	1	1	3	1
